Date,Open,High,Low,Close,AdjustedClose,Volume
1984-11-05,36.5,36.5,36.25,36.5,36.5,34200
1984-11-06,37,37,36.5,37,37,40200
1984-11-07,37.125,37.125,37.125,37.125,37.125,30800
1984-11-08,37.25,37.25,37.25,37.25,37.25,22200
1984-11-09,37.5,37.5,37.25,37.5,37.5,37000
1984-11-12,37.25,37.5,37.25,37.25,37.25,38200
1984-11-13,36.875,37.125,36.875,36.875,36.875,31400
1984-11-14,36.875,36.875,36.625,36.875,36.875,19200
1984-11-15,36.875,36.875,36.625,36.875,36.875,18800
1984-11-16,36.875,36.875,36.625,36.875,36.875,123600
1984-11-19,36.75,37.75,36.75,36.75,36.75,44800
1984-11-20,36.5,36.75,36.5,36.5,36.5,56400
1984-11-21,36.5,36.75,36.5,36.5,36.5,19600
1984-11-23,36.375,36.375,36.375,36.375,36.375,62400
1984-11-26,36.25,36.25,36.25,36.25,36.25,76000
1984-11-27,36.625,36.625,36.375,36.625,36.625,39400
1984-11-28,36.625,36.625,36.375,36.625,36.625,19600
1984-11-29,36.75,36.75,36.5,36.75,36.75,18000
1984-11-30,37,37,36.75,37,37,21000
1984-12-03,37.25,37.25,37,37.25,37.25,37000
1984-12-04,37.125,37.625,37.125,37.125,37.125,177200
1984-12-05,37,37,37,37,37,21800
1984-12-06,37,37,37,37,37,20600
1984-12-07,37,37,37,37,37,19200
1984-12-10,37.125,37.125,36.875,37.125,37.125,21600
1984-12-11,36.875,37.125,36.875,36.875,36.875,42200
1984-12-12,37.125,37.125,36.875,37.125,37.125,22200
1984-12-13,36.875,37.125,36.875,36.875,36.875,20600
1984-12-14,37.25,37.25,37,37.25,37.25,43000
1984-12-17,37.5,37.5,37.25,37.5,37.5,62600
1984-12-18,37.5,37.75,37.5,37.5,37.5,38800
1984-12-19,37.75,37.75,37.5,37.75,37.75,20200
1984-12-20,37.875,37.875,37.625,37.875,37.875,29600
1984-12-21,38,38,37.75,38,38,19800
1984-12-24,37.875,37.875,37.625,37.875,37.875,12000
1984-12-26,38.125,38.125,37.875,38.125,38.125,23000
1984-12-27,38.375,38.375,38.125,38.375,38.375,35600
1984-12-28,38.25,38.25,38.25,38.25,38.25,22600
1984-12-31,38.25,38.5,38.25,38.25,38.25,20800
1985-01-02,38.5,38.5,38.25,38.5,38.5,94000
1985-01-03,38.5,38.5,38.5,38.5,38.5,72800
1985-01-04,38.75,38.75,38.5,38.75,38.75,30200
1985-01-07,39,39.25,38.75,39,39,29800
1985-01-08,39.375,39.375,39.125,39.375,39.375,203400
1985-01-09,39.25,39.25,39.25,39.25,39.25,20200
1985-01-10,39.5,39.5,39.25,39.5,39.5,103200
1985-01-11,39.5,39.75,39.5,39.5,39.5,237600
1985-01-14,39.875,39.875,39.375,39.875,39.875,132600
1985-01-15,39.875,40.125,39.875,39.875,39.875,229800
1985-01-16,40,40,39.75,40,40,34800
1985-01-17,40,40,39.75,40,40,41800
1985-01-18,39,39,39,39,39,46200
1985-01-21,38.875,39.125,38.625,38.875,38.875,21800
1985-01-22,38.75,38.75,38.75,38.75,38.75,32800
1985-01-23,38.375,38.625,38.125,38.375,38.375,77600
1985-01-24,38,38.5,38,38,38,56000
1985-01-25,37.875,37.875,37.625,37.875,37.875,33600
1985-01-28,37.75,38,37.75,37.75,37.75,21600
1985-01-29,37.875,37.875,37.625,37.875,37.875,23800
1985-01-30,37.625,37.875,37.625,37.625,37.625,64800
1985-01-31,37.75,37.75,37.5,37.75,37.75,29000
1985-02-01,37.625,37.625,37.625,37.625,37.625,20200
1985-02-04,37.625,37.875,37.625,37.625,37.625,53200
1985-02-05,38,38.25,37.75,38,38,23000
1985-02-06,38.25,38.25,38,38.25,38.25,15000
1985-02-07,38.125,38.375,37.875,38.125,38.125,54400
1985-02-08,38.75,38.75,38.25,38.75,38.75,41000
1985-02-11,39.5,39.5,38.75,39.5,39.5,49600
1985-02-12,39.625,39.625,39.375,39.625,39.625,26000
1985-02-13,39.375,39.625,39.375,39.375,39.375,77400
1985-02-14,39.75,40,39.75,39.75,39.75,41200
1985-02-15,39.75,39.75,39.75,39.75,39.75,20600
1985-02-19,39.875,39.875,39.125,39.875,39.875,68000
1985-02-20,39.875,39.875,39.625,39.875,39.875,29400
1985-02-21,39.875,39.875,39.625,39.875,39.875,20400
1985-02-22,39.875,39.875,39.875,39.875,39.875,12200
1985-02-25,39.5,39.75,39.5,39.5,39.5,150200
1985-02-26,39.25,39.5,39.25,39.25,39.25,13800
1985-02-27,39.375,39.625,39.375,39.375,39.375,25400
1985-02-28,39.625,39.625,39.375,39.625,39.625,24600
1985-03-01,39.625,39.625,39.625,39.625,39.625,23400
1985-03-04,39.5,39.75,39.5,39.5,39.5,30000
1985-03-05,39.625,39.625,39.625,39.625,39.625,26400
1985-03-06,39.5,39.5,39.5,39.5,39.5,76600
1985-03-07,39.5,39.5,39.5,39.5,39.5,25600
1985-03-08,39.625,39.625,39.625,39.625,39.625,50600
1985-03-11,39.5,39.5,39.5,39.5,39.5,14400
