,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,40.3,40.701,40.701,40.3,40.701,5200
1,2021-06-11,40.66,40.68,40.596,40.49,40.596,6700
2,2021-06-14,40.65,40.6659,40.6659,40.43,40.6659,3734
3,2021-06-15,40.82,40.82,40.6884,40.585,40.6884,5617
4,2021-06-16,40.8,40.81,40.551,40.47,40.551,3100
5,2021-06-17,40.68,40.967,40.967,40.68,40.967,5800
6,2021-06-18,40.74,40.74,40.503,40.503,40.503,6600
7,2021-06-21,40.503,41.075,41.075,40.5,41.075,2700
8,2021-06-22,41.02,41.34,41.289,41.01,41.289,7000
9,2021-06-23,41.25,41.31,41.231,41.231,41.231,1600
10,2021-06-24,41.33,41.46,41.298,41.298,41.298,4700
11,2021-06-25,41.33,41.54,41.54,41.33,41.54,2900
12,2021-06-28,41.65,41.684,41.684,41.49,41.684,3200
13,2021-06-29,41.845,41.845,41.696,41.63,41.696,4300
14,2021-06-30,41.455,41.54,41.54,41.41,41.54,1900
15,2021-07-01,41.761,41.843,41.843,41.761,41.843,1200
16,2021-07-02,42.03,42.196,42.163,41.878,42.163,2600
17,2021-07-06,42.17,42.23,42.23,41.9,42.23,4200
18,2021-07-07,42.11,42.4499,42.4247,42.09,42.4247,2133
19,2021-07-08,42.07,42.2,42.163,41.91,42.163,5800
20,2021-07-09,42.42,42.45,42.387,42.31,42.387,2500
21,2021-07-12,42.41,42.49,42.46,42.41,42.46,3100
22,2021-07-13,42.46,42.46,42.301,42.27,42.301,4300
23,2021-07-14,42.27,42.27,42.01,41.98,42.01,5300
24,2021-07-15,41.89,41.943,41.943,41.84,41.943,2800
25,2021-07-16,42.0,42.203,42.096,42.0,42.096,6496
26,2021-07-19,41.84,41.84,41.563,41.37,41.563,5500
27,2021-07-20,42.34,42.42,42.338,42.338,42.338,3600
28,2021-07-21,42.48,42.58,42.4049,42.2298,42.4049,2076
29,2021-07-22,42.446,42.638,42.638,42.446,42.638,1400
30,2021-07-23,42.84,43.053,43.053,42.84,43.053,8800
31,2021-07-26,42.91,42.95,42.7289,42.53,42.7289,4154
32,2021-07-27,42.74,42.9665,42.9665,42.74,42.9665,19170
33,2021-07-28,42.87,43.1,43.005,42.87,43.005,2500
34,2021-07-29,43.17,43.205,43.2,43.0,43.2,4100
35,2021-07-30,43.264,43.51,43.3456,43.264,43.3456,5998
36,2021-08-02,43.69,43.69,43.404,43.3,43.404,5800
37,2021-08-03,43.54,43.697,43.697,43.39,43.697,4000
38,2021-08-04,43.69,43.76,43.489,43.45,43.489,4300
39,2021-08-05,43.44,43.44,43.208,42.89,43.208,7500
40,2021-08-06,43.08,43.23,43.17,42.9,43.17,2900
41,2021-08-09,43.15,43.19,43.08,43.04,43.08,4000
42,2021-08-10,43.0,43.05,42.7,42.7,42.7,5200
43,2021-08-11,42.885,42.885,42.59,42.57,42.59,3300
44,2021-08-12,42.71,42.88,42.877,42.71,42.877,2000
45,2021-08-13,42.96,43.017,42.994,42.87,42.994,5200
46,2021-08-16,43.1,43.4983,43.4983,43.08,43.4983,3829
47,2021-08-17,43.4983,43.8227,43.8227,43.45,43.8227,3091
48,2021-08-18,43.89,43.89,43.319,43.319,43.319,4500
49,2021-08-19,43.19,43.54,43.485,43.08,43.485,6200
50,2021-08-20,43.7,43.87,43.853,43.7,43.853,2500
51,2021-08-23,43.89,43.89,43.7398,43.7398,43.7398,9104
52,2021-08-24,43.91,44.02,43.88,43.73,43.88,6293
53,2021-08-25,43.97,43.97,43.861,43.699,43.861,2600
54,2021-08-26,43.93,43.93,43.63,43.6,43.63,14600
55,2021-08-27,43.77,43.94,43.759,43.759,43.759,2600
56,2021-08-30,43.88,44.15,44.0443,43.88,44.0443,7372
57,2021-08-31,44.01,44.0991,44.0991,43.9401,44.0991,4530
58,2021-09-01,43.9,44.29,44.285,43.9,44.285,6099
59,2021-09-02,44.53,44.775,44.775,44.45,44.775,8000
60,2021-09-03,44.75,44.788,44.788,44.615,44.788,1300
61,2021-09-07,44.87,44.87,44.657,44.39,44.657,4794
