,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,47.19,47.32,47.21,47.0,47.21,221800
1,2021-06-11,47.29,47.43,47.32,47.12,47.32,200000
2,2021-06-14,47.49,47.62,47.46,47.27,47.46,277700
3,2021-06-15,47.47,47.64,47.64,47.41,47.64,369300
4,2021-06-16,47.61,47.86,47.26,47.16,47.26,160600
5,2021-06-17,47.15,47.26,47.01,46.77,47.01,221900
6,2021-06-18,46.42,46.42,45.98,45.89,45.98,674500
7,2021-06-21,46.2,46.64,46.58,46.09,46.58,248500
8,2021-06-22,46.57,46.57,46.29,46.19,46.29,98400
9,2021-06-23,46.26,46.26,45.95,45.9,45.95,200400
10,2021-06-24,46.18,46.3,46.29,46.06,46.29,160700
11,2021-06-25,46.34,46.45,46.4,46.25,46.4,198100
12,2021-06-28,46.24,46.24,46.0,45.94,46.0,268800
13,2021-06-29,45.8,45.85,45.54,45.51,45.54,176900
14,2021-06-30,45.31,45.47,45.38,45.2,45.38,344700
15,2021-07-01,45.48,45.74,45.74,45.48,45.74,158500
16,2021-07-02,45.82,46.02,46.02,45.65,46.02,145800
17,2021-07-06,46.39,46.44,46.32,45.91,46.32,235500
18,2021-07-07,46.32,46.54,46.44,46.28,46.44,201800
19,2021-07-08,45.94,46.24,46.07,45.9,46.07,389700
20,2021-07-09,46.32,46.54,46.4,46.22,46.4,200600
21,2021-07-12,46.31,46.52,46.5,46.29,46.5,409000
22,2021-07-13,46.31,46.31,46.04,45.95,46.04,303900
23,2021-07-14,46.25,46.25,45.99,45.93,45.99,230700
24,2021-07-15,45.63,45.87,45.87,45.5,45.87,208900
25,2021-07-16,46.04,46.12,45.86,45.82,45.86,131800
26,2021-07-19,45.14,45.23,44.87,44.45,44.87,553400
27,2021-07-20,44.66,45.05,44.93,44.58,44.93,241400
28,2021-07-21,45.15,45.34,45.2,45.1,45.2,144500
29,2021-07-22,45.36,45.42,45.39,45.21,45.39,309900
30,2021-07-23,45.51,45.71,45.63,45.42,45.63,131100
31,2021-07-26,45.59,45.9,45.9,45.59,45.9,282900
32,2021-07-27,45.68,45.96,45.91,45.56,45.91,444000
33,2021-07-28,46.0,46.14,46.07,45.78,46.07,239400
34,2021-07-29,46.23,46.32,46.19,46.15,46.19,105800
35,2021-07-30,45.98,46.25,45.88,45.79,45.88,214600
36,2021-08-02,45.94,46.17,45.9,45.86,45.9,116400
37,2021-08-03,45.95,46.12,46.07,45.76,46.07,102900
38,2021-08-04,45.98,46.0,45.81,45.74,45.81,193500
39,2021-08-05,46.07,46.22,46.18,45.89,46.18,120900
40,2021-08-06,46.29,46.29,46.22,46.06,46.22,144800
41,2021-08-09,46.02,46.12,45.95,45.71,45.95,130100
42,2021-08-10,45.88,46.01,45.9,45.75,45.9,245100
43,2021-08-11,46.11,46.31,46.27,46.1,46.27,118900
44,2021-08-12,46.36,46.37,46.17,46.1,46.17,160900
45,2021-08-13,46.33,46.45,46.31,46.19,46.31,368400
46,2021-08-16,46.24,46.49,46.49,46.13,46.49,128500
47,2021-08-17,45.99,46.12,46.03,45.69,46.03,152000
48,2021-08-18,46.13,46.2,46.04,45.92,46.04,156600
49,2021-08-19,45.73,45.91,45.67,45.53,45.67,395800
50,2021-08-20,45.48,46.0,46.0,45.38,46.0,229400
51,2021-08-23,46.11,46.26,46.26,46.07,46.26,236000
52,2021-08-24,46.19,46.5,46.37,46.06,46.37,1125000
53,2021-08-25,46.47,46.65,46.5,46.3,46.5,310800
54,2021-08-26,46.24,46.32,46.19,46.14,46.19,169300
55,2021-08-27,46.34,46.71,46.7,46.33,46.7,164400
56,2021-08-30,46.51,46.66,46.64,46.47,46.64,381710
57,2021-08-31,46.68,46.73,46.51,46.51,46.51,530784
58,2021-09-01,46.8,47.17,47.07,46.7738,47.07,193946
59,2021-09-02,47.17,47.47,47.47,47.1435,47.47,188206
60,2021-09-03,47.3,47.37,47.26,47.11,47.26,406530
61,2021-09-07,47.13,47.13,46.95,46.9061,46.95,264678
