,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,384.01,387.22,387.19,383.52,387.19,31000
1,2021-06-11,387.46,388.76,388.76,387.2,388.76,19500
2,2021-06-14,389.17,392.89,392.89,388.76,392.89,37600
3,2021-06-15,392.83,392.83,390.36,389.69,390.36,33000
4,2021-06-16,391.0,391.75,388.57,384.91,388.57,32900
5,2021-06-17,387.03,395.03,394.27,387.03,394.27,63900
6,2021-06-18,391.66,393.34,391.03,390.0,391.03,141500
7,2021-06-21,391.32,393.89,393.33,388.42,393.33,29210
8,2021-06-22,393.6,397.885,397.4803,393.55,397.4803,34808
9,2021-06-23,397.95,399.13,397.59,396.89,397.59,22700
10,2021-06-24,400.01,401.74,400.05,399.4,400.05,40500
11,2021-06-25,400.83,400.83,399.52,398.85,399.52,41000
12,2021-06-28,400.5,404.26,404.17,400.5,404.17,57100
13,2021-06-29,404.06,405.71,405.63,403.75,405.63,16500
14,2021-06-30,404.98,405.0,403.98,403.36,403.98,16400
15,2021-07-01,403.56,404.62,404.23,402.21,404.23,12200
16,2021-07-02,406.66,409.17,408.83,405.74,408.83,22100
17,2021-07-06,409.61,412.23,412.06,407.68,412.06,26000
18,2021-07-07,414.42,415.04,412.52,411.25,412.52,25700
19,2021-07-08,405.7,410.17,408.64,404.19,408.64,33100
20,2021-07-09,408.39,412.71,412.47,408.39,412.47,17800
21,2021-07-12,414.32,414.4,413.01,411.69,413.01,22000
22,2021-07-13,412.45,416.28,412.73,412.09,412.73,30200
23,2021-07-14,416.24,416.93,413.0,412.08,413.0,40400
24,2021-07-15,413.24,413.87,408.8,406.78,408.8,74100
25,2021-07-16,410.75,410.82,405.14,404.86,405.14,44700
26,2021-07-19,400.19,402.14,400.98,398.23,400.98,40800
27,2021-07-20,402.98,409.25,407.19,400.66,407.19,59400
28,2021-07-21,406.86,411.51,411.33,406.76,411.33,47500
29,2021-07-22,411.76,414.4,414.4,411.76,414.4,24800
30,2021-07-23,416.71,420.93,420.77,416.17,420.77,48200
31,2021-07-26,420.57,421.34,421.07,419.66,421.07,25000
32,2021-07-27,420.96,420.96,415.77,412.0,415.77,20200
33,2021-07-28,418.02,419.05,418.03,414.44,418.03,55000
34,2021-07-29,417.2,419.27,417.79,417.2,417.79,22000
35,2021-07-30,412.64,414.99,413.6,412.44,413.6,31100
36,2021-08-02,415.35,415.83,412.64,412.17,412.64,32000
37,2021-08-03,413.83,414.35,414.29,409.04,414.29,19700
38,2021-08-04,414.98,416.87,416.09,413.29,416.09,41500
39,2021-08-05,416.68,418.7,418.63,416.26,418.63,22000
40,2021-08-06,417.6,418.71,417.35,416.09,417.35,22100
41,2021-08-09,417.46,417.65,417.01,416.25,417.01,28100
42,2021-08-10,417.48,418.01,414.0,413.22,414.0,74000
43,2021-08-11,415.82,415.82,413.16,411.2,413.16,70700
44,2021-08-12,412.19,414.88,414.71,411.1,414.71,16200
45,2021-08-13,415.38,416.51,415.97,414.56,415.97,24600
46,2021-08-16,414.41,416.35,416.35,410.21,416.35,16879
47,2021-08-17,413.85,414.04,411.87,409.4,411.87,39909
48,2021-08-18,411.48,412.69,407.43,407.42,407.43,30400
49,2021-08-19,405.0,411.61,409.64,405.0,409.64,34500
50,2021-08-20,410.65,414.5,414.28,410.65,414.28,19700
51,2021-08-23,415.99,421.55,420.99,415.99,420.99,48970
52,2021-08-24,422.4,423.53,422.72,421.62,422.72,25282
53,2021-08-25,423.43,424.17,423.35,422.31,423.35,19700
54,2021-08-26,423.25,424.17,421.22,421.03,421.22,22300
55,2021-08-27,422.34,427.13,426.68,422.1,426.68,31300
56,2021-08-30,427.63,431.61,430.7,427.63,430.7,38200
57,2021-08-31,431.18,431.18,429.28,428.54,429.28,21400
58,2021-09-01,430.81,432.64,430.21,429.87,430.21,33700
59,2021-09-02,431.19,431.57,428.99,427.92,428.99,15700
60,2021-09-03,428.68,431.85,431.14,428.68,431.14,49000
61,2021-09-07,431.41,432.0,431.08,429.74,431.08,43255
