,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,186.62,189.58,189.58,186.62,189.58,5500
1,2021-06-11,189.53,189.53,187.83,186.83,187.83,4200
2,2021-06-14,188.08,188.08,187.51,186.95,187.51,6200
3,2021-06-15,188.4,188.4,186.92,186.56,186.92,4000
4,2021-06-16,187.96,187.96,186.81,186.34,186.81,15500
5,2021-06-17,186.13,187.2,187.2,185.46,187.2,2900
6,2021-06-18,186.1,186.1,184.66,184.51,184.66,6000
7,2021-06-21,185.42,186.44,186.429,184.75,186.429,2045
8,2021-06-22,186.12,186.17,186.09,185.37,186.09,1952
9,2021-06-23,185.15,185.21,184.69,184.54,184.69,4700
10,2021-06-24,185.98,186.48,186.41,185.98,186.41,2000
11,2021-06-25,186.21,187.64,187.58,186.21,187.58,17300
12,2021-06-28,187.64,187.64,187.05,186.5,187.05,9400
13,2021-06-29,186.93,187.2,186.24,185.96,186.24,4800
14,2021-06-30,185.75,186.03,185.75,185.55,185.75,6500
15,2021-07-01,185.95,188.02,188.02,185.95,188.02,3100
16,2021-07-02,188.36,189.05,189.05,187.78,189.05,2000
17,2021-07-06,188.01,188.0177,187.6737,187.0625,187.6737,12712
18,2021-07-07,187.4,188.0,188.0,187.03,188.0,4300
19,2021-07-08,185.8,187.52,187.27,185.51,187.27,2700
20,2021-07-09,188.22,189.07,188.74,188.22,188.74,4600
21,2021-07-12,188.23,189.21,188.66,188.23,188.66,2400
22,2021-07-13,188.09,188.09,187.47,187.46,187.47,20800
23,2021-07-14,187.71,187.71,187.27,187.26,187.27,3900
24,2021-07-15,186.31,186.44,185.83,185.58,185.83,2700
25,2021-07-16,185.5,186.26,185.85,185.5,185.85,23300
26,2021-07-19,183.81,184.76,184.69,183.0,184.69,4695
27,2021-07-20,185.32,188.21,187.9,185.32,187.9,3200
28,2021-07-21,188.06,188.91,188.91,188.06,188.91,2500
29,2021-07-22,188.85,189.72,189.37,188.85,189.37,2200
30,2021-07-23,190.08,191.01,190.81,190.08,190.81,5900
31,2021-07-26,190.51,190.51,189.77,189.66,189.77,4600
32,2021-07-27,190.13,190.36,190.36,188.98,190.36,2200
33,2021-07-28,190.2,193.88,193.38,190.2,193.38,3100
34,2021-07-29,194.45,194.45,192.47,192.47,192.47,3400
35,2021-07-30,192.65,192.65,191.72,191.46,191.72,2800
36,2021-08-02,193.15,193.8,193.04,192.75,193.04,27100
37,2021-08-03,194.03,196.15,196.15,193.51,196.15,9600
38,2021-08-04,195.91,195.91,193.85,193.85,193.85,7500
39,2021-08-05,194.11,194.57,194.52,193.3,194.52,3500
40,2021-08-06,194.94,194.94,193.85,192.88,193.85,6500
41,2021-08-09,193.16,193.99,192.8,192.4,192.8,14500
42,2021-08-10,193.09,194.1,193.61,192.0,193.61,6200
43,2021-08-11,193.8,193.8,190.68,190.6,190.68,6100
44,2021-08-12,191.7,193.45,193.23,191.7,193.23,8700
45,2021-08-13,194.32,195.23,195.23,194.32,195.23,3300
46,2021-08-16,195.03,196.2,196.2,194.83,196.2,4700
47,2021-08-17,196.81,198.48,198.47,196.02,198.47,17200
48,2021-08-18,198.98,199.51,195.34,195.34,195.34,6200
49,2021-08-19,193.5,196.76,194.73,193.5,194.73,8300
50,2021-08-20,194.83,196.62,196.01,194.83,196.01,3900
51,2021-08-23,198.04,199.0,198.07,197.73,198.07,4700
52,2021-08-24,195.95,196.19,195.68,195.37,195.68,9700
53,2021-08-25,194.33,194.87,194.75,194.11,194.75,4500
54,2021-08-26,195.05,195.05,193.59,193.59,193.59,4400
55,2021-08-27,194.5,194.5,193.31,193.31,193.31,5800
56,2021-08-30,193.61,194.47,193.88,193.28,193.88,4924
57,2021-08-31,194.01,194.76,193.3707,193.015,193.3707,3768
58,2021-09-01,193.29,193.91,193.91,192.73,193.91,11275
59,2021-09-02,194.67,196.7,196.7,194.67,196.7,5800
60,2021-09-03,197.33,197.33,196.34,195.6,196.34,3500
61,2021-09-07,196.36,196.36,194.71,194.1018,194.71,2319
