Date,Open,High,Low,Close,AdjustedClose,Volume
2019-05-07,18.125,18.25,18,18,18,90362
2019-05-08,15,15,15,15,15,317
2019-05-09,17.5,17.5,17.5,17.5,17.5,25001
2019-05-14,17,17.125,17,17,17,48087
2019-05-17,15.8,15.8,15.8,15.8,15.8,25176
2019-05-20,16,17.375,16,17.125,17.125,87247
2019-05-22,17.75,17.75,17.75,17.75,17.75,5718
2019-05-23,18,18,18,18,18,131
2019-05-29,17,17,16.375,16.875,16.875,130494
2019-05-30,16.05,16.63,16.05,16.5,16.5,221107
2019-06-06,16.5,16.5,16.5,16.5,16.5,358
2019-06-10,15.5,15.5,15.5,15.5,15.5,391
2019-06-11,15.5,16.5,15.5,16.5,16.5,18152
2019-06-12,16,16,16,16,16,2308
2019-06-17,16.75,16.75,16.25,16.625,16.625,104554
2019-06-18,16.5,16.67,16.5,16.5,16.5,65599
2019-06-19,17,17.41,16.5,16.5,16.5,16843
2019-06-20,16.75,16.75,16.5,16.75,16.75,28900
2019-06-24,16.5,16.5,16,16.25,16.25,9682
2019-06-25,16.25,16.25,15.7,15.7,15.7,7521
2019-06-26,15.8,15.8,15.6,15.6,15.6,806
2019-06-27,15.6,15.6,15.52,15.6,15.6,5325
2019-06-28,15.5,15.5,15.05,15.05,15.05,110163
2019-07-01,15.4,15.4,15.275,15.4,15.4,12267
2019-07-02,15.4,15.4,15.4,15.4,15.4,440
2019-07-03,15.5,15.5,15.5,15.5,15.5,228
2019-07-05,15.45,15.45,15.45,15.45,15.45,190
2019-07-08,15.5,15.5,15.5,15.5,15.5,1024
2019-07-09,15.45,15.6,15.45,15.6,15.6,31133
2019-07-10,16,17,16,16.83,16.83,1840
2019-07-11,16.47,16.5,16.01,16.5,16.5,14357
2019-07-12,16.5,19,16.5,17.23,17.23,46764
2019-07-15,17.35,17.4,17.05,17.35,17.35,5594
2019-07-16,17.32,17.35,17.3,17.3,17.3,3452
2019-07-17,17.05,17.2,17,17,17,4503
2019-07-18,16.45,16.51,15.75,16.5,16.5,1819869
2019-07-19,16.74,16.845,16.2,16.35,16.35,1155989
2019-07-22,16.44,16.6,16.1194,16.25,16.25,81123
2019-07-23,16.329,16.5,16.25,16.35,16.35,104708
2019-07-24,16.26,16.44,15.5,15.72,15.72,36096
2019-07-25,15.81,15.81,15.14,15.62,15.62,44253
2019-07-26,15.43,15.43,14.65,14.74,14.74,76992
2019-07-29,14.84,14.85,13.8,14.25,14.25,61216
2019-07-30,14.36,14.9,14.07,14.5,14.5,109251
2019-07-31,14.7,15.04,14.48,14.96,14.96,10611
2019-08-01,15.33,15.59,14,14.99,14.99,34721
2019-08-02,15.57,15.58,14.48,14.75,14.75,34840
2019-08-05,14.58,14.585,13.93,14,14,113812
2019-08-06,14.11,14.4,13.4011,13.85,13.85,122161
2019-08-07,13.86,14,13.52,13.8,13.8,217642
2019-08-08,13.87,15.38,12.87,13,13,203832
2019-08-09,12.98,13.3783,12.725,12.87,12.87,99522
2019-08-12,14.12,15.39,13.2,13.25,13.25,742219
2019-08-13,13.38,13.9,13.07,13.1,13.1,532849
2019-08-14,13.1,13.585,13.03,13.46,13.46,586598
2019-08-15,13.95,14.68,13.28,13.39,13.39,374749
2019-08-16,13.32,13.4898,13.12,13.25,13.25,604124
2019-08-19,13.4,13.7192,13.11,13.15,13.15,463465
2019-08-20,13.29,13.4299,13.15,13.25,13.25,410385
2019-08-21,13.25,13.25,12.9,12.97,12.97,176981
2019-08-22,13.27,13.27,12.93,12.97,12.97,675577
2019-08-23,12.98,13.38,12.93,13.07,13.07,354174
2019-08-26,13.07,13.45,12.93,13.21,13.21,177989
2019-08-27,13.16,13.47,13,13.1,13.1,264329
2019-08-28,13.07,13.68,13.07,13.24,13.24,338208
2019-08-29,13.2,13.82,13.1,13.72,13.72,332527
2019-08-30,13.64,13.93,13.46,13.8,13.8,140360
2019-09-03,13.78,13.94,13.61,13.91,13.91,298133
2019-09-04,13.95,14.195,13.61,13.98,13.98,348583
2019-09-05,14.07,14.28,13.51,13.86,13.86,316337
2019-09-06,13.9,14,13.56,13.93,13.93,311122
2019-09-09,14.02,14.67,13.71,13.93,13.93,470730
2019-09-10,13.89,14.251,13.81,14.04,14.04,241513
2019-09-11,14.01,14.58,14,14.51,14.51,504484
2019-09-12,14.41,15.04,14.175,14.43,14.43,535861
2019-09-13,14.45,15.32,14.14,14.46,14.46,439931
2019-09-16,14.36,14.8,13.93,14.21,14.21,398518
2019-09-17,14.19,15.07,14.19,14.66,14.66,348964
2019-09-18,14.66,15.23,14.51,14.83,14.83,793199
2019-09-19,14.82,15.085,14.5527,14.91,14.91,802194
2019-09-20,14.95,15.42,14.73,14.77,14.77,2410218
2019-09-23,14.77,15.07,13.87,13.95,13.95,543652
2019-09-24,14.05,14.3455,13.75,14.21,14.21,545788
2019-09-25,14.2,15.23,14.2,14.96,14.96,635077
2019-09-26,14.98,15.08,14.42,14.62,14.62,118347
2019-09-27,14.59,14.96,14.43,14.65,14.65,146754
2019-09-30,14.65,15.13,14.63,15,15,199514
2019-10-01,15.02,15.26,14.88,14.98,14.98,393781
2019-10-02,14.9,15.66,14.89,15.3,15.3,576891
2019-10-03,15.32,15.7703,15.09,15.53,15.53,340444
2019-10-04,15.65,16.0085,15.26,15.38,15.38,601104
2019-10-07,15.38,15.52,14.72,14.92,14.92,221150
2019-10-08,14.77,14.98,14.46,14.54,14.54,132659
2019-10-09,14.54,14.98,14.25,14.54,14.54,114408
2019-10-10,14.5,15,14.4044,14.74,14.74,101256
2019-10-11,14.76,15.14,14.57,14.87,14.87,61019
2019-10-14,14.82,15,14.42,14.79,14.79,72901
2019-10-15,14.62,14.94,14.28,14.29,14.29,146800
2019-10-16,14.29,14.67,14.26,14.35,14.35,116166
2019-10-17,14.44,14.7086,14.25,14.5,14.5,163528
2019-10-18,14.69,14.71,14.29,14.5,14.5,130801
2019-10-21,14.5,14.6999,14.36,14.69,14.69,127886
2019-10-22,14.69,14.85,14.57,14.67,14.67,213634
2019-10-23,14.56,14.82,14.3902,14.54,14.54,80717
2019-10-24,14.62,14.65,14.31,14.44,14.44,243449
2019-10-25,14.38,14.5,14.245,14.32,14.32,119658
2019-10-28,14.38,14.5,14.15,14.34,14.34,108131
2019-10-29,14.32,14.68,14.16,14.39,14.39,232854
2019-10-30,14.46,14.63,14.14,14.28,14.28,202622
2019-10-31,14.28,14.41,14.23,14.34,14.34,180911
2019-11-01,14.41,15,14.295,14.96,14.96,218416
2019-11-04,15.25,15.31,14.75,14.76,14.76,423403
2019-11-05,14.98,15.05,14.76,14.84,14.84,315829
2019-11-06,14.77,15,14.55,14.81,14.81,148136
2019-11-07,14.93,15.11,14.3,14.8,14.8,819213
2019-11-08,15,15.25,14.7544,15.14,15.14,777746
2019-11-11,15.22,16.08,15.04,16.04,16.04,423354
2019-11-12,16,16.58,15.65,16.37,16.37,502343
2019-11-13,16.11,16.36,15.75,15.87,15.87,383590
2019-11-14,15.83,16.05,15.625,15.77,15.77,154050
2019-11-15,15.85,15.98,15.235,15.6,15.6,271929
2019-11-18,15.58,15.8,15.14,15.42,15.42,127859
2019-11-19,15.39,15.6,15.285,15.33,15.33,129725
2019-11-20,15.26,15.45,14.96,15.15,15.15,321007
2019-11-21,15.04,15.29,14.815,15.11,15.11,368822
2019-11-22,15.11,15.3,14.98,15.15,15.15,139951
2019-11-25,15.17,15.44,15.04,15.3,15.3,228216
2019-11-26,15.27,15.305,14.83,14.91,14.91,935474
2019-11-27,15.01,15.5988,15,15.51,15.51,276579
2019-11-29,15.51,15.5496,15.23,15.39,15.39,62431
2019-12-02,15.27,15.6,15.26,15.47,15.47,186192
2019-12-03,15.4,15.77,15.31,15.36,15.36,128607
2019-12-04,15.4,15.515,15.02,15.19,15.19,208738
2019-12-05,15.41,15.41,14.78,14.82,14.82,180912
2019-12-06,14.88,14.99,14.56,14.58,14.58,283260
2019-12-09,14.55,14.99,14.45,14.55,14.55,341676
2019-12-10,14.56,14.7874,14.245,14.5,14.5,222357
2019-12-11,14.52,14.78,14.29,14.77,14.77,205034
2019-12-12,14.65,14.88,14.51,14.56,14.56,282753
2019-12-13,15.92,16.64,15.465,15.64,15.64,1848475
2019-12-16,15.78,16.24,15.45,15.98,15.98,472820
2019-12-17,15.98,16.2,15.65,15.71,15.71,235149
2019-12-18,15.73,15.93,15.4,15.7,15.7,298296
