,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,25.96,26.08,26.0001,25.96,25.7243,18628
1,2021-06-11,26.025,26.05,25.995,25.98,25.7193,8288
2,2021-06-14,26.03,26.04,25.92,25.82,25.6451,30272
3,2021-06-15,26.01,26.01,25.9369,25.89,25.6618,10128
4,2021-06-16,25.93,26.03,25.8,25.8,25.5264,15422
5,2021-06-17,25.785,25.85,25.71,25.71,25.4373,45920
6,2021-06-18,25.78,25.78,25.705,25.65,25.4324,6435
7,2021-06-21,25.78,25.79,25.755,25.72,25.4818,10088
8,2021-06-22,25.78,25.8399,25.814,25.69,25.5402,7833
9,2021-06-23,25.74,25.83,25.8,25.74,25.5264,19759
10,2021-06-24,25.84,25.84,25.795,25.75,25.5214,15472
11,2021-06-25,25.87,25.87,25.75,25.74,25.4769,46914
12,2021-06-28,25.81,25.81,25.7938,25.73,25.5202,19904
13,2021-06-29,25.76,25.83,25.79,25.71,25.5165,461763
14,2021-06-30,25.7,25.78,25.78,25.661,25.5066,71912
15,2021-07-01,25.69,25.69,25.62,25.5801,25.4312,64161
16,2021-07-02,25.68,25.68,25.642,25.582,25.4531,13640
17,2021-07-06,25.61,25.63,25.56,25.52,25.3717,9103
18,2021-07-07,25.63,25.66,25.5739,25.55,25.3855,7850
19,2021-07-08,25.64,25.65,25.65,25.55,25.461,15542
20,2021-07-09,25.62,25.7,25.63,25.6,25.4412,14855
21,2021-07-12,25.72,25.72,25.6235,25.61,25.4347,47682
22,2021-07-13,25.62,25.6542,25.58,25.58,25.3915,5440
23,2021-07-14,25.61,25.64,25.59,25.59,25.4015,8099
24,2021-07-15,25.68,25.68,25.59,25.59,25.4015,62916
25,2021-07-16,25.69,25.69,25.62,25.5709,25.4312,10318
26,2021-07-19,25.61,25.61,25.5151,25.47,25.3271,35371
27,2021-07-20,25.45,25.56,25.5,25.45,25.3121,8597
28,2021-07-21,25.505,25.58,25.54,25.49,25.3518,85081
29,2021-07-22,25.545,25.5899,25.5,25.5,25.3121,16561
30,2021-07-23,25.47,25.6,25.59,25.47,25.4015,19899
31,2021-07-26,25.62,25.62,25.59,25.54,25.4015,69909
32,2021-07-27,25.56,25.56,25.53,25.51,25.3419,12736
33,2021-07-28,25.48,25.53,25.53,25.43,25.3419,22103
34,2021-07-29,25.53,25.61,25.5218,25.5001,25.3338,10954
35,2021-07-30,25.59,25.59,25.5321,25.49,25.344,5643
36,2021-08-02,25.51,25.518,25.4359,25.39,25.3415,5243
37,2021-08-03,25.55,25.55,25.485,25.45,25.3904,213086
38,2021-08-04,25.59,25.59,25.485,25.43,25.3904,14431
39,2021-08-05,25.5,25.53,25.515,25.5,25.4203,6767
40,2021-08-06,25.47,25.4799,25.37,25.36,25.2758,8919
41,2021-08-09,25.35,25.4,25.36,25.34,25.2659,72668
42,2021-08-10,25.36,25.36,25.337,25.33,25.243,57068
43,2021-08-11,25.44,25.46,25.46,25.33,25.3655,68709
44,2021-08-12,25.47,25.47,25.42,25.39,25.3257,61919
45,2021-08-13,25.43,25.544,25.525,25.43,25.4303,4577
46,2021-08-16,25.46,25.52,25.46,25.415,25.3655,143558
47,2021-08-17,25.36,25.385,25.36,25.3208,25.2659,8603
48,2021-08-18,25.41,25.41,25.3,25.29,25.2061,27761
49,2021-08-19,25.315,25.3399,25.32,25.26,25.226,2705
50,2021-08-20,25.36,25.36,25.315,25.27,25.221,9472
51,2021-08-23,25.3,25.399,25.37,25.3,25.2758,6211
52,2021-08-24,25.32,25.44,25.395,25.32,25.3007,8390
53,2021-08-25,25.38,25.45,25.435,25.38,25.3406,13790
54,2021-08-26,25.47,25.47,25.378,25.37,25.2838,59457
55,2021-08-27,25.44,25.53,25.5,25.44,25.4054,4039
56,2021-08-30,25.5,25.55,25.54,25.45,25.4452,38737
57,2021-08-31,25.49,25.57,25.57,25.49,25.4751,51826
58,2021-09-01,25.48,25.49,25.46,25.45,25.46,4401
59,2021-09-02,25.48,25.54,25.5,25.42,25.5,54224
60,2021-09-03,25.46,25.48,25.455,25.431,25.455,11587
61,2021-09-07,25.4001,25.449,25.425,25.4001,25.425,34488
