,date,open,high,close,low,adjusted_close,volume
0,2021-07-14,5.0,6.18,4.75,4.43,4.75,6621681
1,2021-07-15,4.51,5.88,5.2,4.31,5.2,8376400
2,2021-07-16,4.96,5.3,4.77,4.68,4.77,1641200
3,2021-07-19,4.68,5.15,4.88,4.2,4.88,1298200
4,2021-07-20,4.89,5.263,5.03,4.642,5.03,1116800
5,2021-07-21,4.87,5.17,4.53,4.53,4.53,954100
6,2021-07-22,4.54,5.0,4.79,4.42,4.79,640400
7,2021-07-23,4.71,4.79,4.38,4.2,4.38,647500
8,2021-07-26,4.36,4.59,4.08,3.86,4.08,607100
9,2021-07-27,3.94,4.131,3.92,3.75,3.92,355400
10,2021-07-28,3.88,3.9,3.75,3.61,3.75,347400
11,2021-07-29,3.76,4.0,3.89,3.672,3.89,569700
12,2021-07-30,3.85,4.37,3.92,3.773,3.92,884600
13,2021-08-02,3.99,4.74,4.19,3.99,4.19,507300
14,2021-08-03,4.14,4.27,4.04,4.02,4.04,263000
15,2021-08-04,4.02,4.17,3.97,3.91,3.97,138300
16,2021-08-05,3.939,4.174,4.03,3.905,4.03,141500
17,2021-08-06,4.08,4.36,4.22,4.03,4.22,797600
18,2021-08-09,4.15,4.5,4.43,4.15,4.43,332200
19,2021-08-10,4.49,4.89,4.05,4.009,4.05,1891200
20,2021-08-11,4.0,4.211,3.96,3.9,3.96,704500
21,2021-08-12,4.0,4.14,4.015,3.94,4.015,168600
22,2021-08-13,4.02,4.11,3.92,3.81,3.92,177700
23,2021-08-16,3.97,3.97,3.54,3.515,3.54,163800
24,2021-08-17,3.52,3.56,3.45,3.22,3.45,224400
25,2021-08-18,3.41,3.61,3.35,3.16,3.35,623800
26,2021-08-19,3.17,3.49,3.45,3.13,3.45,535300
27,2021-08-20,3.38,3.46,3.42,3.22,3.42,123200
28,2021-08-23,3.41,3.96,3.57,3.24,3.57,1593300
29,2021-08-24,3.62,3.62,3.35,3.283,3.35,303500
30,2021-08-25,3.326,3.59,3.43,3.26,3.43,410600
31,2021-08-26,3.4,3.68,3.6,3.4,3.6,1017500
32,2021-08-27,3.6,3.72,3.45,3.42,3.45,342700
33,2021-08-30,3.44,3.57,3.41,3.35,3.41,253700
34,2021-08-31,3.48,3.6,3.6,3.46,3.6,173300
35,2021-09-01,3.65,3.65,3.52,3.473,3.52,156100
36,2021-09-02,3.578,3.65,3.49,3.48,3.49,129700
37,2021-09-03,3.54,3.61,3.5,3.47,3.5,143600
38,2021-09-07,3.52,3.56,3.49,3.45,3.49,91637
