,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,273.7,274.23,272.13,271.25,272.13,1072400
1,2021-06-11,273.27,274.24,274.17,272.63,274.17,833600
2,2021-06-14,274.57,274.68,271.8,270.85,271.8,993000
3,2021-06-15,272.11,272.37,271.54,269.56,271.54,906200
4,2021-06-16,271.19,271.57,269.68,268.26,269.68,1029800
5,2021-06-17,269.19,269.83,265.41,263.17,265.41,1200100
6,2021-06-18,262.07,263.67,260.21,260.08,260.21,1543700
7,2021-06-21,262.1,266.6,266.34,261.93,266.34,1097200
8,2021-06-22,266.19,267.35,266.65,264.32,266.65,785300
9,2021-06-23,266.72,268.12,266.84,266.62,266.84,779400
10,2021-06-24,268.63,269.57,269.38,267.13,269.38,861800
11,2021-06-25,270.29,272.16,271.84,269.64,271.84,908900
12,2021-06-28,272.08,272.08,269.04,267.73,269.04,934400
13,2021-06-29,269.87,270.86,268.78,268.2,268.78,1060600
14,2021-06-30,268.19,269.38,268.73,267.93,268.73,1929900
15,2021-07-01,270.21,271.81,271.14,269.55,271.14,1646600
16,2021-07-02,271.76,271.92,270.27,269.33,270.27,675000
17,2021-07-06,270.32,270.35,267.27,264.97,267.27,1198800
18,2021-07-07,267.08,268.62,267.61,264.95,267.61,1031800
19,2021-07-08,262.98,266.72,264.28,261.1,264.28,1425600
20,2021-07-09,266.88,270.11,269.85,266.59,269.85,1508000
21,2021-07-12,268.91,270.97,270.58,267.98,270.58,1003400
22,2021-07-13,269.35,269.91,266.47,266.41,266.47,957000
23,2021-07-14,267.89,269.3,264.94,264.55,264.94,877900
24,2021-07-15,263.74,265.27,264.25,262.18,264.25,1016100
25,2021-07-16,266.06,266.06,260.96,260.81,260.96,1137500
26,2021-07-19,256.41,258.7,256.44,254.24,256.44,2146900
27,2021-07-20,257.25,265.0,263.71,256.49,263.71,1428000
28,2021-07-21,265.07,268.02,266.94,265.07,266.94,1547100
29,2021-07-22,266.48,266.51,264.33,263.02,264.33,1081400
30,2021-07-23,265.75,266.83,266.6,264.11,266.6,695500
31,2021-07-26,266.84,268.55,267.01,266.17,267.01,823900
32,2021-07-27,265.64,265.93,265.36,263.59,265.36,887400
33,2021-07-28,266.38,268.83,267.35,263.88,267.35,943600
34,2021-07-29,269.12,271.7,270.11,268.84,270.11,1035900
35,2021-07-30,268.99,272.15,269.71,268.68,269.71,737500
36,2021-08-02,271.1,273.83,268.68,268.41,268.68,1350300
37,2021-08-03,269.47,270.33,270.25,266.5,270.25,1672600
38,2021-08-04,268.76,270.54,267.51,267.51,267.51,999000
39,2021-08-05,268.47,270.52,270.04,268.26,270.04,870100
40,2021-08-06,271.65,272.75,271.3,270.34,271.3,989500
41,2021-08-09,270.95,271.49,270.51,269.02,270.51,781700
42,2021-08-10,270.8,272.31,271.49,269.77,271.49,842500
43,2021-08-11,271.85,273.71,273.69,270.31,273.69,2351000
44,2021-08-12,273.65,273.96,273.24,271.86,273.24,708300
45,2021-08-13,273.36,273.79,272.84,272.29,272.84,679500
46,2021-08-16,271.82,272.53,272.15,269.75,272.15,721500
47,2021-08-17,269.81,270.04,268.79,266.08,268.79,1162200
48,2021-08-18,268.49,269.96,266.28,266.2,266.28,707100
49,2021-08-19,263.92,266.09,264.04,262.5,264.04,1035600
50,2021-08-20,264.15,267.41,267.29,263.7,267.29,942800
51,2021-08-23,268.73,270.02,269.61,268.48,269.61,614400
52,2021-08-24,270.48,272.75,272.23,270.34,272.23,803300
53,2021-08-25,272.37,275.08,273.74,271.88,273.74,1085600
54,2021-08-26,273.68,273.83,271.27,270.99,271.27,1181500
55,2021-08-27,271.88,276.97,276.55,271.76,276.55,1417200
56,2021-08-30,276.97,277.22,275.84,275.21,275.84,896809
57,2021-08-31,275.98,276.21,275.07,274.2,275.07,666262
58,2021-09-01,275.86,276.75,275.85,273.43,275.85,865638
59,2021-09-02,276.55,277.81,277.04,275.81,277.04,1292493
60,2021-09-03,276.41,276.81,275.7,275.131,275.7,1047753
61,2021-09-07,275.61,275.61,272.54,272.49,272.54,1134698
