,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,39.61,39.769,39.63,39.57,39.63,60700
1,2021-06-11,39.685,39.725,39.71,39.6,39.71,30800
2,2021-06-14,39.7,39.82,39.78,39.68,39.78,75445
3,2021-06-15,39.8,39.82,39.76,39.665,39.76,52565
4,2021-06-16,39.72,39.79,39.42,39.33,39.42,95200
5,2021-06-17,39.24,39.33,39.08,38.92,39.08,63400
6,2021-06-18,38.42,38.46,38.28,38.19,38.28,42400
7,2021-06-21,38.4,38.8296,38.82,38.4,38.82,116622
8,2021-06-22,38.66,39.0,38.94,38.61,38.94,67303
9,2021-06-23,38.88,38.98,38.73,38.7,38.73,54700
10,2021-06-24,39.1,39.2,39.16,39.03,39.16,43600
11,2021-06-25,39.25,39.31,39.24,39.2,39.24,42800
12,2021-06-28,39.19,39.19,38.95,38.894,38.95,54500
13,2021-06-29,39.085,39.09,39.04,38.975,39.04,53400
14,2021-06-30,38.69,38.815,38.68,38.52,38.68,75100
15,2021-07-01,38.74,38.78,38.63,38.5,38.63,305200
16,2021-07-02,38.73,38.8,38.78,38.59,38.78,36200
17,2021-07-06,38.84,38.84,38.44,38.3,38.44,48621
18,2021-07-07,38.61,38.7,38.6,38.41,38.6,37900
19,2021-07-08,37.88,38.015,37.92,37.65,37.92,50500
20,2021-07-09,38.45,38.9,38.9,38.45,38.9,73000
21,2021-07-12,38.88,39.13,39.1,38.88,39.1,28500
22,2021-07-13,38.94,38.99,38.8,38.77,38.8,203900
23,2021-07-14,39.12,39.12,38.94,38.9,38.94,37500
24,2021-07-15,38.6,38.7,38.588,38.44,38.588,41400
25,2021-07-16,38.51,38.53,38.05,38.033,38.05,38400
26,2021-07-19,37.31,37.33,37.19,37.0157,37.19,240601
27,2021-07-20,37.07,37.67,37.62,37.025,37.62,286359
28,2021-07-21,37.99,38.44,38.4,37.93,38.4,51800
29,2021-07-22,38.71,38.71,38.51,38.42,38.51,30000
30,2021-07-23,38.85,38.94,38.82,38.73,38.82,37100
31,2021-07-26,38.86,39.065,39.05,38.86,39.05,94000
32,2021-07-27,38.86,38.86,38.81,38.55,38.81,71100
33,2021-07-28,38.777,39.14,39.09,38.775,39.09,419100
34,2021-07-29,39.4,39.53,39.39,39.39,39.39,94300
35,2021-07-30,39.23,39.34,39.14,39.07,39.14,47100
36,2021-08-02,39.57,39.69,39.34,39.34,39.34,70700
37,2021-08-03,39.58,39.78,39.7,39.44,39.7,79700
38,2021-08-04,39.8,39.853,39.72,39.665,39.72,44900
39,2021-08-05,39.85,39.921,39.82,39.817,39.82,38200
40,2021-08-06,39.84,39.84,39.8,39.73,39.8,43700
41,2021-08-09,39.75,39.8,39.73,39.69,39.73,84700
42,2021-08-10,39.77,39.94,39.94,39.731,39.94,42200
43,2021-08-11,40.12,40.21,40.21,40.0,40.21,41400
44,2021-08-12,40.016,40.12,40.11,39.98,40.11,38100
45,2021-08-13,40.15,40.29,40.25,40.15,40.25,54900
46,2021-08-16,39.9,39.94,39.91,39.695,39.91,45300
47,2021-08-17,39.52,39.552,39.43,39.21,39.43,49500
48,2021-08-18,39.2,39.36,39.08,39.07,39.08,66100
49,2021-08-19,38.34,38.51,38.44,38.294,38.44,46800
50,2021-08-20,38.26,38.56,38.56,38.13,38.56,52700
51,2021-08-23,38.9,39.17,39.12,38.9,39.12,53018
52,2021-08-24,39.2,39.39,39.31,39.1803,39.31,56051
53,2021-08-25,39.33,39.5,39.442,39.25,39.442,74400
54,2021-08-26,39.3,39.32,39.07,39.06,39.07,66400
55,2021-08-27,39.218,39.67,39.61,39.218,39.61,64300
56,2021-08-30,39.71,39.71,39.61,39.57,39.61,160000
57,2021-08-31,39.69,39.69,39.54,39.485,39.54,84400
58,2021-09-01,39.816,40.016,39.89,39.76,39.89,95700
59,2021-09-02,40.13,40.26,40.19,40.125,40.19,66500
60,2021-09-03,40.2,40.4,40.35,40.2,40.35,59300
61,2021-09-07,40.51,40.5448,40.44,40.41,40.44,63076
