,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,36.3892,36.41,36.3793,36.37,35.9858,1316
1,2021-06-11,36.38,36.38,36.3708,36.31,35.9774,38524
2,2021-06-14,36.4,36.4,36.3135,36.3,35.9208,16447
3,2021-06-15,36.39,36.39,36.31,36.232,35.9173,9147
4,2021-06-16,36.2857,36.34,36.1832,36.1209,35.7919,13207
5,2021-06-17,36.08,36.129,36.0337,36.03,35.644,8323
6,2021-06-18,35.87,35.94,35.8313,35.8313,35.4438,5929
7,2021-06-21,35.85,36.02,36.01,35.85,35.621,120300
8,2021-06-22,35.65,35.66,35.61,35.51,35.61,6000
9,2021-06-23,35.61,35.64,35.58,35.58,35.58,12400
10,2021-06-24,35.72,35.75,35.71,35.65,35.71,11700
11,2021-06-25,35.81,35.81,35.74,35.7,35.74,39000
12,2021-06-28,35.72,35.72,35.68,35.65,35.68,4300
13,2021-06-29,35.68,35.68,35.6,35.57,35.6,4700
14,2021-06-30,35.61,35.65,35.63,35.59,35.63,7900
15,2021-07-01,35.64,35.73,35.68,35.63,35.68,21500
16,2021-07-02,35.69,35.76,35.75,35.68,35.75,4000
17,2021-07-06,35.75,35.75,35.6814,35.59,35.6814,18003
18,2021-07-07,35.65,35.72,35.68,35.63,35.68,6300
19,2021-07-08,35.43,35.55,35.53,35.43,35.53,2300
20,2021-07-09,35.66,35.77,35.75,35.66,35.75,3800
21,2021-07-12,35.76,35.81,35.79,35.76,35.79,2000
22,2021-07-13,35.71,35.71,35.55,35.55,35.55,2000
23,2021-07-14,35.71,35.71,35.59,35.54,35.59,20800
24,2021-07-15,35.49,35.61,35.58,35.49,35.58,9900
25,2021-07-16,35.54,35.56,35.47,35.47,35.47,3900
26,2021-07-19,35.19,35.21,35.21,35.13,35.21,4000
27,2021-07-20,35.44,35.46,35.42,35.42,35.42,16600
28,2021-07-21,35.4,35.58,35.54,35.4,35.54,8700
29,2021-07-22,35.61,35.61,35.5,35.48,35.5,5200
30,2021-07-23,35.49,35.54,35.54,35.49,35.54,3500
31,2021-07-26,35.59,35.61,35.6,35.55,35.6,3800
32,2021-07-27,35.53,35.6,35.6,35.52,35.6,10400
33,2021-07-28,35.55,35.7,35.68,35.55,35.68,8400
34,2021-07-29,35.68,35.81,35.73,35.68,35.73,8000
35,2021-07-30,35.78,35.78,35.64,35.63,35.64,16900
36,2021-08-02,35.68,35.84,35.68,35.68,35.68,117200
37,2021-08-03,35.81,35.81,35.78,35.72,35.78,19500
38,2021-08-04,35.83,35.83,35.65,35.63,35.65,2300
39,2021-08-05,35.75,35.78,35.75,35.73,35.75,8500
40,2021-08-06,35.63,35.72,35.68,35.63,35.68,5000
41,2021-08-09,35.63,35.6494,35.5831,35.5831,35.5831,3110
42,2021-08-10,35.5876,35.62,35.59,35.56,35.59,4150
43,2021-08-11,35.7,35.74,35.74,35.69,35.74,4400
44,2021-08-12,35.68,35.72,35.72,35.66,35.72,2300
45,2021-08-13,35.83,35.83,35.83,35.83,35.83,200
46,2021-08-16,35.85,35.85,35.82,35.8,35.82,8800
47,2021-08-17,35.7,35.7,35.7,35.61,35.7,2900
48,2021-08-18,35.69,35.7,35.59,35.59,35.59,3100
49,2021-08-19,35.44,35.54,35.49,35.43,35.49,286200
50,2021-08-20,35.52,35.64,35.63,35.52,35.63,7900
51,2021-08-23,35.7336,35.7651,35.761,35.7336,35.761,826
52,2021-08-24,35.75,35.82,35.8063,35.75,35.8063,981
53,2021-08-25,35.75,35.86,35.83,35.75,35.83,1000
54,2021-08-26,35.74,35.76,35.7,35.7,35.7,1100
55,2021-08-27,35.87,35.96,35.96,35.87,35.96,1100
56,2021-08-30,36.03,36.03,35.9505,35.9,35.9505,1151
57,2021-08-31,36.0096,36.0096,35.9678,35.95,35.9678,2399
58,2021-09-01,36.07,36.08,36.0499,36.0104,36.0499,11262
59,2021-09-02,36.08,36.14,36.14,36.08,36.14,21100
60,2021-09-03,36.15,36.15,36.08,36.05,36.08,2400
61,2021-09-07,36.019,36.019,35.86,35.86,35.86,22327
