,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,37.45,38.0,37.95,37.34,37.7892,2512680
1,2021-06-11,37.97,38.01,37.71,37.57,37.5502,2922354
2,2021-06-14,37.71,37.94,37.81,37.54,37.6498,1924450
3,2021-06-15,37.92,37.92,37.42,37.41,37.2614,1734440
4,2021-06-16,37.48,37.71,37.15,37.13,36.9926,5316703
5,2021-06-17,37.16,37.515,37.42,37.11,37.2614,3970735
6,2021-06-18,37.14,37.31,36.51,36.5,36.3553,6447471
7,2021-06-21,36.72,37.64,37.53,36.65,37.371,2092977
8,2021-06-22,37.55,37.63,37.39,37.23,37.2316,2687702
9,2021-06-23,37.4,37.87,37.61,37.22,37.4506,6277910
10,2021-06-24,37.36,37.64,37.54,37.221,37.3809,4380482
11,2021-06-25,37.49,37.99,37.95,37.435,37.7892,2771169
12,2021-06-28,37.99,37.99,37.72,37.39,37.5602,3434476
13,2021-06-29,37.71,37.825,37.52,37.425,37.361,3020226
14,2021-06-30,37.59,37.86,37.29,37.275,37.132,4602626
15,2021-07-01,37.26,37.68,37.54,37.08,37.3809,7768517
16,2021-07-02,37.62,37.94,37.87,37.6,37.7095,3368914
17,2021-07-06,38.09,38.865,38.77,37.84,38.6057,4873556
18,2021-07-07,38.77,39.39,39.0,38.485,38.8347,5732105
19,2021-07-08,38.72,39.605,39.38,38.441,39.2131,9640320
20,2021-07-09,39.67,39.9,39.9,39.27,39.7309,4366431
21,2021-07-12,39.84,40.2,40.09,39.73,39.9201,4036883
22,2021-07-13,40.07,40.1566,39.62,39.58,39.4521,3047785
23,2021-07-14,39.5,40.08,39.84,39.5,39.6712,3592897
24,2021-07-15,39.8,39.9,39.83,39.6177,39.6612,3027061
25,2021-07-16,40.02,40.235,39.97,39.865,39.8006,2613060
26,2021-07-19,39.7,39.8,39.23,38.87,39.0638,2985265
27,2021-07-20,39.49,40.52,40.25,39.24,40.0794,3743701
28,2021-07-21,40.26,40.4,39.92,39.84,39.7508,2317510
29,2021-07-22,39.88,40.03,39.85,39.69,39.6811,2616674
30,2021-07-23,39.85,40.59,40.52,39.85,40.3483,1666533
31,2021-07-26,40.42,40.585,40.25,40.0701,40.0794,1609937
32,2021-07-27,40.3,40.81,40.7,40.2,40.5275,5885432
33,2021-07-28,40.7,40.72,40.54,40.28,40.3682,4565677
34,2021-07-29,40.68,41.09,40.64,40.06,40.4678,3272921
35,2021-07-30,40.8,41.198,40.68,40.67,40.5076,2964648
36,2021-08-02,40.92,41.17,40.61,40.52,40.4379,2395516
37,2021-08-03,40.68,40.82,40.41,40.11,40.2388,2185402
38,2021-08-04,40.45,40.59,40.42,40.17,40.2487,2583527
39,2021-08-05,40.64,40.77,40.43,40.11,40.2587,2209131
40,2021-08-06,40.36,40.52,40.12,40.12,39.95,2580800
41,2021-08-09,39.93,40.02,39.79,39.645,39.79,2212000
42,2021-08-10,39.83,39.99,38.91,38.88,38.91,2115900
43,2021-08-11,39.07,39.21,39.12,38.89,39.12,1714200
44,2021-08-12,39.32,39.47,39.22,39.06,39.22,1863800
45,2021-08-13,39.3,39.63,39.62,39.185,39.62,2883500
46,2021-08-16,39.27,39.7,39.64,39.23,39.64,2957500
47,2021-08-17,39.62,40.24,39.62,39.445,39.62,7211000
48,2021-08-18,39.42,40.28,40.11,39.22,40.11,6254500
49,2021-08-19,39.89,40.44,40.22,39.75,40.22,3508800
50,2021-08-20,40.23,40.66,40.48,40.12,40.48,3425700
51,2021-08-23,40.5,40.85,40.34,40.21,40.34,2541600
52,2021-08-24,40.35,40.48,40.1,39.87,40.1,2976000
53,2021-08-25,40.06,40.52,40.08,39.91,40.08,3120500
54,2021-08-26,40.2,40.56,40.3,40.11,40.3,3046500
55,2021-08-27,40.32,40.54,40.5,40.17,40.5,2523600
56,2021-08-30,40.64,41.335,41.3,40.355,41.3,2880900
57,2021-08-31,41.17,41.25,41.18,40.86,41.18,3330200
58,2021-09-01,41.46,42.09,41.93,41.29,41.93,4219600
59,2021-09-02,42.04,42.48,42.47,41.62,42.47,2969900
60,2021-09-03,42.35,42.35,41.95,41.11,41.95,4317300
61,2021-09-07,41.93,41.93,41.3,41.065,41.3,2673552
