,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,70.35,70.67,70.48,70.31,70.48,14400
1,2021-06-11,70.61,70.61,70.58,70.37,70.58,44700
2,2021-06-14,70.6,70.9,70.85,70.49,70.85,61600
3,2021-06-15,70.93,70.93,70.85,70.75,70.85,20900
4,2021-06-16,70.9,70.97,70.54,70.14,70.54,45400
5,2021-06-17,70.36,70.66,70.56,70.13,70.56,212900
6,2021-06-18,69.77,69.83,69.5,69.5,69.5,85000
7,2021-06-21,69.75,70.34,70.28,69.63,70.28,50300
8,2021-06-22,70.26,70.7,70.61,70.2,70.61,29100
9,2021-06-23,70.63,70.72,70.39,70.39,70.39,102200
10,2021-06-24,70.73,70.85,70.71,70.66,70.71,45500
11,2021-06-25,70.88,70.88,70.87,70.74,70.87,29200
12,2021-06-28,70.85,70.95,70.95,70.75,70.95,47000
13,2021-06-29,71.03,71.09,71.07,70.99,71.07,26900
14,2021-06-30,70.81,71.02,70.99,70.8,70.99,253700
15,2021-07-01,71.06,71.24,71.24,70.95,71.24,23100
16,2021-07-02,71.39,72.0,71.96,71.39,71.96,32200
17,2021-07-06,72.01,72.04,71.96,71.53,71.96,49900
18,2021-07-07,72.21,72.46,72.4,72.0,72.4,37600
19,2021-07-08,71.39,71.87,71.84,71.22,71.84,62800
20,2021-07-09,72.09,72.61,72.53,72.09,72.53,49500
21,2021-07-12,72.65,72.77,72.7,72.58,72.7,38500
22,2021-07-13,72.57,73.06,72.61,72.55,72.61,51900
23,2021-07-14,73.01,73.16,73.0,72.8,73.0,42300
24,2021-07-15,72.79,72.85,72.63,72.43,72.63,104600
25,2021-07-16,72.72,72.79,72.04,71.95,72.04,33800
26,2021-07-19,70.99,71.11,70.71,70.29,70.71,103500
27,2021-07-20,70.91,71.79,71.63,70.83,71.63,30500
28,2021-07-21,71.81,72.24,72.24,71.75,72.24,27600
29,2021-07-22,72.26,72.45,72.42,72.21,72.42,35900
30,2021-07-23,72.82,73.2,73.15,72.65,73.15,36400
31,2021-07-26,73.13,73.5,73.49,73.08,73.49,63200
32,2021-07-27,73.41,73.41,73.02,72.62,73.02,32400
33,2021-07-28,73.1,73.37,73.14,72.9,73.14,59200
34,2021-07-29,73.49,73.63,73.44,73.39,73.44,23500
35,2021-07-30,72.78,72.85,72.71,72.59,72.71,16700
36,2021-08-02,73.05,73.05,72.74,72.65,72.74,52100
37,2021-08-03,73.04,73.52,73.52,72.69,73.52,220600
38,2021-08-04,73.34,73.42,73.11,73.09,73.11,59300
39,2021-08-05,73.24,73.48,73.47,73.2,73.47,50400
40,2021-08-06,73.41,73.45,73.38,73.2,73.38,42300
41,2021-08-09,73.43,73.48,73.36,73.25,73.36,53400
42,2021-08-10,73.44,73.58,73.47,73.3,73.47,37100
43,2021-08-11,73.74,73.79,73.66,73.53,73.66,149100
44,2021-08-12,73.66,73.97,73.96,73.49,73.96,83200
45,2021-08-13,73.98,74.2,74.2,73.96,74.2,82000
46,2021-08-16,73.93,74.35,74.35,73.46,74.35,89200
47,2021-08-17,73.94,74.09,73.83,73.45,73.83,31200
48,2021-08-18,73.73,73.87,72.93,72.92,72.93,184300
49,2021-08-19,72.25,73.01,72.76,72.19,72.76,612100
50,2021-08-20,72.86,73.36,73.28,72.8,73.28,84800
51,2021-08-23,73.57,74.13,73.96,73.57,73.96,90800
52,2021-08-24,73.98,74.21,74.09,73.98,74.09,60700
53,2021-08-25,74.05,74.11,74.02,73.9,74.02,43800
54,2021-08-26,73.92,74.03,73.62,73.62,73.62,136500
55,2021-08-27,73.77,74.26,74.16,73.69,74.16,115800
56,2021-08-30,74.24,74.84,74.69,74.24,74.69,36300
57,2021-08-31,74.77,74.77,74.68,74.5,74.68,56600
58,2021-09-01,74.83,75.1,74.8,74.77,74.8,44100
59,2021-09-02,74.99,75.1,74.89,74.79,74.89,30900
60,2021-09-03,74.87,75.03,74.99,74.68,74.99,57800
61,2021-09-07,74.99,75.0681,74.88,74.8441,74.88,76480
