,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,39.21,39.34,39.32,39.17,39.32,457300
1,2021-06-11,39.37,39.37,39.35,39.22,39.35,469500
2,2021-06-14,39.34,39.44,39.44,39.29,39.44,404800
3,2021-06-15,39.53,39.53,39.47,39.41,39.47,465400
4,2021-06-16,39.56,39.619,39.23,39.11,39.23,758400
5,2021-06-17,38.95,39.03,38.99,38.78,38.99,908300
6,2021-06-18,38.46,38.48,38.3,38.24,38.3,585600
7,2021-06-21,38.49,38.8107,38.79,38.425,38.79,868608
8,2021-06-22,38.65,38.89,38.8,38.6,38.8,508514
9,2021-06-23,38.82,38.82,38.57,38.52,38.57,559500
10,2021-06-24,38.89,38.95,38.93,38.825,38.93,638100
11,2021-06-25,39.03,39.03,39.01,38.91,39.01,767900
12,2021-06-28,38.91,38.91,38.83,38.772,38.83,524600
13,2021-06-29,38.92,38.92,38.89,38.81,38.89,623200
14,2021-06-30,38.55,38.645,38.56,38.385,38.56,592800
15,2021-07-01,38.56,38.6,38.6,38.4,38.6,1077400
16,2021-07-02,38.61,38.79,38.79,38.5,38.79,612300
17,2021-07-06,38.82,38.82,38.64,38.44,38.64,721100
18,2021-07-07,38.85,38.97,38.9,38.71,38.9,805500
19,2021-07-08,38.31,38.465,38.42,38.177,38.42,718300
20,2021-07-09,38.7,39.02,39.02,38.655,39.02,656200
21,2021-07-12,39.06,39.2,39.2,39.03,39.2,410800
22,2021-07-13,39.05,39.15,39.04,38.97,39.04,526700
23,2021-07-14,39.22,39.22,39.14,39.09,39.14,399900
24,2021-07-15,38.91,39.0,38.9,38.76,38.9,586900
25,2021-07-16,38.9,38.93,38.69,38.64,38.69,590600
26,2021-07-19,38.22,38.26,38.14,37.95,38.14,1224200
27,2021-07-20,38.06,38.45,38.4,37.99,38.4,1011900
28,2021-07-21,38.64,38.95,38.95,38.6,38.95,627500
29,2021-07-22,39.04,39.04,38.94,38.84,38.94,566400
30,2021-07-23,39.2,39.29,39.25,39.113,39.25,986300
31,2021-07-26,39.14,39.235,39.22,39.14,39.22,580000
32,2021-07-27,39.04,39.04,39.04,38.83,39.04,600500
33,2021-07-28,39.05,39.27,39.23,38.97,39.23,447500
34,2021-07-29,39.47,39.575,39.48,39.47,39.48,511500
35,2021-07-30,39.41,39.49,39.38,39.29,39.38,407600
36,2021-08-02,39.61,39.67,39.5,39.45,39.5,692200
37,2021-08-03,39.66,39.77,39.76,39.51,39.76,551700
38,2021-08-04,39.85,39.94,39.78,39.758,39.78,430100
39,2021-08-05,40.02,40.03,40.0,39.945,40.0,328600
40,2021-08-06,39.87,39.88,39.77,39.7,39.77,430500
41,2021-08-09,39.81,39.81,39.77,39.73,39.77,395500
42,2021-08-10,39.8,39.82,39.82,39.73,39.82,479200
43,2021-08-11,40.01,40.03,40.03,39.9,40.03,539200
44,2021-08-12,39.98,39.995,39.97,39.87,39.97,426600
45,2021-08-13,40.19,40.31,40.31,40.11,40.31,402500
46,2021-08-16,40.04,40.16,40.16,39.89,40.16,401100
47,2021-08-17,39.85,39.88,39.8,39.62,39.8,457700
48,2021-08-18,39.81,39.9,39.64,39.63,39.64,627200
49,2021-08-19,39.21,39.469,39.39,39.195,39.39,597500
50,2021-08-20,39.35,39.605,39.6,39.35,39.6,392300
51,2021-08-23,39.82,40.03,40.0,39.781,40.0,283400
52,2021-08-24,39.91,40.03,39.97,39.835,39.97,405100
53,2021-08-25,39.87,39.939,39.92,39.78,39.92,510800
54,2021-08-26,39.79,39.838,39.72,39.68,39.72,452000
55,2021-08-27,39.75,40.12,40.11,39.73,40.11,359900
56,2021-08-30,40.06,40.135,40.1,40.005,40.1,373200
57,2021-08-31,40.14,40.14,40.03,39.92,40.03,511900
58,2021-09-01,40.24,40.43,40.33,40.24,40.33,875200
59,2021-09-02,40.53,40.62,40.58,40.5,40.58,473400
60,2021-09-03,40.56,40.75,40.71,40.51,40.71,499900
61,2021-09-07,40.78,40.8083,40.69,40.685,40.69,445995
