,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,96.77,97.34,96.66,95.18,96.66,172600
1,2021-06-11,96.83,98.75,98.71,96.83,98.71,196100
2,2021-06-14,99.53,101.8,99.53,98.62,99.53,312900
3,2021-06-15,99.31,99.93,98.92,98.15,98.92,258900
4,2021-06-16,99.09,102.32,100.67,99.09,100.67,374100
5,2021-06-17,100.62,102.07,98.09,97.56,98.09,237600
6,2021-06-18,96.19,97.42,94.98,94.71,94.98,941800
7,2021-06-21,95.62,97.37,97.02,95.25,97.02,220100
8,2021-06-22,96.7,99.06,98.69,95.62,98.69,361900
9,2021-06-23,99.09,99.71,96.99,96.62,96.99,347400
10,2021-06-24,98.26,98.26,98.01,96.12,98.01,260400
11,2021-06-25,98.7,101.35,100.19,98.68,100.19,678100
12,2021-06-28,100.58,101.42,100.34,99.31,100.34,280200
13,2021-06-29,100.96,101.24,100.72,100.14,100.72,201300
14,2021-06-30,99.31,100.71,99.98,98.38,99.98,217700
15,2021-07-01,100.73,101.38,100.87,100.05,100.87,146000
16,2021-07-02,100.87,100.89,98.33,98.18,98.33,252400
17,2021-07-06,98.19,98.66,98.28,96.1,98.28,281600
18,2021-07-07,98.48,98.98,96.4,95.67,96.4,253100
19,2021-07-08,94.62,96.12,95.27,92.46,95.27,204400
20,2021-07-09,96.74,97.78,97.12,95.88,97.12,101500
21,2021-07-12,97.11,98.03,97.79,96.12,97.79,130000
22,2021-07-13,97.25,98.6,96.67,95.44,96.67,209900
23,2021-07-14,97.3,97.99,95.84,95.45,95.84,208600
24,2021-07-15,95.62,96.21,94.97,93.84,94.97,211900
25,2021-07-16,96.09,96.71,89.76,89.74,89.76,272400
26,2021-07-19,88.32,89.3,88.32,87.0,88.32,371400
27,2021-07-20,89.05,92.39,91.73,88.9,91.73,337500
28,2021-07-21,92.63,94.86,94.08,92.51,94.08,495000
29,2021-07-22,94.12,94.82,93.97,93.0,93.97,182100
30,2021-07-23,94.85,95.37,95.23,93.59,95.23,180700
31,2021-07-26,95.96,96.51,95.01,94.94,95.01,146200
32,2021-07-27,94.28,94.54,92.71,91.09,92.71,144600
33,2021-07-28,93.05,97.2,96.12,92.99,96.12,204200
34,2021-07-29,96.86,99.22,98.44,96.61,98.44,197100
35,2021-07-30,97.66,99.69,98.62,97.66,98.62,189500
36,2021-08-02,98.88,99.45,97.6,97.29,97.6,145900
37,2021-08-03,97.99,98.18,97.62,95.85,97.62,300400
38,2021-08-04,97.03,98.25,97.66,96.76,97.66,258400
39,2021-08-05,78.65,79.76,71.84,67.07,71.84,3078000
40,2021-08-06,74.01,77.5,77.11,73.71,77.11,938000
41,2021-08-09,76.33,78.93,77.74,75.95,77.74,507300
42,2021-08-10,78.69,82.72,81.4,78.11,81.4,536900
43,2021-08-11,80.91,82.45,81.65,80.39,81.65,296500
44,2021-08-12,81.75,83.44,82.45,80.98,82.45,369700
45,2021-08-13,82.75,82.75,80.0,79.61,80.0,208600
46,2021-08-16,78.01,79.65,78.1,77.43,78.1,267900
47,2021-08-17,77.49,79.68,77.27,77.03,77.27,316300
48,2021-08-18,77.42,78.83,77.57,77.01,77.57,227300
49,2021-08-19,77.08,77.74,76.19,75.46,76.19,241800
50,2021-08-20,76.03,77.05,76.86,75.4,76.86,183800
51,2021-08-23,77.47,78.86,78.53,77.39,78.53,221600
52,2021-08-24,78.82,81.22,80.85,78.5,80.85,292000
53,2021-08-25,81.03,82.49,82.43,80.23,82.43,518700
54,2021-08-26,82.7,83.36,81.81,81.06,81.81,224200
55,2021-08-27,82.32,86.49,85.72,82.3,85.72,447500
56,2021-08-30,85.81,86.27,84.82,84.21,84.82,223300
57,2021-08-31,84.09,85.05,84.01,82.4,84.01,504500
58,2021-09-01,84.74,85.16,85.06,84.18,85.06,270800
59,2021-09-02,84.79,85.32,83.65,83.07,83.65,221200
60,2021-09-03,84.04,84.48,81.83,81.25,81.83,279400
61,2021-09-07,82.4,83.54,82.07,81.84,82.07,295540
