,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,24.73,24.815,24.23,24.1,24.1051,29206
1,2021-06-11,24.29,24.79,24.78,24.07,24.6522,38923
2,2021-06-14,24.9,26.66,26.4,24.9,26.2639,122307
3,2021-06-15,25.525,27.085,26.29,25.525,26.1544,107063
4,2021-06-16,27.1,28.65,28.46,27.0,28.3132,191677
5,2021-06-17,28.28,28.52,27.5,27.03,27.3582,164924
6,2021-06-18,27.42,28.13,26.67,26.62,26.5325,382346
7,2021-06-21,26.67,28.09,27.03,26.67,26.8906,92526
8,2021-06-22,27.07,27.25,27.01,26.62,26.8707,75945
9,2021-06-23,27.06,27.5,27.13,27.01,26.9901,50520
10,2021-06-24,27.16,27.43,27.26,27.14,27.1194,23785
11,2021-06-25,27.335,27.4999,27.15,27.0,27.01,101251
12,2021-06-28,27.02,27.71,27.41,27.02,27.41,87404
13,2021-06-29,27.34,27.52,27.29,27.16,27.29,29131
14,2021-06-30,27.12,27.4,27.24,26.97,27.24,34534
15,2021-07-01,27.22,27.51,27.06,26.95,27.06,39216
16,2021-07-02,27.08,27.23,26.9,26.73,26.9,72103
17,2021-07-06,27.0,27.32,27.05,26.91,27.05,90203
18,2021-07-07,27.05,27.4362,26.67,26.36,26.67,47962
19,2021-07-08,26.27,26.39,25.81,25.47,25.81,53466
20,2021-07-09,25.98,26.58,26.58,25.71,26.58,115500
21,2021-07-12,26.42,27.28,26.55,26.42,26.55,52000
22,2021-07-13,26.44,26.7,26.0,25.96,26.0,41800
23,2021-07-14,26.11,26.41,25.5,25.35,25.5,61300
24,2021-07-15,25.46,25.95,24.48,24.39,24.48,161800
25,2021-07-16,24.65,25.25,24.69,24.36,24.69,82900
26,2021-07-19,24.41,24.65,24.37,23.84,24.37,61400
27,2021-07-20,24.38,25.17,24.87,24.38,24.87,35600
28,2021-07-21,24.88,25.34,24.87,24.77,24.87,22300
29,2021-07-22,24.91,24.91,24.16,24.14,24.16,27700
30,2021-07-23,24.52,24.94,24.36,24.19,24.36,23400
31,2021-07-26,24.28,24.83,24.39,24.28,24.39,19000
32,2021-07-27,24.08,24.4,23.96,23.6,23.96,19200
33,2021-07-28,24.11,24.76,24.53,24.11,24.53,17300
34,2021-07-29,24.67,25.09,24.87,24.61,24.87,22500
35,2021-07-30,25.0,25.8,25.39,25.0,25.39,18900
36,2021-08-02,25.17,25.58,24.91,24.91,24.91,23000
37,2021-08-03,24.78,25.44,24.77,24.31,24.77,16700
38,2021-08-04,24.62,24.99,24.53,23.83,24.53,28200
39,2021-08-05,24.61,26.43,25.75,24.6,25.75,39500
40,2021-08-06,25.8,26.08,25.22,25.05,25.22,12800
41,2021-08-09,25.04,25.7,24.77,24.44,24.77,14500
42,2021-08-10,24.73,24.99,24.75,24.46,24.75,19800
43,2021-08-11,24.62,25.03,24.89,24.55,24.89,14100
44,2021-08-12,25.0,25.01,24.85,24.43,24.85,13700
45,2021-08-13,24.22,24.87,24.62,24.22,24.62,6600
46,2021-08-16,24.51,24.83,24.48,23.53,24.48,25000
47,2021-08-17,24.02,24.34,24.34,23.9,24.34,9000
48,2021-08-18,24.21,25.19,24.68,24.21,24.68,24100
49,2021-08-19,24.5,24.98,24.97,24.5,24.97,20500
50,2021-08-20,24.9,25.38,25.09,24.63,25.09,37100
51,2021-08-23,25.5,26.89,25.72,25.5,25.72,46800
52,2021-08-24,26.19,26.19,25.83,25.32,25.83,14400
53,2021-08-25,25.69,26.22,26.11,25.66,26.11,22600
54,2021-08-26,26.0,26.7,26.4,25.83,26.4,16900
55,2021-08-27,26.0,27.24,26.96,26.0,26.96,40500
56,2021-08-30,27.0,27.03,26.03,25.91,26.03,24300
57,2021-08-31,25.96,26.48,26.09,25.59,26.09,42800
58,2021-09-01,26.07,26.97,26.75,25.93,26.75,19100
59,2021-09-02,26.6,26.95,26.45,26.29,26.45,23400
60,2021-09-03,26.49,26.99,26.53,26.27,26.53,30800
61,2021-09-07,26.4,26.53,26.17,26.14,26.17,19648
