,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,144.52,144.52,139.87,139.49,139.7671,177657
1,2021-06-11,140.18,141.18,140.3,139.28,140.1968,95931
2,2021-06-14,141.04,141.49,139.31,138.545,139.2075,135556
3,2021-06-15,139.75,140.81,139.01,137.83,138.9078,132321
4,2021-06-16,139.04,140.61,138.17,136.67,138.0684,148200
5,2021-06-17,138.37,138.37,135.73,132.67,135.6302,161564
6,2021-06-18,132.85,135.09,133.71,132.39,133.6117,319503
7,2021-06-21,134.84,138.48,138.11,134.84,138.0084,167842
8,2021-06-22,138.11,139.48,138.93,135.67,138.8278,119859
9,2021-06-23,138.9,140.34,136.67,136.01,136.5695,209877
10,2021-06-24,137.46,142.2,141.81,135.68,141.7057,138875
11,2021-06-25,142.07,142.81,142.25,139.39,142.1454,345051
12,2021-06-28,142.5,142.635,141.46,139.405,141.356,238819
13,2021-06-29,142.35,142.63,140.13,139.52,140.0269,225725
14,2021-06-30,139.8,142.93,142.62,137.91,142.5151,559822
15,2021-07-01,144.1,144.905,142.64,141.63,142.5351,197119
16,2021-07-02,142.71,143.18,140.11,139.54,140.0069,150661
17,2021-07-06,139.8,139.8,133.89,133.61,133.7915,288487
18,2021-07-07,133.43,135.85,133.23,132.08,133.132,257358
19,2021-07-08,130.88,135.4,132.64,129.2,132.5424,173082
20,2021-07-09,135.48,137.63,134.96,134.56,134.8607,273972
21,2021-07-12,133.87,136.63,135.84,133.6,135.7401,286453
22,2021-07-13,135.04,135.92,133.9,133.38,133.8015,237216
23,2021-07-14,134.76,136.66,133.61,132.76,133.5117,205193
24,2021-07-15,132.5,136.26,133.82,132.5,133.7216,164772
25,2021-07-16,134.91,137.245,134.54,134.275,134.441,293984
26,2021-07-19,131.22,133.13,129.83,128.62,129.7345,205360
27,2021-07-20,130.85,137.74,136.72,130.85,136.6194,246372
28,2021-07-21,138.0,140.0,138.1,136.71,137.9984,112728
29,2021-07-22,137.77,138.855,136.29,135.09,136.1898,85449
30,2021-07-23,137.17,137.79,137.0,135.27,136.8992,80102
31,2021-07-26,138.41,138.49,137.1,135.92,136.9992,80671
32,2021-07-27,135.32,136.71,134.76,133.22,134.6609,129357
33,2021-07-28,133.22,138.99,137.33,131.965,137.229,215534
34,2021-07-29,139.37,146.08,146.0,137.31,145.8926,577728
35,2021-07-30,144.39,146.87,146.58,143.44,146.4722,239250
36,2021-08-02,147.26,150.53,144.67,144.15,144.5636,176836
37,2021-08-03,145.06,146.94,146.24,142.49,146.1324,143897
38,2021-08-04,144.4,147.04,144.06,143.76,143.954,93142
39,2021-08-05,145.21,147.59,145.98,143.58,145.8726,99380
40,2021-08-06,148.31,148.72,147.57,147.1,147.4615,96297
41,2021-08-09,146.55,146.64,144.68,143.99,144.5736,105690
42,2021-08-10,145.34,149.03,146.45,144.25,146.3423,176857
43,2021-08-11,146.66,147.225,146.08,144.665,145.9726,85618
44,2021-08-12,146.9,147.22,142.72,142.69,142.615,88616
45,2021-08-13,142.82,143.8,141.99,140.39,141.8856,93662
46,2021-08-16,141.29,143.37,141.81,140.26,141.7057,90400
47,2021-08-17,139.84,140.77,139.13,138.17,139.0277,89200
48,2021-08-18,138.38,139.94,136.95,136.83,136.8493,97400
49,2021-08-19,135.11,137.24,135.96,134.55,135.86,101400
50,2021-08-20,136.2,139.29,138.5,135.35,138.5,98700
51,2021-08-23,139.09,140.76,139.89,138.1,139.89,100900
52,2021-08-24,140.0,142.19,139.96,139.69,139.96,64600
53,2021-08-25,139.27,140.56,139.33,137.14,139.33,107700
54,2021-08-26,139.48,140.53,138.51,138.38,138.51,67700
55,2021-08-27,139.33,143.87,143.32,139.33,143.32,137600
56,2021-08-30,144.18,146.97,146.35,142.87,146.35,109000
57,2021-08-31,146.42,147.23,145.89,144.46,145.89,113200
58,2021-09-01,146.39,148.06,147.95,144.05,147.95,105500
59,2021-09-02,148.16,151.77,151.35,148.16,151.35,174600
60,2021-09-03,150.56,150.99,149.07,147.31,149.07,89000
61,2021-09-07,148.32,151.3,150.0,147.315,150.0,115445
