,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,73.7,73.7,73.6,73.6,73.6,800
1,2021-06-11,73.5,73.56,73.56,73.38,73.56,1800
2,2021-06-14,73.42,73.42,73.37,73.34,73.37,1300
3,2021-06-15,73.76,73.76,73.71,73.6,73.71,1000
4,2021-06-16,73.82,73.88,73.67,73.67,73.67,2700
5,2021-06-17,73.36,73.4,73.4,73.31,73.4,1600
6,2021-06-18,71.87,71.93,71.77,71.68,71.77,2500
7,2021-06-21,71.87,72.5,72.4499,71.64,72.4499,5215
8,2021-06-22,72.5855,72.5901,72.5901,72.47,72.5901,782
9,2021-06-23,72.11,72.11,71.88,71.88,71.88,1300
10,2021-06-24,72.4,72.55,72.54,72.37,72.54,1800
11,2021-06-25,72.86,72.92,72.92,72.86,72.92,900
12,2021-06-28,72.72,72.72,72.6055,72.6,72.6055,653
13,2021-06-29,72.73,72.73,72.6499,72.6499,72.6499,302
14,2021-06-30,71.84,71.99,71.99,71.65,71.99,2531
15,2021-07-01,71.74,71.8,71.8,71.63,71.8,700
16,2021-07-02,71.97,72.14,72.13,71.94,72.13,1700
17,2021-07-06,72.25,72.28,72.04,71.78,72.04,3700
18,2021-07-07,71.94,72.05,71.99,71.94,71.99,1000
19,2021-07-08,70.71,70.94,70.81,70.58,70.81,500
20,2021-07-09,72.29,72.75,72.75,72.29,72.75,1300
21,2021-07-12,72.78,72.9499,72.9499,72.75,72.9499,3017
22,2021-07-13,72.6528,72.6528,72.6528,72.6528,72.6528,94
23,2021-07-14,73.1,73.1,73.1,73.1,73.1,2200
24,2021-07-15,72.27,72.27,72.27,72.27,72.27,2200
25,2021-07-16,72.0,72.0,71.47,71.45,71.47,1600
26,2021-07-19,70.79,70.79,70.31,70.18,70.31,6828
27,2021-07-20,70.76,71.3929,71.3929,70.76,71.3929,413
28,2021-07-21,71.28,71.91,71.91,71.28,71.91,500
29,2021-07-22,71.91,71.91,71.83,71.83,71.83,1900
30,2021-07-23,72.19,72.19,72.19,72.15,72.19,500
31,2021-07-26,71.59,71.94,71.94,71.59,71.94,800
32,2021-07-27,71.69,71.69,71.62,71.27,71.62,1800
33,2021-07-28,71.77,72.09,72.01,71.77,72.01,700
34,2021-07-29,72.26,72.26,72.14,72.14,72.14,900
35,2021-07-30,71.7,71.7,71.26,71.12,71.26,1500
36,2021-08-02,72.4799,72.4799,71.9643,71.9643,71.9643,1183
37,2021-08-03,72.14,72.4929,72.4929,72.13,72.4929,651
38,2021-08-04,71.9,71.9,71.78,71.77,71.78,1600
39,2021-08-05,72.14,72.14,72.1,72.1,72.1,400
40,2021-08-06,72.03,72.03,71.99,71.99,71.99,200
41,2021-08-09,71.91,72.0,72.0,71.82,72.0,1200
42,2021-08-10,72.0,72.12,72.12,72.0,72.12,900
43,2021-08-11,72.93,73.12,73.12,72.93,73.12,2900
44,2021-08-12,72.6,72.9,72.9,72.6,72.9,400
45,2021-08-13,73.03,73.07,73.07,72.95,73.07,500
46,2021-08-16,72.34,72.5574,72.5574,72.173,72.5574,1053
47,2021-08-17,71.8007,71.9673,71.9673,71.72,71.9673,937
48,2021-08-18,72.03,72.03,71.61,71.61,71.61,1000
49,2021-08-19,71.08,71.08,70.98,70.98,70.98,100
50,2021-08-20,71.12,71.12,71.12,71.12,71.12,100
51,2021-08-23,71.92,72.07,71.99,71.92,71.99,2200
52,2021-08-24,72.72,72.72,72.62,72.62,72.62,200
53,2021-08-25,72.44,72.44,72.44,72.44,72.44,200
54,2021-08-26,72.26,72.26,72.17,72.17,72.17,400
55,2021-08-27,72.05,72.58,72.58,72.05,72.58,200
56,2021-08-30,72.61,72.726,72.5,72.5,72.5,794
57,2021-08-31,73.15,73.15,73.0259,73.0259,73.0259,779
58,2021-09-01,74.01,74.2355,74.1543,74.01,74.1543,1049
59,2021-09-02,74.67,74.67,74.5352,74.5352,74.5352,523
60,2021-09-03,76.33,76.7269,76.7269,76.33,76.7269,905
61,2021-09-07,76.9,77.5563,77.5563,76.9,77.5563,3228
