,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,48.32,48.52,48.36,48.32,48.36,264700
1,2021-06-11,47.95,47.95,47.77,47.63,47.77,46200
2,2021-06-14,47.69,47.75,47.68,47.63,47.68,29400
3,2021-06-15,47.35,47.35,47.13,47.07,47.13,43800
4,2021-06-16,46.43,46.5,45.91,45.83,45.91,40400
5,2021-06-17,46.34,46.49,46.38,46.23,46.38,101900
6,2021-06-18,46.29,46.29,46.21,46.06,46.21,75600
7,2021-06-21,46.29,46.54,46.43,46.2,46.43,258300
8,2021-06-22,46.4,46.55,46.48,46.4,46.48,21100
9,2021-06-23,46.73,46.81,46.7,46.68,46.7,101100
10,2021-06-24,47.06,47.12,47.09,47.0,47.09,20800
11,2021-06-25,47.75,47.9,47.71,47.68,47.71,96300
12,2021-06-28,47.94,48.02,47.99,47.92,47.99,45183
13,2021-06-29,47.47,47.63,47.59,47.47,47.59,23759
14,2021-06-30,47.83,48.02,47.84,47.83,47.84,50245
15,2021-07-01,47.54,47.63,47.3,47.26,47.3,199000
16,2021-07-02,46.67,46.8,46.64,46.46,46.64,219600
17,2021-07-06,46.51,46.6,46.22,46.1076,46.22,197528
18,2021-07-07,47.38,47.45,47.24,47.17,47.24,98900
19,2021-07-08,46.3,46.47,46.41,46.18,46.41,147900
20,2021-07-09,46.88,47.11,47.06,46.8,47.06,46800
21,2021-07-12,47.32,47.5,47.46,47.32,47.46,38100
22,2021-07-13,47.28,47.59,47.4,47.28,47.4,22400
23,2021-07-14,47.29,47.32,47.14,47.0,47.14,93300
24,2021-07-15,47.66,47.79,47.73,47.55,47.73,64800
25,2021-07-16,47.2,47.2,46.96,46.85,46.96,121500
26,2021-07-19,46.83,46.91,46.81,46.68,46.81,52200
27,2021-07-20,46.9,47.15,47.03,46.9,47.03,186900
28,2021-07-21,47.51,47.8,47.74,47.5,47.74,41200
29,2021-07-22,47.61,47.72,47.59,47.51,47.59,39600
30,2021-07-23,46.92,47.01,46.99,46.68,46.99,94800
31,2021-07-26,45.13,45.35,45.3,45.04,45.3,323300
32,2021-07-27,43.17,43.39,43.22,42.66,43.22,981700
33,2021-07-28,44.51,45.39,45.32,44.44,45.32,375300
34,2021-07-29,45.32,45.33,45.04,44.93,45.04,121400
35,2021-07-30,44.7,45.03,44.93,44.7,44.93,83000
36,2021-08-02,45.73,45.8,45.64,45.57,45.64,55200
37,2021-08-03,45.48,45.62,45.58,45.43,45.58,93700
38,2021-08-04,46.06,46.13,46.0,45.95,46.0,121900
39,2021-08-05,45.91,45.99,45.84,45.79,45.84,51400
40,2021-08-06,45.71,45.71,45.5,45.41,45.5,68700
41,2021-08-09,46.02,46.1,46.0,46.0,46.0,54400
42,2021-08-10,46.39,46.48,46.46,46.38,46.46,47300
43,2021-08-11,46.57,46.6,46.54,46.47,46.54,55000
44,2021-08-12,46.08,46.12,46.1,45.97,46.1,147600
45,2021-08-13,45.98,46.12,46.1,45.92,46.1,146300
46,2021-08-16,45.79,45.94,45.92,45.79,45.92,67400
47,2021-08-17,44.64,44.8,44.68,44.49,44.68,90900
48,2021-08-18,44.99,45.17,44.91,44.91,44.91,49100
49,2021-08-19,45.05,45.25,45.17,44.87,45.17,219300
50,2021-08-20,44.05,44.48,44.39,43.93,44.39,89600
51,2021-08-23,45.01,45.17,45.1,44.91,45.1,98000
52,2021-08-24,45.79,45.92,45.78,45.7,45.78,115800
53,2021-08-25,45.75,45.85,45.8,45.72,45.8,73400
54,2021-08-26,45.07,45.17,45.12,45.05,45.12,147900
55,2021-08-27,45.15,45.47,45.47,45.15,45.47,33200
56,2021-08-30,45.16,45.21,45.1,45.09,45.1,125950
57,2021-08-31,45.15,45.21,45.15,45.06,45.15,100165
58,2021-09-01,45.39,45.77,45.73,45.39,45.73,85970
59,2021-09-02,45.65,45.83,45.78,45.65,45.78,65800
60,2021-09-03,45.74,45.75,45.58,45.58,45.58,29400
61,2021-09-07,46.64,46.955,46.83,46.64,46.83,131542
