,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,46.4,46.639,46.578,46.4,46.578,2800
1,2021-06-11,46.67,46.723,46.723,46.58,46.723,4400
2,2021-06-14,46.64,46.7707,46.7707,46.64,46.7707,5737
3,2021-06-15,46.75,46.77,46.7409,46.705,46.7409,4757
4,2021-06-16,46.83,46.837,46.523,46.41,46.523,6300
5,2021-06-17,46.24,46.314,46.314,46.231,46.314,3300
6,2021-06-18,45.709,45.769,45.691,45.691,45.691,3100
7,2021-06-21,45.89,46.249,46.246,45.89,46.246,1500
8,2021-06-22,46.1,46.395,46.346,46.1,46.346,1600
9,2021-06-23,46.26,46.345,46.155,46.14,46.155,6700
10,2021-06-24,46.55,46.649,46.615,46.55,46.615,1800
11,2021-06-25,46.72,46.751,46.751,46.67,46.751,4600
12,2021-06-28,46.75,46.765,46.7439,46.699,46.7439,3139
13,2021-06-29,46.859,46.86,46.8561,46.819,46.8561,2508
14,2021-06-30,46.62,46.62,46.6008,46.49,46.6008,3198
15,2021-07-01,46.63,46.63,46.625,46.548,46.625,1800
16,2021-07-02,46.795,46.949,46.942,46.795,46.942,20100
17,2021-07-06,46.88,46.88,46.713,46.55,46.713,6000
18,2021-07-07,46.88,47.0,46.964,46.88,46.964,6200
19,2021-07-08,46.49,46.49,46.421,46.421,46.421,1400
20,2021-07-09,47.14,47.163,47.163,47.14,47.163,1000
21,2021-07-12,47.25,47.31,47.25,47.2,47.25,5400
22,2021-07-13,47.249,47.249,47.041,47.02,47.041,4900
23,2021-07-14,47.14,47.25,47.167,47.14,47.167,5200
24,2021-07-15,46.73,46.73,46.675,46.53,46.675,3300
25,2021-07-16,46.67,46.67,46.355,46.355,46.355,3300
26,2021-07-19,45.85,45.85,45.7217,45.5657,45.7217,10756
27,2021-07-20,46.0,46.399,46.3237,46.0,46.3237,2460
28,2021-07-21,46.53,46.752,46.752,46.491,46.752,2800
29,2021-07-22,46.9,46.92,46.912,46.859,46.912,2700
30,2021-07-23,47.29,47.38,47.343,47.29,47.343,4700
31,2021-07-26,47.24,47.312,47.312,47.23,47.312,5000
32,2021-07-27,47.125,47.196,47.196,47.05,47.196,3600
33,2021-07-28,47.15,47.369,47.303,47.139,47.303,7300
34,2021-07-29,47.38,47.505,47.425,47.38,47.425,6300
35,2021-07-30,47.13,47.28,47.182,47.13,47.182,2000
36,2021-08-02,47.63,47.642,47.44,47.44,47.44,2800
37,2021-08-03,47.509,47.759,47.728,47.509,47.728,2100
38,2021-08-04,47.75,47.75,47.63,47.6,47.63,8300
39,2021-08-05,47.829,47.834,47.834,47.66,47.834,1800
40,2021-08-06,47.73,47.78,47.623,47.6,47.623,4400
41,2021-08-09,47.569,47.57,47.534,47.53,47.534,1700
42,2021-08-10,47.619,47.65,47.617,47.615,47.617,4100
43,2021-08-11,47.909,47.91,47.809,47.809,47.809,18000
44,2021-08-12,47.67,47.791,47.791,47.63,47.791,4000
45,2021-08-13,47.939,47.963,47.963,47.939,47.963,1000
46,2021-08-16,47.68,47.849,47.849,47.63,47.849,3000
47,2021-08-17,47.46,47.46,47.451,47.27,47.451,2000
48,2021-08-18,47.47,47.56,47.234,47.234,47.234,1700
49,2021-08-19,46.9,47.24,47.117,46.9,47.117,6000
50,2021-08-20,47.16,47.464,47.464,47.16,47.464,3500
51,2021-08-23,47.94,48.03,47.965,47.94,47.965,4200
52,2021-08-24,48.01,48.17,48.135,48.01,48.135,12200
53,2021-08-25,48.059,48.129,48.111,48.059,48.111,2800
54,2021-08-26,47.94,47.97,47.847,47.81,47.847,6100
55,2021-08-27,48.215,48.24,48.207,48.207,48.207,2200
56,2021-08-30,48.409,48.449,48.4,48.389,48.4,5500
57,2021-08-31,48.48,48.48,48.431,48.395,48.431,2000
58,2021-09-01,48.899,48.905,48.783,48.783,48.783,4200
59,2021-09-02,49.15,49.16,49.149,49.09,49.149,4000
60,2021-09-03,49.25,49.595,49.592,49.25,49.592,800
61,2021-09-07,49.51,49.569,49.5088,49.4601,49.5088,2787
