Date,Open,High,Low,Close,AdjustedClose,Volume
1996-08-02,19.5,20.25,18.5,20.25,20.25,3717900
1996-08-05,19.75,20.75,19.75,20.25,20.25,504800
1996-08-06,19.75,20.75,19.75,20.125,20.125,270200
1996-08-07,20,21,20,20.625,20.625,115300
1996-08-08,21,21.25,20,20.5,20.5,186200
1996-08-09,20.5,22,20.5,21.5,21.5,84700
1996-08-12,21.25,22.5,21.25,22,22,127900
1996-08-13,22.75,22.75,21.5,21.75,21.75,215100
1996-08-14,22,24.5,21,23.75,23.75,361300
1996-08-15,24,25.75,23.75,25.5,25.5,368500
1996-08-16,25.25,27.5,25.25,26.75,26.75,344500
1996-08-19,27.5,27.5,26.75,27.25,27.25,256800
1996-08-20,27,27.5,23.5,25,25,451200
1996-08-21,25,26.75,25,26.5,26.5,166800
1996-08-22,27,27,26,26.5,26.5,132300
1996-08-23,26.25,26.25,25.5,25.5,25.5,111200
1996-08-26,25.5,26.25,23.25,24.125,24.125,269400
1996-08-27,24.25,25.25,24.25,25,25,235900
1996-08-28,26,28.75,25.25,28.25,28.25,496200
1996-08-29,28.75,29.25,27.75,28.25,28.25,87800
1996-08-30,27.75,28.75,27.75,28,28,83900
1996-09-03,27,29,27,29,29,126500
1996-09-04,29.25,30.625,28.75,30.25,30.25,197700
1996-09-05,30,31,30,30.25,30.25,186100
1996-09-06,30,30.5,30,30,30,62500
1996-09-09,29.75,30.5,29.75,29.75,29.75,16200
1996-09-10,29.75,31,29.75,30.875,30.875,58800
1996-09-11,30.25,31,30.25,30.5,30.5,26000
1996-09-12,31.5,32,30.5,31,31,98500
1996-09-13,31,32,31,32,32,111000
1996-09-16,32,32,31,31,31,72900
1996-09-17,31,32,31,31.125,31.125,63100
1996-09-18,31.5,32,31,31,31,13000
1996-09-19,31,33.75,31,33.75,33.75,105100
1996-09-20,32.75,36.5,32.75,36.375,36.375,191600
1996-09-23,35.5,38,35.5,37.875,37.875,90400
1996-09-24,37.75,37.75,36.75,37.25,37.25,436900
1996-09-25,37.5,38.75,37.5,38.5,38.5,113900
1996-09-26,39,39.5,38.25,39.5,39.5,115400
1996-09-27,39.5,40.75,39.25,40.75,40.75,83800
1996-09-30,40.75,41.5,40.25,41.5,41.5,57600
1996-10-01,40.75,42.5,39.75,39.875,39.875,104500
1996-10-02,40.25,40.25,34.25,36.25,36.25,789100
1996-10-03,36,36.25,35.5,35.5,35.5,60600
1996-10-04,35.5,37.25,35.5,37.125,37.125,126000
1996-10-07,37.25,39,36.5,38.5,38.5,392300
1996-10-08,39,39,36.875,37,37,66200
1996-10-09,37.75,37.75,35.5,35.5,35.5,81800
1996-10-10,35.5,36.25,34.75,34.75,34.75,26900
1996-10-11,35.5,35.5,34.75,35,35,153700
1996-10-14,34.75,35.25,34.75,35,35,51800
1996-10-15,34.75,36.75,34.75,36,36,164400
1996-10-16,36.5,36.75,35.625,36.75,36.75,390000
1996-10-17,36.75,36.75,36,36.5,36.5,10300
1996-10-18,36.75,37.75,36,37.75,37.75,45700
1996-10-21,37.75,37.75,35,35.75,35.75,67800
1996-10-22,35.25,36,33,33,33,240700
1996-10-23,33.25,34.625,31.25,31.25,31.25,208000
1996-10-24,31,32,29.5,30.25,30.25,72400
1996-10-25,30.25,30.25,29.75,29.75,29.75,404600
1996-10-28,29.75,30.25,27,27.5,27.5,66000
1996-10-29,27.25,28.75,25.5,26.5,26.5,400700
1996-10-30,26.25,28.25,26.25,27.875,27.875,93900
1996-10-31,28.25,28.25,27,27.5,27.5,203700
1996-11-01,27,28,27,27.5,27.5,30300
1996-11-04,27.75,27.75,27,27.0625,27.0625,14000
1996-11-05,27.75,27.75,25.5,26,26,35100
1996-11-06,26.25,26.25,25.5,26.25,26.25,20200
1996-11-07,25,25.5,24,24.75,24.75,103400
1996-11-08,24.75,26,24.75,25.5,25.5,68800
1996-11-11,25.25,26,23.75,24.125,24.125,135100
1996-11-12,23.75,24.75,23.75,24.5,24.5,60300
1996-11-13,23.75,24.5,23.75,24.25,24.25,210400
1996-11-14,24,26.25,24,26.25,26.25,166200
1996-11-15,26.25,26.75,25,25.5,25.5,38800
1996-11-18,25.5,27,25.25,26.375,26.375,66500
1996-11-19,26.75,27.25,26.25,26.5,26.5,88300
1996-11-20,26.75,26.75,26,26,26,15800
1996-11-21,26.75,26.75,23,24.25,24.25,72700
1996-11-22,23,23.5,22.875,23.375,23.375,1544600
1996-11-25,23.375,23.75,23.375,23.375,23.375,444200
1996-11-26,23.375,23.75,23.125,23.25,23.25,239300
1996-11-27,23.25,23.75,23.25,23.25,23.25,68200
1996-11-29,23.25,23.75,23.25,23.25,23.25,23100
1996-12-02,23.25,25.625,23.25,25.375,25.375,145400
1996-12-03,25.5,25.5,24.5,24.5,24.5,105100
1996-12-04,24.5,25,24,24.5,24.5,112800
1996-12-05,24,24.75,24,24.75,24.75,27100
1996-12-06,23,24.5,23,23.75,23.75,94900
1996-12-09,23.75,25.75,23.75,25.25,25.25,441000
1996-12-10,25.5,27.25,25,26.5,26.5,211800
1996-12-11,26,26.25,25.25,25.875,25.875,75000
1996-12-12,25.75,26.25,25.5,25.5,25.5,124100
1996-12-13,25.5,26.25,25.5,25.5,25.5,83100
1996-12-16,25.25,26.75,25.25,26.0625,26.0625,191600
1996-12-17,25.75,26.5,25.25,25.25,25.25,122000
1996-12-18,25.5,25.5,25,25,25,20900
1996-12-19,25.5,25.5,25,25,25,11400
1996-12-20,25,25.5,24.75,25,25,21700
1996-12-23,24.5,24.75,24.25,24.625,24.625,104800
1996-12-24,24.25,24.75,24.25,24.5,24.5,16400
1996-12-26,24,24.5,24,24,24,2500
1996-12-27,24,24.75,22.5,23.75,23.75,194100
