Date,Open,High,Low,Close,AdjustedClose,Volume
2020-10-19,25.01,25.14,23.25,23.99,23.99,569300
2020-10-20,24.1,24.4,24.01,24.15,24.15,248600
2020-10-21,24.2,24.46,24.16,24.307,24.307,135700
2020-10-22,24.12,24.39,24.12,24.34,24.34,67000
2020-10-23,24.4,24.55,24.35,24.54,24.54,75700
2020-10-26,24.53,24.57,24.3,24.41,24.41,107100
2020-10-27,24.47,24.49,24.31,24.41,24.41,123200
2020-10-28,24.3,24.389,24,24.08,24.08,83600
2020-10-29,24.08,24.29,24.08,24.24,24.24,64200
2020-10-30,24.26,24.98,24,24.98,24.98,702200
2020-11-02,24.9,24.9,24.6,24.75,24.75,78200
2020-11-03,24.78,24.785,24.56,24.7,24.7,45700
2020-11-04,24.7,24.76,24.42,24.6,24.6,56700
2020-11-05,24.61,24.65,24.43,24.56,24.56,46100
2020-11-06,24.613,24.613,24.36,24.46,24.46,29100
2020-11-09,24.6,24.6,24.15,24.29,24.29,106700
2020-11-10,24.3,24.348,24.16,24.27,24.27,61800
2020-11-11,24.275,24.31,24.2,24.23,24.23,92300
2020-11-12,24.24,24.27,24.15,24.18,24.18,20300
2020-11-13,24.24,24.29,24.15,24.28,24.28,50500
2020-11-16,24.39,24.456,24.21,24.34,24.34,150800
2020-11-17,24.36,24.51,24.28,24.36,24.36,57400
2020-11-18,24.46,24.46,24.34,24.35,24.35,119600
2020-11-19,24.47,24.74,24.428,24.74,24.74,215500
2020-11-20,24.8,24.9,24.75,24.81,24.81,95400
2020-11-23,24.9,24.98,24.76,24.79,24.79,72300
2020-11-24,24.83,24.99,24.71,24.99,24.99,52300
2020-11-25,25,25,24.82,24.99,24.99,27500
2020-11-27,25,25,24.85,24.91,24.91,26600
2020-11-30,24.94,24.94,24.75,24.82,24.82,37900
2020-12-01,24.9,24.98,24.745,24.77,24.77,43100
2020-12-02,24.816,24.937,24.77,24.8,24.8,37600
2020-12-03,24.87,24.96,24.835,24.872,24.872,18700
2020-12-04,24.97,24.97,24.73,24.73,24.73,76500
2020-12-07,24.773,24.89,24.72,24.73,24.73,54100
2020-12-08,24.8,24.835,24.62,24.66,24.66,73500
2020-12-09,24.75,24.77,24.44,24.5,24.5,82500
2020-12-10,24.51,24.64,24.4,24.41,24.41,102700
2020-12-11,24.49,24.61,24.46,24.59,24.59,106900
2020-12-14,24.75,24.97,24.66,24.81,24.81,169600
2020-12-15,24.89,24.96,24.795,24.87,24.87,80200
2020-12-16,24.92,24.97,24.85,24.89,24.89,62400
2020-12-17,24.91,24.98,24.87,24.96,24.96,62400
2020-12-18,24.96,24.98,24.78,24.82,24.82,48000
2020-12-21,24.89,24.99,24.85,24.88,24.88,71500
2020-12-22,24.98,24.98,24.86,24.87,24.87,39500
2020-12-23,24.9,24.99,24.7,24.875,24.875,45300
2020-12-24,24.89,24.92,24.81,24.86,24.86,19500
2020-12-28,25,25.14,24.85,24.9,24.9,74800
2020-12-29,24.99,25.077,24.85,24.95,24.95,55500
2020-12-30,24.95,25.055,24.88,24.955,24.955,63400
2020-12-31,25.04,25.08,24.903,25.05,25.05,26400
2021-01-04,25.25,25.3,24.91,25.18,25.18,54600
2021-01-05,25.25,25.25,24.91,25.02,25.02,39100
2021-01-06,25,25.19,24.91,24.995,24.995,40700
2021-01-07,25,25.21,24.975,25.21,25.21,30600
2021-01-08,25.24,25.25,25.125,25.21,25.21,47000
2021-01-11,25.14,25.2,24.997,25.04,25.04,39600
2021-01-12,25.07,25.18,25.01,25.1,25.1,41600
2021-01-13,25.24,25.24,25.04,25.18,25.18,45300
2021-01-14,25.115,25.25,25.11,25.22,25.22,40200
2021-01-15,25.22,25.448,25.2,25.2,25.2,45000
2021-01-19,25.21,25.4,25.13,25.3,25.3,59000
2021-01-20,25.23,25.39,25.19,25.34,25.34,43300
2021-01-21,25.37,25.378,25.21,25.27,25.27,38800
2021-01-22,25.3,25.42,25.28,25.4,25.4,25300
2021-01-25,25.48,25.678,25.4,25.62,25.62,59500
2021-01-26,25.37,25.54,25.25,25.34,25.34,55300
2021-01-27,25.4,25.4,25.2,25.28,25.28,45000
2021-01-28,25.38,25.5,25.2,25.29,25.29,38800
2021-01-29,25.15,25.337,25.15,25.2,25.2,25800
2021-02-01,25.2,25.4,25.14,25.18,25.18,34700
2021-02-02,25.29,25.3,25.2,25.215,25.215,19200
2021-02-03,25.3,25.37,25.15,25.16,25.16,50000
2021-02-04,25.29,25.38,25.16,25.33,25.33,85500
2021-02-05,25.335,25.4,25.3,25.351,25.351,15000
2021-02-08,25.42,25.45,25.25,25.31,25.31,45000
2021-02-09,25.21,25.44,25.21,25.32,25.32,44500
2021-02-10,25.28,25.36,25.27,25.339,25.339,21400
2021-02-11,25.31,25.37,25.305,25.33,25.33,15500
2021-02-12,25.4,25.43,25.31,25.36,25.36,15500
2021-02-16,25.45,25.45,25.35,25.36,25.36,36700
2021-02-17,25.45,25.762,25.415,25.44,25.44,12000
2021-02-18,25.578,25.7,25.45,25.49,25.49,9900
2021-02-19,25.36,25.54,25.36,25.37,25.37,42100
2021-02-22,25.49,25.55,25.37,25.38,25.38,30500
2021-02-23,25.31,25.46,25.3,25.372,25.372,23500
2021-02-24,25.39,25.39,25.3,25.34,25.34,22100
2021-02-25,25.53,25.53,25.22,25.375,25.375,31400
2021-02-26,25.4,25.421,25.3,25.35,25.35,16600
2021-03-01,25.4,25.41,25.23,25.27,25.27,54700
2021-03-02,25.3,25.35,25.25,25.315,25.315,35000
2021-03-03,25.39,25.45,25.28,25.45,25.45,23500
2021-03-04,25.45,25.5,25.27,25.27,25.27,43800
2021-03-05,25.28,25.49,25.28,25.3,25.3,30100
2021-03-08,25.42,25.47,25.31,25.4,25.4,28000
2021-03-09,26,26,25.52,25.56,25.56,19100
2021-03-10,25.7,25.7,25.5,25.525,25.525,25100
2021-03-11,25.7,25.73,25.53,25.65,25.65,21000
2021-03-12,25.6,25.674,25.5,25.62,25.62,15100
2021-03-15,25.84,25.84,25.6,25.75,25.75,13500
2021-03-16,25.66,25.73,25.51,25.64,25.64,20700
2021-03-17,25.59,25.6,25.42,25.55,25.55,29900
2021-03-18,25.43,25.598,25.42,25.45,25.45,13300
2021-03-19,25.45,25.5,25.41,25.5,25.5,15300
2021-03-22,25.53,25.637,25.46,25.58,25.58,19900
2021-03-23,25.55,25.6,25.41,25.5,25.5,19600
2021-03-24,25.542,25.549,25.45,25.52,25.52,11700
2021-03-25,25.52,25.59,25.44,25.498,25.498,16600
2021-03-26,25.67,25.67,25.46,25.535,25.535,20700
2021-03-29,25.5,25.56,25.42,25.5,25.5,24000
2021-03-30,25.7,25.7,25.458,25.56,25.56,13000
2021-03-31,25.55,25.61,25.5,25.56,25.56,17600
2021-04-01,25.56,25.62,25.512,25.55,25.55,11400
2021-04-05,25.6,25.63,25.544,25.55,25.55,27700
2021-04-06,25.56,25.97,25.56,25.925,25.925,25100
2021-04-07,25.93,25.96,25.803,25.94,25.94,13000
2021-04-08,25.915,25.995,25.9,25.93,25.93,16800
2021-04-09,25.9,25.912,25.8,25.81,25.81,19500
2021-04-12,25.81,25.95,25.8,25.896,25.896,15500
2021-04-13,25.79,25.95,25.76,25.86,25.86,29100
2021-04-14,25.93,25.93,25.75,25.75,25.75,14800
2021-04-15,25.87,25.9,25.8,25.9,25.9,13000
2021-04-16,25.9,25.95,25.67,25.67,25.67,53700
2021-04-19,25.69,25.86,25.69,25.83,25.83,28900
2021-04-20,25.83,25.88,25.76,25.78,25.78,28500
2021-04-21,25.82,25.877,25.75,25.877,25.877,11500
2021-04-22,25.705,25.78,25.52,25.75,25.75,32000
2021-04-23,25.66,25.744,25.66,25.708,25.708,17800
2021-04-26,25.768,25.83,25.61,25.75,25.75,19200
2021-04-27,25.75,25.879,25.64,25.786,25.786,20900
2021-04-28,25.75,25.9,25.66,25.84,25.84,21100
2021-04-29,25.797,25.9,25.7,25.77,25.77,16200
2021-04-30,25.82,25.88,25.67,25.86,25.86,12000
2021-05-03,25.782,25.837,25.68,25.699,25.699,12900
2021-05-04,25.694,25.75,25.56,25.624,25.624,23600
2021-05-05,25.52,25.69,25.52,25.54,25.54,14500
2021-05-06,25.63,25.68,25.539,25.63,25.63,10700
2021-05-07,25.6,25.75,25.6,25.63,25.63,15800
2021-05-10,25.7,25.76,25.6,25.663,25.663,11300
2021-05-11,25.59,25.62,25.38,25.53,25.53,31500
2021-05-12,25.58,25.58,25.18,25.33,25.33,50600
2021-05-13,25.33,25.5,25.305,25.399,25.399,28200
2021-05-14,25.42,25.66,25.42,25.618,25.618,17900
2021-05-17,25.59,25.78,25.525,25.7,25.7,11400
2021-05-18,25.48,25.7,25.431,25.56,25.56,18800
2021-05-19,25.7,25.7,25.55,25.55,25.55,12000
2021-05-20,25.59,25.6,25.55,25.593,25.593,12000
2021-05-21,25.589,25.78,25.56,25.675,25.675,18000
2021-05-24,25.69,25.779,25.5,25.65,25.65,38300
2021-05-25,25.57,26.15,25.567,25.85,25.85,184100
2021-05-26,25.85,25.98,25.8,25.901,25.901,37500
2021-05-27,25.9,25.99,25.85,25.99,25.99,12200
2021-05-28,25.98,26.1,25.859,26.1,26.1,19700
2021-06-01,26.1,26.1,25.85,25.863,25.863,22100
2021-06-02,25.9,25.98,25.75,25.81,25.81,24500
2021-06-03,25.8,25.9,25.782,25.88,25.88,12600
2021-06-04,25.9,25.981,25.88,25.938,25.938,16500
2021-06-07,25.98,26.095,25.9,26,26,37900
2021-06-08,26,26,25.88,25.95,25.95,37100
2021-06-09,26.03,26.1,25.95,25.98,25.98,21700
2021-06-10,25.77,26.004,25.77,26,26,21500
2021-06-11,26.05,26.05,25.903,25.95,25.95,8300
2021-06-14,26,26.05,26,26.05,26.05,7200
