,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,10.15,10.15,10.12,10.12,10.12,29100
1,2021-06-11,10.12,10.15,10.1,10.09,10.1,48500
2,2021-06-14,10.119,10.15,10.15,10.119,10.15,600
3,2021-06-15,10.1,10.15,10.09,10.09,10.09,58700
4,2021-06-16,10.09,10.13,10.12,10.09,10.12,31900
5,2021-06-17,10.09,10.13,10.13,10.08,10.13,32200
6,2021-06-18,10.11,10.13,10.13,10.09,10.13,9000
7,2021-06-21,10.09,10.093,10.093,10.09,10.093,1100
8,2021-06-22,10.13,10.13,10.13,10.13,10.13,2100
9,2021-06-23,10.139,10.14,10.14,10.09,10.14,1900
10,2021-06-24,10.101,10.101,10.101,10.101,10.101,400
11,2021-06-25,10.1,10.101,10.1,10.09,10.1,2700
12,2021-06-28,10.09,10.09,10.09,10.09,10.09,3700
13,2021-06-29,10.14,10.14,10.09,10.09,10.09,900
14,2021-06-30,10.09,10.11,10.09,10.09,10.09,56900
15,2021-07-01,10.1,10.1,10.1,10.08,10.1,57000
16,2021-07-02,10.09,10.1,10.09,10.08,10.09,148600
17,2021-07-06,10.09,10.09,10.09,10.09,10.09,0
18,2021-07-07,10.08,10.15,10.14,10.08,10.14,70600
19,2021-07-08,10.11,10.115,10.09,10.09,10.09,26395
20,2021-07-09,10.12,10.12,10.1,10.09,10.1,35000
21,2021-07-12,10.12,10.125,10.1,10.09,10.1,7500
22,2021-07-13,10.09,10.12,10.12,10.09,10.12,4600
23,2021-07-14,10.12,10.141,10.11,10.11,10.11,61000
24,2021-07-15,10.12,10.12,10.09,10.09,10.09,1900
25,2021-07-16,10.105,10.12,10.12,10.09,10.12,2500
26,2021-07-19,10.12,10.12,10.12,10.08,10.12,28000
27,2021-07-20,10.087,10.1,10.1,10.087,10.1,700
28,2021-07-21,10.09,10.11,10.09,10.09,10.09,21000
29,2021-07-22,10.12,10.12,10.1,10.09,10.1,1700
30,2021-07-23,10.1,10.1,10.1,10.1,10.1,2200
31,2021-07-26,10.09,10.09,10.09,10.09,10.09,10800
32,2021-07-27,10.1,10.12,10.09,10.09,10.09,1100
33,2021-07-28,10.09,10.1,10.1,10.09,10.1,10200
34,2021-07-29,10.1,10.1,10.1,10.1,10.1,0
35,2021-07-30,10.1,10.11,10.1,10.1,10.1,11200
36,2021-08-02,10.1,10.1,10.09,10.09,10.09,4500
37,2021-08-03,10.09,10.09,10.09,10.09,10.09,0
38,2021-08-04,10.12,10.128,10.1,10.09,10.1,37900
39,2021-08-05,10.108,10.108,10.1,10.1,10.1,15900
40,2021-08-06,10.1,10.12,10.11,10.098,10.11,137100
41,2021-08-09,10.1,10.11,10.11,10.1,10.11,73000
42,2021-08-10,10.1,10.12,10.1,10.1,10.1,2900
43,2021-08-11,10.11,10.11,10.108,10.108,10.108,900
44,2021-08-12,10.1,10.11,10.1,10.1,10.1,3200
45,2021-08-13,10.12,10.12,10.12,10.12,10.12,300
46,2021-08-16,10.1,10.11,10.11,10.1,10.11,11000
47,2021-08-17,10.11,10.11,10.11,10.1,10.11,9200
48,2021-08-18,10.12,10.13,10.1,10.1,10.1,21100
49,2021-08-19,10.13,10.14,10.1,10.1,10.1,26200
50,2021-08-20,10.1,10.12,10.12,10.1,10.12,8500
51,2021-08-23,10.12,10.125,10.12,10.11,10.12,66500
52,2021-08-24,10.1,10.121,10.121,10.1,10.121,700
53,2021-08-25,10.11,10.13,10.11,10.1,10.11,58100
54,2021-08-26,10.11,10.14,10.12,10.1,10.12,29600
55,2021-08-27,10.15,10.15,10.13,10.12,10.13,85500
56,2021-08-30,10.12,10.135,10.12,10.12,10.12,3200
57,2021-08-31,10.148,10.148,10.148,10.148,10.148,300
58,2021-09-01,10.12,10.14,10.13,10.12,10.13,30300
59,2021-09-02,10.14,10.14,10.13,10.13,10.13,3100
60,2021-09-03,10.13,10.14,10.13,10.13,10.13,13400
61,2021-09-07,10.15,10.16,10.15,10.13,10.15,108255
