,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,15.25,15.56,15.47,15.22,15.47,541600
1,2021-06-11,15.55,15.7,15.43,15.38,15.43,376400
2,2021-06-14,15.4,15.55,15.43,15.37,15.43,476300
3,2021-06-15,15.37,15.53,15.47,15.35,15.47,322900
4,2021-06-16,15.42,15.5,15.38,15.215,15.38,483800
5,2021-06-17,15.35,15.44,15.2,15.17,15.2,433500
6,2021-06-18,15.1,15.17,14.89,14.88,14.89,1195800
7,2021-06-21,14.9,15.244,15.08,14.9,15.08,715000
8,2021-06-22,14.97,15.075,14.88,14.605,14.88,445900
9,2021-06-23,14.94,15.02,14.89,14.8,14.89,312100
10,2021-06-24,14.9,15.07,15.05,14.85,15.05,282500
11,2021-06-25,15.07,15.2,15.0,14.98,15.0,1419400
12,2021-06-28,15.03,15.03,14.6,14.56,14.6,354700
13,2021-06-29,14.56,14.67,14.48,14.45,14.48,304900
14,2021-06-30,14.48,14.59,14.51,14.46,14.51,356300
15,2021-07-01,14.51,14.82,14.76,14.51,14.76,427000
16,2021-07-02,14.85,14.91,14.79,14.73,14.79,252100
17,2021-07-06,14.79,14.91,14.86,14.62,14.86,910100
18,2021-07-07,14.83,14.91,14.87,14.695,14.87,303500
19,2021-07-08,14.67,14.68,14.49,14.445,14.49,603500
20,2021-07-09,14.59,14.73,14.62,14.46,14.62,357300
21,2021-07-12,14.65,14.81,14.75,14.43,14.75,417100
22,2021-07-13,14.71,14.805,14.62,14.61,14.62,361200
23,2021-07-14,14.68,14.94,14.59,14.56,14.59,613800
24,2021-07-15,14.51,14.64,14.57,14.445,14.57,433800
25,2021-07-16,14.65,14.74,14.48,14.46,14.48,577600
26,2021-07-19,14.27,14.6,14.5,14.18,14.5,607900
27,2021-07-20,14.59,14.875,14.75,14.54,14.75,1034400
28,2021-07-21,14.84,14.9,14.67,14.64,14.67,612300
29,2021-07-22,14.6,14.62,14.46,14.42,14.46,372600
30,2021-07-23,14.5,14.58,14.53,14.26,14.53,499000
31,2021-07-26,14.59,14.775,14.49,14.4,14.49,344000
32,2021-07-27,14.42,14.5,14.44,14.32,14.44,507100
33,2021-07-28,14.51,14.79,14.74,14.51,14.74,797700
34,2021-07-29,14.83,15.1,15.02,14.775,15.02,521800
35,2021-07-30,14.95,15.11,14.81,14.38,14.81,617100
36,2021-08-02,14.86,15.02,14.9,14.83,14.9,547700
37,2021-08-03,14.9,15.15,15.13,14.87,15.13,451800
38,2021-08-04,15.07,15.17,15.0,14.97,15.0,487300
39,2021-08-05,15.47,15.56,15.45,15.13,15.45,518600
40,2021-08-06,15.57,15.64,15.62,15.44,15.62,621900
41,2021-08-09,15.62,15.66,15.36,15.345,15.36,547000
42,2021-08-10,15.32,15.41,15.32,15.01,15.32,743600
43,2021-08-11,15.32,15.4,15.37,15.03,15.37,1378800
44,2021-08-12,15.38,15.68,15.65,15.25,15.65,608700
45,2021-08-13,16.0,16.18,16.1,15.98,16.1,621600
46,2021-08-16,16.09,16.1,15.96,15.703,15.96,482600
47,2021-08-17,15.85,15.94,15.68,15.65,15.68,605300
48,2021-08-18,15.7,15.82,15.59,15.5,15.59,471000
49,2021-08-19,15.5,15.55,15.35,15.3,15.35,602800
50,2021-08-20,15.27,15.63,15.62,15.14,15.62,415700
51,2021-08-23,15.71,15.83,15.78,15.71,15.78,390000
52,2021-08-24,15.83,16.12,16.01,15.83,16.01,634200
53,2021-08-25,16.0,16.069,15.995,15.85,15.995,572700
54,2021-08-26,15.96,16.07,15.86,15.84,15.86,357800
55,2021-08-27,15.86,16.05,15.99,15.81,15.99,400400
56,2021-08-30,15.98,16.05,15.94,15.83,15.94,412700
57,2021-08-31,15.99,16.12,15.93,15.86,15.93,632200
58,2021-09-01,15.99,16.08,15.91,15.85,15.91,343500
59,2021-09-02,15.99,16.02,15.86,15.75,15.86,420200
60,2021-09-03,15.83,15.83,15.61,15.49,15.61,442100
61,2021-09-07,15.6,16.32,16.02,15.565,16.02,1440128
