,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,9.03,9.49,8.57,8.16,8.57,50000
1,2021-06-11,8.56,9.72,9.71,8.56,9.71,53900
2,2021-06-14,9.31,9.84,8.56,8.55,8.56,68700
3,2021-06-15,8.66,9.31,8.75,8.41,8.75,22200
4,2021-06-16,8.8,9.19,9.18,8.62,9.18,40300
5,2021-06-17,8.95,9.356,9.35,8.95,9.35,45800
6,2021-06-18,9.38,9.64,8.62,8.34,8.62,138800
7,2021-06-21,8.81,9.21,8.49,8.42,8.49,82400
8,2021-06-22,8.41,8.75,8.37,8.11,8.37,66500
9,2021-06-23,8.26,8.55,8.42,8.219,8.42,28100
10,2021-06-24,8.45,8.7,8.47,8.45,8.47,17800
11,2021-06-25,8.64,8.93,8.9,8.51,8.9,42000
12,2021-06-28,9.0,9.13,9.08,8.929,9.08,5800
13,2021-06-29,8.946,8.99,8.9,8.9,8.9,14000
14,2021-06-30,8.825,9.12,9.12,8.825,9.12,10600
15,2021-07-01,9.13,9.165,9.09,9.0,9.09,6600
16,2021-07-02,9.015,9.19,9.1,9.015,9.1,16800
17,2021-07-06,9.1,9.2,9.2,9.1,9.2,19000
18,2021-07-07,9.2,9.31,9.2,8.979,9.2,23900
19,2021-07-08,9.2,9.61,9.61,8.94,9.61,19900
20,2021-07-09,9.9,9.9,9.47,9.3,9.47,17100
21,2021-07-12,9.28,9.96,9.96,9.24,9.96,5200
22,2021-07-13,10.0,18.5,9.32,9.3,9.32,1740600
23,2021-07-14,9.0,9.066,8.91,8.5,8.91,106300
24,2021-07-15,8.63,8.96,8.85,8.5,8.85,46800
25,2021-07-16,8.66,8.871,8.65,8.57,8.65,36900
26,2021-07-19,8.65,8.85,8.67,8.57,8.67,25800
27,2021-07-20,8.68,9.06,8.72,8.6,8.72,43600
28,2021-07-21,8.72,9.02,8.67,8.62,8.67,24400
29,2021-07-22,8.67,8.865,8.82,8.56,8.82,24300
30,2021-07-23,8.7,8.89,8.68,8.5,8.68,42400
31,2021-07-26,8.69,8.8,8.8,8.5,8.8,51300
32,2021-07-27,8.63,8.81,8.67,8.58,8.67,34400
33,2021-07-28,8.69,9.585,9.21,8.66,9.21,29800
34,2021-07-29,9.3,9.33,9.06,8.82,9.06,6200
35,2021-07-30,9.01,9.44,9.0,9.0,9.0,8300
36,2021-08-02,8.97,9.225,9.16,8.97,9.16,23500
37,2021-08-03,9.135,9.239,8.85,8.84,8.85,20300
38,2021-08-04,8.93,9.242,9.03,8.83,9.03,5100
39,2021-08-05,8.72,9.0,8.83,8.7,8.83,55000
40,2021-08-06,8.84,9.29,9.09,8.68,9.09,80700
41,2021-08-09,8.84,9.22,9.05,8.84,9.05,18800
42,2021-08-10,9.21,9.21,9.05,8.5,9.05,14500
43,2021-08-11,9.14,9.14,8.9,8.85,8.9,17500
44,2021-08-12,8.76,9.22,8.83,8.57,8.83,29200
45,2021-08-13,8.861,9.4,9.22,8.755,9.22,22200
46,2021-08-16,9.31,9.31,8.99,8.96,8.99,8700
47,2021-08-17,8.894,9.22,8.86,8.75,8.86,24200
48,2021-08-18,8.87,8.91,8.83,8.8,8.83,113500
49,2021-08-19,8.935,8.94,8.83,8.69,8.83,17900
50,2021-08-20,8.83,9.042,8.9,8.53,8.9,28600
51,2021-08-23,8.775,8.89,8.83,8.54,8.83,23900
52,2021-08-24,8.83,9.925,9.46,8.55,9.46,47600
53,2021-08-25,9.27,9.58,9.36,9.19,9.36,19100
54,2021-08-26,9.51,9.57,9.18,8.83,9.18,25900
55,2021-08-27,9.01,9.3,8.86,8.83,8.86,19600
56,2021-08-30,9.05,9.05,8.89,8.89,8.89,7800
57,2021-08-31,8.91,9.6,9.38,8.91,9.38,13500
58,2021-09-01,9.044,9.79,9.61,9.044,9.61,14100
59,2021-09-02,9.627,10.31,10.0,9.56,10.0,20300
60,2021-09-03,9.97,10.41,10.15,9.88,10.15,21900
61,2021-09-07,10.41,10.6354,10.35,10.15,10.35,24615
