,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,26.86,26.9254,26.6,26.45,26.1812,52785
1,2021-06-11,26.78,26.9399,26.725,26.6603,26.3042,57861
2,2021-06-14,26.94,26.94,26.61,26.52,26.191,85213
3,2021-06-15,26.79,26.8,26.56,26.45,26.283,59318
4,2021-06-16,26.58,26.7799,26.47,26.45,26.194,30624
5,2021-06-17,26.45,26.63,26.5401,26.45,26.2633,17777
6,2021-06-18,26.53,26.8,26.77,26.48,26.4908,23418
7,2021-06-21,26.73,26.85,26.84,26.64,26.5601,20197
8,2021-06-22,26.83,26.95,26.95,26.7266,26.669,22784
9,2021-06-23,26.93,27.1,27.02,26.87,26.7382,19596
10,2021-06-24,26.97,27.33,27.24,26.948,26.9559,32012
11,2021-06-25,27.31,27.35,27.24,27.14,26.9559,23683
12,2021-06-28,27.23,27.36,27.2,27.08,26.9164,50181
13,2021-06-29,27.17,27.38,27.29,27.0897,27.0054,50607
14,2021-06-30,27.4,27.59,27.39,27.2701,27.1044,55250
15,2021-07-01,27.55,27.58,27.4,27.4,27.1143,39896
16,2021-07-02,27.53,27.59,27.56,27.39,27.2726,28475
17,2021-07-06,27.51,27.549,27.48,27.35,27.1934,14825
18,2021-07-07,27.55,27.6,27.4,27.35,27.1143,40264
19,2021-07-08,27.44,27.44,27.215,27.13,26.9312,53991
20,2021-07-09,27.31,27.39,27.39,27.25,27.1044,30143
21,2021-07-12,27.4,27.5,27.5,27.232,27.2132,44830
22,2021-07-13,27.45,27.56,27.5,27.4,27.3555,44926
23,2021-07-14,27.51,27.51,27.13,27.03,26.9874,43127
24,2021-07-15,27.08,27.1,27.04,27.0,26.8979,26591
25,2021-07-16,26.98,27.23,27.15,26.98,27.0073,25141
26,2021-07-19,26.98,27.21,26.6,26.56,26.4602,41474
27,2021-07-20,26.77,26.8573,26.8,26.71,26.6592,17283
28,2021-07-21,26.93,27.02,26.9,26.78,26.7586,20038
29,2021-07-22,26.94,27.19,27.03,26.94,26.8879,18915
30,2021-07-23,26.96,27.25,27.2,26.955,27.0571,21552
31,2021-07-26,27.24,27.29,27.27,27.06,27.1267,28018
32,2021-07-27,27.27,27.44,27.44,27.2,27.2958,33854
33,2021-07-28,27.5,27.51,27.32,27.32,27.1764,43288
34,2021-07-29,27.38,27.4895,27.32,27.3,27.1764,24365
35,2021-07-30,27.37,27.44,27.43,27.2959,27.2858,36496
36,2021-08-02,27.44,27.75,27.69,27.43,27.5445,44872
37,2021-08-03,27.7,27.7,27.45,27.45,27.3057,35912
38,2021-08-04,27.49,27.69,27.25,27.22,27.1068,46560
39,2021-08-05,27.29,27.3899,27.19,27.15,27.0471,50473
40,2021-08-06,27.25,27.32,27.3,27.22,27.1565,13449
41,2021-08-09,27.3,27.43,27.35,27.2449,27.2063,19834
42,2021-08-10,27.3,27.4475,27.3,27.3,27.1565,19197
43,2021-08-11,27.35,27.38,27.29,27.28,27.1466,17249
44,2021-08-12,27.31,27.38,27.24,27.18,27.0968,28699
45,2021-08-13,27.33,27.34,27.19,27.15,27.0471,20501
46,2021-08-16,27.15,27.35,27.21,27.15,27.067,36200
47,2021-08-17,27.01,27.4,27.2,27.0,27.2,31100
48,2021-08-18,27.1,27.4,27.05,27.03,27.05,31700
49,2021-08-19,26.9,27.1,27.01,26.86,27.01,18800
50,2021-08-20,27.02,27.06,27.02,26.98,27.02,14300
51,2021-08-23,27.08,27.17,26.81,26.69,26.81,53700
52,2021-08-24,26.7,26.93,26.74,26.64,26.74,38700
53,2021-08-25,26.75,26.81,26.7,26.65,26.7,35300
54,2021-08-26,26.64,26.75,26.73,26.64,26.73,30800
55,2021-08-27,26.67,26.81,26.71,26.61,26.71,35500
56,2021-08-30,26.78,26.79,26.79,26.6996,26.79,24128
57,2021-08-31,26.89,27.0,26.99,26.8,26.99,24358
58,2021-09-01,27.04,27.29,27.25,26.86,27.25,48247
59,2021-09-02,27.34,27.34,27.25,27.16,27.25,22503
60,2021-09-03,27.15,27.2,27.12,27.02,27.12,30401
61,2021-09-07,27.09,27.21,27.2,27.09,27.2,20395
