,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,93.62,93.62,91.14,90.53,90.9107,3418706
1,2021-06-11,91.49,92.81,92.74,91.47,92.5066,1931932
2,2021-06-14,92.65,93.74,92.04,91.09,91.8084,3143565
3,2021-06-15,92.04,93.04,92.55,91.06,92.3171,2345229
4,2021-06-16,92.96,93.1073,91.34,90.92,91.1102,3646742
5,2021-06-17,91.65,96.39,94.65,91.65,94.4118,6415962
6,2021-06-18,96.25,99.7613,98.17,95.27,97.923,7600231
7,2021-06-21,98.56,99.48,97.6,96.75,97.3544,3765872
8,2021-06-22,97.73,98.72,98.5,97.0,98.2521,2531548
9,2021-06-23,98.68,98.7751,96.98,95.3,96.736,2761768
10,2021-06-24,96.98,97.43,97.27,95.91,97.0252,2631310
11,2021-06-25,97.36,97.94,97.09,96.25,96.8457,3081665
12,2021-06-28,97.63,98.85,98.41,97.26,98.1624,1745200
13,2021-06-29,98.25,101.39,99.22,98.05,98.9703,2488300
14,2021-06-30,99.32,100.18,99.35,98.7,99.1,2212900
15,2021-07-01,99.45,102.23,101.78,98.84,101.78,2717100
16,2021-07-02,102.07,102.39,101.39,100.91,101.39,1882900
17,2021-07-06,100.82,101.1,99.83,98.74,99.83,3364600
18,2021-07-07,99.8,102.79,102.14,99.8,102.14,2784000
19,2021-07-08,99.0,100.35,98.47,97.54,98.47,4466600
20,2021-07-09,99.36,100.15,98.93,98.5,98.93,2063500
21,2021-07-12,97.98,99.06,98.68,97.48,98.68,1732200
22,2021-07-13,98.22,98.22,95.8,95.66,95.8,2276700
23,2021-07-14,96.68,97.38,96.33,95.8,96.33,1347000
24,2021-07-15,95.78,97.2,96.86,95.32,96.86,1463900
25,2021-07-16,96.95,98.23,95.96,95.78,95.96,1622200
26,2021-07-19,94.47,96.86,96.16,94.07,96.16,2262400
27,2021-07-20,96.44,98.98,98.5,95.99,98.5,1951200
28,2021-07-21,98.84,100.65,100.6,98.59,100.6,2022300
29,2021-07-22,99.65,100.4,100.11,98.22,100.11,1945200
30,2021-07-23,100.81,103.19,102.86,100.5,102.86,1718100
31,2021-07-26,102.96,103.62,101.31,100.85,101.31,1459300
32,2021-07-27,101.28,102.93,102.39,100.07,102.39,1546100
33,2021-07-28,101.86,102.95,100.9,100.47,100.9,1330800
34,2021-07-29,102.01,106.71,106.47,101.52,106.47,3034200
35,2021-07-30,105.22,107.52,105.15,104.77,105.15,2035600
36,2021-08-02,106.29,107.23,105.85,104.92,105.85,1860200
37,2021-08-03,106.11,107.35,107.29,104.76,107.29,1269500
38,2021-08-04,106.45,107.96,105.44,105.42,105.44,1562600
39,2021-08-05,105.76,106.79,105.45,105.03,105.45,1490000
40,2021-08-06,105.43,106.44,104.05,103.65,104.05,1244300
41,2021-08-09,103.81,105.0,103.78,102.92,103.78,1049400
42,2021-08-10,104.0,107.15,105.72,103.5,105.72,1040800
43,2021-08-11,105.7,108.92,108.84,105.09,108.84,1206300
44,2021-08-12,108.77,109.54,107.4,106.98,107.4,1066300
45,2021-08-13,107.84,108.5,108.17,106.75,108.17,1072800
46,2021-08-16,107.69,110.14,108.76,107.18,108.76,1696900
47,2021-08-17,107.13,107.52,104.57,103.36,104.57,2073300
48,2021-08-18,103.29,105.79,104.01,102.58,104.01,1388300
49,2021-08-19,102.65,104.3,103.78,102.32,103.78,1347100
50,2021-08-20,103.62,105.66,105.32,103.12,105.32,1064800
51,2021-08-23,105.76,105.81,104.45,102.44,104.45,1790400
52,2021-08-24,105.15,108.55,107.04,104.83,107.04,1510800
53,2021-08-25,107.32,108.88,108.23,106.39,108.23,1391100
54,2021-08-26,108.12,108.35,106.27,105.64,106.27,1214100
55,2021-08-27,106.71,108.6,107.96,106.12,107.96,1079000
56,2021-08-30,108.01,108.45,107.86,106.54,107.86,1416700
57,2021-08-31,108.15,108.41,107.31,106.58,107.31,1606000
58,2021-09-01,107.62,109.95,108.59,106.89,108.59,2066800
59,2021-09-02,108.7,109.55,107.52,107.47,107.52,1558700
60,2021-09-03,107.15,107.15,105.61,104.62,105.61,1228600
61,2021-09-07,104.84,106.13,104.37,103.76,104.37,1396310
