Date,Open,High,Low,Close,AdjustedClose,Volume
2020-08-28,19.74,21.35,18.84,20.05,20.05,1230532
2020-08-31,21.16,24,20.642,20.78,20.78,859500
2020-09-01,21,22.15,18.82,21.81,21.81,1074500
2020-09-02,21.99,22.7,19.3,20.85,20.85,894000
2020-09-03,21.79,21.79,19.9,20.76,20.76,717200
2020-09-04,20.46,21.7,19.27,20.66,20.66,582100
2020-09-08,20.05,24,20.05,21.55,21.55,691600
2020-09-09,22.15,22.63,20.12,20.6,20.6,647600
2020-09-10,20.18,21.35,18.68,18.72,18.72,767200
2020-09-11,18.71,19.55,18.2,18.87,18.87,675500
2020-09-14,18.9,19,17.21,17.81,17.81,725500
2020-09-15,17.7,17.84,15.5,15.86,15.86,1171700
2020-09-16,15.78,16.19,15.2,15.27,15.27,799600
2020-09-17,15.4,15.4,14,14.1,14.1,1005000
2020-09-18,14.49,14.49,12.94,13.7,13.7,1564700
2020-09-21,13.64,13.68,11.78,13.2,13.2,1499800
2020-09-22,13.61,13.61,12.426,12.64,12.64,941100
2020-09-23,12.7,14.35,12.56,13.85,13.85,1435600
2020-09-24,13.6,13.79,13.09,13.41,13.41,936900
2020-09-25,13.41,14.87,13.41,14.38,14.38,1094600
2020-09-28,14.7,16.275,14.451,16.14,16.14,1160200
2020-09-29,16.06,18.88,15.5,18.16,18.16,3956400
2020-09-30,18.06,18.41,16.8,16.96,16.96,1135600
2020-10-01,16.94,18.52,16.94,17.97,17.97,801800
2020-10-02,17.44,18.49,16.68,16.74,16.74,739400
2020-10-05,16.93,17.62,16.8,17.025,17.025,664400
2020-10-06,17.05,17.99,16.86,17.04,17.04,649200
2020-10-07,17.46,20.75,17.46,18.78,18.78,2438600
2020-10-08,19.79,20.693,19.14,20,20,992600
2020-10-09,20.08,21.4,19.9,20.09,20.09,1776600
2020-10-12,20.77,21.96,19.43,21.78,21.78,928500
2020-10-13,21.75,22.19,20.24,20.44,20.44,585600
2020-10-14,20.54,21.61,20.36,21.16,21.16,543500
2020-10-15,20.51,20.51,19.74,19.93,19.93,625200
2020-10-16,18.51,18.86,16.93,17.1,17.1,2573100
2020-10-19,17.57,18.92,17.16,17.51,17.51,682800
2020-10-20,17.86,19.07,17.53,18.81,18.81,439900
2020-10-21,19.08,19.09,17.43,17.61,17.61,428100
2020-10-22,17.62,18.1,16.75,18.05,18.05,445300
2020-10-23,18.2,19,18,18.93,18.93,262600
2020-10-26,18.88,18.99,17.07,17.19,17.19,342800
2020-10-27,17.2,17.417,16.63,16.97,16.97,259500
2020-10-28,16.61,16.875,16,16.52,16.52,380900
2020-10-29,16.53,17.76,16.25,17.29,17.29,259400
2020-10-30,17.14,17.16,15.91,16.2,16.2,319500
2020-11-02,16.5,17,16.01,16.6,16.6,246700
2020-11-03,16.65,17.23,16.6,17.13,17.13,350900
2020-11-04,17,17.13,15.31,15.51,15.51,685700
2020-11-05,16.25,17.33,16.05,16.87,16.87,632000
2020-11-06,17.74,18,16.41,16.94,16.94,463200
2020-11-09,18.13,18.95,16.74,16.82,16.82,615400
2020-11-10,17.2,19.18,17.2,18.28,18.28,684600
2020-11-11,18.56,18.871,18,18.77,18.77,638500
2020-11-12,19.21,19.99,18.662,18.98,18.98,749000
2020-11-13,19.39,19.42,17.9,18.22,18.22,979000
2020-11-16,18.29,19.15,18.26,18.59,18.59,363800
2020-11-17,18.27,18.87,17.93,18.69,18.69,453000
2020-11-18,18.87,20.36,18.87,19.88,19.88,697600
2020-11-19,19.71,20.01,19.08,19.55,19.55,591200
2020-11-20,19.96,20.16,17.607,18.03,18.03,1605400
2020-11-23,18.25,18.7,17.8,18.68,18.68,615700
2020-11-24,18.79,22.1,18.73,22.04,22.04,1595400
2020-11-25,21.18,23.6,21,23.2,23.2,975500
2020-11-27,23.75,26.5,23.39,25.09,25.09,914800
2020-11-30,25,27.26,24.06,24.42,24.42,1720500
2020-12-01,24.66,26.94,24.25,26.79,26.79,1009700
2020-12-02,26,26.77,24.57,24.87,24.87,907000
2020-12-03,25.2,26.39,24.8,25.86,25.86,426500
2020-12-04,26.25,28.731,26.04,27.86,27.86,904700
2020-12-07,28.15,28.42,26.74,28.13,28.13,423000
