Date,Open,High,Low,Close,AdjustedClose,Volume
2021-05-04,25,25,25,25,25,0
2021-05-05,25.03,25.179,25.03,25.179,25.179,100
2021-05-06,25.205,25.4,25.16,25.4,25.4,115800
2021-05-07,25.5,25.61,25.49,25.602,25.602,35500
2021-05-10,25.79,25.79,25.69,25.69,25.69,15100
2021-05-11,25.37,25.37,25.288,25.318,25.318,24100
2021-05-12,25.22,25.22,24.84,24.865,24.865,23800
2021-05-13,25.05,25.27,25.05,25.205,25.205,29500
2021-05-14,25.375,25.49,25.36,25.471,25.471,17700
2021-05-17,25.33,25.406,25.33,25.406,25.406,12500
2021-05-18,25.28,25.3,25.162,25.162,25.162,24700
2021-05-19,25,25,24.75,24.951,24.951,19500
2021-05-20,24.91,25.25,24.91,25.184,25.184,18000
2021-05-21,25.33,25.33,25.2,25.2,25.2,26300
2021-05-24,25.25,25.32,25.23,25.255,25.255,11300
2021-05-25,25.31,25.31,25.166,25.166,25.166,19900
2021-05-26,25.173,25.25,25.173,25.199,25.199,22700
2021-05-27,25.38,25.38,25.277,25.277,25.277,13800
2021-05-28,25.33,25.33,25.297,25.297,25.297,10600
2021-06-01,25.36,25.4,25.245,25.245,25.245,15600
2021-06-02,25.31,25.32,25.282,25.303,25.303,13900
2021-06-03,25.23,25.36,25.21,25.326,25.326,16400
2021-06-04,25.435,25.5,25.4,25.492,25.492,16900
2021-06-07,25.515,25.515,25.43,25.463,25.463,11900
2021-06-08,25.41,25.49,25.4,25.49,25.49,13000
2021-06-09,25.47,25.5,25.385,25.385,25.385,10600
2021-06-10,25.52,25.53,25.437,25.437,25.437,11800
2021-06-11,25.44,25.471,25.44,25.471,25.471,10900
2021-06-14,25.35,25.4,25.29,25.349,25.349,16400
2021-06-15,25.39,25.39,25.32,25.35,25.35,17600
2021-06-16,25.42,25.42,25.144,25.144,25.144,20400
2021-06-17,25.13,25.13,24.96,25.059,25.059,20900
2021-06-18,24.89,24.89,24.649,24.649,24.649,11500
2021-06-21,24.86,25.04,24.86,25.026,25.026,11700
2021-06-22,25.114,25.114,25.06,25.071,25.071,10900
2021-06-23,25.01,25.05,24.927,24.927,24.927,10900
2021-06-24,25.09,25.13,25.09,25.098,25.098,10500
2021-06-25,25.13,25.25,25.13,25.241,25.241,11400
2021-06-28,25.2,25.2,25.16,25.1948,25.1948,11070
2021-06-29,25.25,25.2802,25.18,25.1849,25.1849,11694
2021-06-30,25.21,25.2418,25.19,25.2418,25.2418,10966
2021-07-01,25.34,25.41,25.34,25.37,25.37,12600
2021-07-02,25.48,25.534,25.48,25.504,25.504,10500
2021-07-06,25.52,25.52,25.28,25.336,25.336,10600
2021-07-07,25.36,25.48,25.36,25.466,25.466,12800
2021-07-08,25.24,25.32,25.17,25.23,25.23,10900
2021-07-09,25.464,25.55,25.46,25.526,25.526,13100
2021-07-12,25.56,25.6,25.56,25.586,25.586,11100
2021-07-13,25.53,25.53,25.44,25.45,25.45,15600
2021-07-14,25.46,25.49,25.43,25.439,25.439,11300
2021-07-15,25.4,25.4,25.37,25.385,25.385,11100
2021-07-16,25.57,25.57,25.332,25.332,25.332,12400
2021-07-19,24.98,24.98,24.9,24.9745,24.9745,12168
