,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,23.68,23.68,23.67,23.67,23.5542,902
1,2021-06-11,23.7,23.7,23.67,23.64,23.5542,8129
2,2021-06-14,23.675,23.68,23.6335,23.63,23.5179,5684
3,2021-06-15,23.6,23.64,23.615,23.59,23.4994,22622
4,2021-06-16,23.65,23.65,23.575,23.57,23.4596,11130
5,2021-06-17,23.5019,23.55,23.55,23.5019,23.4348,2339
6,2021-06-18,23.5471,23.6,23.574,23.53,23.4586,3004
7,2021-06-21,23.59,23.59,23.54,23.54,23.4248,7105
8,2021-06-22,23.57,23.58,23.57,23.5444,23.4547,10715
9,2021-06-23,23.5611,23.6,23.565,23.5301,23.4497,5092
10,2021-06-24,23.579,23.6,23.575,23.5413,23.4596,4738
11,2021-06-25,23.65,23.6754,23.625,23.57,23.5094,3299
12,2021-06-28,23.558,23.585,23.585,23.5401,23.4696,3270
13,2021-06-29,23.594,23.594,23.585,23.5401,23.4696,5562
14,2021-06-30,23.56,23.63,23.5904,23.56,23.475,18719
15,2021-07-01,23.569,23.6,23.5754,23.511,23.4972,22684
16,2021-07-02,23.55,23.8,23.605,23.55,23.5267,14657
17,2021-07-06,23.58,23.66,23.54,23.54,23.4619,11346
18,2021-07-07,23.55,23.67,23.64,23.55,23.5616,36065
19,2021-07-08,23.6769,23.6769,23.6304,23.62,23.552,12917
20,2021-07-09,23.5809,23.63,23.605,23.58,23.5267,6776
21,2021-07-12,23.59,23.6,23.5755,23.569,23.4973,4524
22,2021-07-13,23.6,23.605,23.575,23.575,23.4968,2224
23,2021-07-14,23.57,23.6,23.6,23.57,23.5217,2333
24,2021-07-15,23.58,23.6295,23.575,23.52,23.4968,75389
25,2021-07-16,23.615,23.615,23.615,23.59,23.5366,2635
26,2021-07-19,23.6105,23.64,23.6,23.56,23.5217,27966
27,2021-07-20,23.6789,23.6789,23.625,23.57,23.5466,41988
28,2021-07-21,23.66,23.6799,23.62,23.56,23.5416,32785
29,2021-07-22,23.62,23.6499,23.62,23.59,23.5416,14019
30,2021-07-23,23.62,23.66,23.635,23.62,23.5566,7166
31,2021-07-26,23.56,23.66,23.62,23.56,23.5416,3636
32,2021-07-27,24.93,24.93,23.65,23.62,23.5715,7490
33,2021-07-28,23.6479,23.6584,23.645,23.645,23.5665,1125
34,2021-07-29,23.63,23.68,23.6499,23.62,23.5714,14186
35,2021-07-30,23.67,23.67,23.655,23.63,23.5765,15199
36,2021-08-02,23.65,23.79,23.695,23.65,23.656,5411
37,2021-08-03,23.72,23.72,23.67,23.66,23.6311,6175
38,2021-08-04,23.69,23.7052,23.68,23.65,23.6411,3416
39,2021-08-05,23.68,23.6942,23.64,23.64,23.6011,4487
40,2021-08-06,23.66,23.66,23.61,23.59,23.5712,4009
41,2021-08-09,23.59,23.619,23.58,23.5544,23.5412,4638
42,2021-08-10,23.5201,23.55,23.538,23.5201,23.4993,4983
43,2021-08-11,23.59,23.59,23.566,23.56,23.5272,4247
44,2021-08-12,23.59,23.6,23.575,23.54,23.5362,22392
45,2021-08-13,23.59,23.619,23.6,23.588,23.5612,12542
46,2021-08-16,23.64,23.64,23.615,23.6,23.5762,22425
47,2021-08-17,23.63,23.64,23.6099,23.5818,23.5711,3716
48,2021-08-18,23.6,23.6079,23.59,23.59,23.5512,5548
49,2021-08-19,23.4608,23.55,23.52,23.4501,23.4813,15351
50,2021-08-20,23.6211,23.6211,23.6,23.57,23.5612,14956
51,2021-08-23,23.619,23.62,23.59,23.56,23.5512,37936
52,2021-08-24,23.585,23.5907,23.5907,23.5737,23.5519,3623
53,2021-08-25,23.629,23.629,23.6,23.5706,23.5612,5042
54,2021-08-26,23.59,23.61,23.58,23.55,23.5412,67869
55,2021-08-27,23.609,23.645,23.645,23.571,23.6061,22182
56,2021-08-30,23.6381,23.6723,23.615,23.5901,23.5762,5981
57,2021-08-31,23.66,23.6989,23.595,23.5812,23.5562,9877
58,2021-09-01,23.5488,23.66,23.581,23.5488,23.581,18082
59,2021-09-02,23.5813,23.6,23.585,23.5753,23.585,7080
60,2021-09-03,23.63,23.6888,23.63,23.5858,23.63,4672
61,2021-09-07,23.63,23.63,23.5885,23.5701,23.5885,5999
