,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,17.37,17.4,17.3728,17.2973,17.1566,53681
1,2021-06-11,17.42,17.43,17.39,17.3257,17.1736,39711
2,2021-06-14,17.35,17.43,17.39,17.3201,17.1736,35884
3,2021-06-15,17.39,17.4363,17.29,17.2616,17.0748,42393
4,2021-06-16,17.29,17.3699,17.24,17.21,17.0255,121889
5,2021-06-17,17.2,17.2599,17.04,17.0,16.828,49848
6,2021-06-18,17.04,17.04,16.9135,16.82,16.703,80547
7,2021-06-21,16.94,17.1199,17.03,16.88,16.8181,57102
8,2021-06-22,17.1,17.107,17.01,16.97,16.7983,135920
9,2021-06-23,16.99,17.1,17.0,16.9795,16.7884,67776
10,2021-06-24,17.03,17.053,16.96,16.88,16.8165,69407
11,2021-06-25,16.92,16.9769,16.9211,16.8901,16.7779,114005
12,2021-06-28,17.0,17.0199,16.81,16.81,16.6678,91850
13,2021-06-29,16.89,16.98,16.87,16.8239,16.7273,220113
14,2021-06-30,16.9,17.01,16.96,16.86,16.8165,125697
15,2021-07-01,16.9784,17.07,17.06,16.9208,16.9157,98010
16,2021-07-02,17.15,17.15,17.05,16.9622,16.9057,98324
17,2021-07-06,17.02,17.04,17.04,16.8515,16.8958,86271
18,2021-07-07,17.07,17.07,17.03,16.9006,16.8859,76248
19,2021-07-08,16.81,16.9476,16.85,16.8,16.7074,62517
20,2021-07-09,16.88,17.056,17.0,16.88,16.8562,57679
21,2021-07-12,17.0,17.08,17.08,16.96,16.9355,58119
22,2021-07-13,16.96,17.0599,16.9,16.88,16.757,101660
23,2021-07-14,16.97,16.97,16.9,16.82,16.757,154030
24,2021-07-15,16.82,16.95,16.87,16.8013,16.7273,80741
25,2021-07-16,16.88,16.98,16.84,16.83,16.6975,42896
26,2021-07-19,16.8,16.8,16.55,16.52,16.41,112173
27,2021-07-20,16.54,16.8883,16.76,16.54,16.6182,27185
28,2021-07-21,16.84,16.95,16.77,16.77,16.6909,62366
29,2021-07-22,16.74,16.8363,16.73,16.701,16.651,35864
30,2021-07-23,16.76,16.89,16.8307,16.7428,16.7513,47474
31,2021-07-26,16.79,16.9199,16.89,16.79,16.8103,54753
32,2021-07-27,16.84,16.95,16.92,16.8,16.8401,45938
33,2021-07-28,16.95,16.9672,16.7528,16.53,16.6737,140812
34,2021-07-29,16.78,16.91,16.81,16.731,16.7307,74770
35,2021-07-30,16.98,16.98,16.79,16.71,16.7108,100914
36,2021-08-02,16.84,16.9434,16.7,16.69,16.6212,58347
37,2021-08-03,16.68,16.72,16.6955,16.6,16.6167,86342
38,2021-08-04,16.63,16.7,16.6,16.5901,16.5217,30540
39,2021-08-05,16.6,16.656,16.61,16.5741,16.5316,68974
40,2021-08-06,16.63,16.71,16.6396,16.61,16.5611,36871
41,2021-08-09,16.59,16.59,16.5528,16.53,16.4747,44334
42,2021-08-10,16.53,16.58,16.5306,16.525,16.4526,35248
43,2021-08-11,16.51,16.6831,16.6449,16.501,16.5663,81680
44,2021-08-12,16.67,16.6899,16.68,16.58,16.6013,35969
45,2021-08-13,16.75,16.75,16.75,16.65,16.671,71290
46,2021-08-16,16.66,16.75,16.62,16.61,16.5416,40273
47,2021-08-17,16.58,16.7035,16.6257,16.5702,16.5472,37300
48,2021-08-18,16.59,16.67,16.53,16.53,16.53,40900
49,2021-08-19,16.5,16.52,16.43,16.39,16.43,49900
50,2021-08-20,16.39,16.59,16.5,16.36,16.5,60000
51,2021-08-23,16.6,16.64,16.57,16.51,16.57,57800
52,2021-08-24,16.51,16.57,16.52,16.45,16.52,65000
53,2021-08-25,16.46,16.58,16.49,16.44,16.49,98400
54,2021-08-26,16.49,16.5,16.42,16.41,16.42,39400
55,2021-08-27,16.49,16.63,16.62,16.44,16.62,38900
56,2021-08-30,16.64,16.65,16.63,16.54,16.63,57700
57,2021-08-31,16.6,16.68,16.65,16.55,16.65,75900
58,2021-09-01,16.61,16.69,16.66,16.57,16.66,76700
59,2021-09-02,16.7,16.82,16.8,16.7,16.8,52000
60,2021-09-03,16.74,16.82,16.76,16.71,16.76,37200
61,2021-09-07,16.73,16.81,16.63,16.63,16.63,42656
