,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,11.05,11.22,10.93,10.87,10.93,32500
1,2021-06-11,11.0,11.19,10.98,10.9,10.98,40800
2,2021-06-14,10.88,10.88,10.49,10.46,10.49,35885
3,2021-06-15,10.46,10.59,10.53,10.39,10.53,26344
4,2021-06-16,10.43,10.57,10.4,10.29,10.4,31000
5,2021-06-17,10.4,10.43,10.32,10.21,10.32,58200
6,2021-06-18,10.11,10.44,10.3,10.11,10.3,32200
7,2021-06-21,10.22,10.78,10.66,10.22,10.66,61100
8,2021-06-22,10.66,10.66,10.59,10.51,10.59,37000
9,2021-06-23,10.45,10.63,10.52,10.42,10.52,35300
10,2021-06-24,10.64,10.64,10.59,10.25,10.59,83700
11,2021-06-25,10.71,10.71,10.63,10.4,10.63,832000
12,2021-06-28,10.72,10.84,10.75,10.38,10.75,50600
13,2021-06-29,10.75,10.78,10.69,10.57,10.69,25700
14,2021-06-30,10.69,10.78,10.73,10.57,10.73,25900
15,2021-07-01,10.8,10.8,10.63,10.57,10.63,23600
16,2021-07-02,10.68,10.71,10.56,10.46,10.56,13700
17,2021-07-06,10.59,10.6976,10.57,10.4,10.57,33180
18,2021-07-07,10.45,10.69,10.5,10.41,10.5,14500
19,2021-07-08,10.41,10.56,10.41,10.27,10.41,17200
20,2021-07-09,10.41,10.56,10.54,10.41,10.54,9700
21,2021-07-12,10.59,10.59,10.52,10.48,10.52,5000
22,2021-07-13,10.48,10.48,10.39,10.27,10.39,13600
23,2021-07-14,10.36,10.51,10.49,10.33,10.49,6100
24,2021-07-15,10.31,10.48,10.34,10.28,10.34,27100
25,2021-07-16,10.34,10.38,10.35,10.29,10.35,15900
26,2021-07-19,10.3,10.47,10.23,10.21,10.23,17400
27,2021-07-20,10.38,10.41,10.29,10.23,10.29,29000
28,2021-07-21,10.47,10.95,10.9,10.42,10.9,36700
29,2021-07-22,10.55,10.8,10.47,10.45,10.47,31000
30,2021-07-23,10.51,10.76,10.66,10.5,10.66,6400
31,2021-07-26,10.75,10.78,10.78,10.55,10.78,6200
32,2021-07-27,10.69,10.76,10.75,10.64,10.75,5600
33,2021-07-28,10.56,10.76,10.69,10.56,10.69,5700
34,2021-07-29,10.64,10.77,10.55,10.51,10.55,14100
35,2021-07-30,10.42,10.66,10.5,10.42,10.5,4100
36,2021-08-02,10.52,10.61,10.5,10.39,10.5,12500
37,2021-08-03,10.39,10.71,10.54,10.39,10.54,27100
38,2021-08-04,10.39,10.41,10.41,10.32,10.41,8400
39,2021-08-05,10.36,10.44,10.41,10.35,10.41,12100
40,2021-08-06,10.49,10.5,10.43,10.37,10.43,6000
41,2021-08-09,10.5,12.2,11.33,10.5,11.33,68000
42,2021-08-10,11.32,11.38,11.29,11.13,11.29,27400
43,2021-08-11,11.22,11.31,11.31,11.15,11.31,14700
44,2021-08-12,11.37,11.37,11.06,11.04,11.06,18400
45,2021-08-13,11.12,11.4,11.09,11.03,11.09,26200
46,2021-08-16,11.0,11.05,10.98,10.87,10.98,20250
47,2021-08-17,11.01,11.01,10.98,10.8,10.98,8495
48,2021-08-18,10.99,10.99,10.84,10.81,10.84,4500
49,2021-08-19,10.82,10.9,10.85,10.82,10.85,3700
50,2021-08-20,10.8,11.1,11.03,10.8,11.03,5300
51,2021-08-23,11.15,11.15,11.03,10.91,11.03,8943
52,2021-08-24,10.8897,11.0438,11.01,10.86,11.01,10595
53,2021-08-25,10.95,11.12,11.06,10.95,11.06,5200
54,2021-08-26,11.13,11.17,11.17,10.93,11.17,7400
55,2021-08-27,11.14,11.3,11.01,10.93,11.01,8100
56,2021-08-30,11.16,11.16,11.02,10.99,11.02,6898
57,2021-08-31,11.075,11.08,10.98,10.93,10.98,2514
58,2021-09-01,10.95,10.989,10.91,10.84,10.91,8772
59,2021-09-02,10.86,10.94,10.94,10.83,10.94,2100
60,2021-09-03,10.83,10.94,10.89,10.83,10.89,5700
61,2021-09-07,10.78,10.88,10.85,10.75,10.85,3227
