,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,18.76,18.76,18.76,18.76,18.76,300
1,2021-06-11,18.76,18.76,18.76,18.76,18.76,0
2,2021-06-14,18.31,18.82,18.52,18.31,18.52,913
3,2021-06-15,18.34,18.36,18.36,18.34,18.36,304
4,2021-06-16,18.33,18.4,18.4,18.33,18.4,1400
5,2021-06-17,18.75,18.75,18.75,18.75,18.75,400
6,2021-06-18,18.38,18.75,18.75,18.38,18.75,8900
7,2021-06-21,18.75,18.75,18.68,18.6,18.68,2300
8,2021-06-22,18.42,18.75,18.55,18.4,18.55,3400
9,2021-06-23,18.71,18.74,18.48,18.48,18.48,1200
10,2021-06-24,18.4,18.7,18.47,18.4,18.47,3000
11,2021-06-25,18.43,18.6,18.55,18.43,18.55,4500
12,2021-06-28,18.6,18.6,18.6,18.6,18.6,300
13,2021-06-29,18.6,18.6,18.6,18.6,18.6,0
14,2021-06-30,18.46,18.74,18.45,18.36,18.45,4000
15,2021-07-01,18.73,18.79,18.55,18.55,18.55,1900
16,2021-07-02,18.55,18.55,18.55,18.55,18.55,0
17,2021-07-06,18.42,18.8,18.4,18.4,18.4,4800
18,2021-07-07,18.4,18.4,18.4,18.4,18.4,0
19,2021-07-08,18.4,18.76,18.76,18.4,18.76,1500
20,2021-07-09,18.47,18.61,18.47,18.39,18.47,2400
21,2021-07-12,18.41,18.67,18.67,18.41,18.67,1000
22,2021-07-13,18.42,18.5,18.32,18.32,18.32,3300
23,2021-07-14,18.37,18.37,18.37,18.37,18.37,300
24,2021-07-15,18.59,18.61,18.61,18.57,18.61,1400
25,2021-07-16,18.78,18.78,18.78,18.78,18.78,500
26,2021-07-19,18.8,18.8,18.8,18.74,18.8,4100
27,2021-07-20,18.84,19.0,18.33,18.33,18.33,11300
28,2021-07-21,18.48,18.87,18.46,18.45,18.46,4900
29,2021-07-22,18.46,18.46,18.46,18.46,18.46,200
30,2021-07-23,18.52,18.52,18.5,18.5,18.5,2500
31,2021-07-26,18.51,18.51,18.5,18.5,18.5,1100
32,2021-07-27,18.5,18.83,18.76,18.5,18.76,8000
33,2021-07-28,18.76,18.76,18.76,18.76,18.76,0
34,2021-07-29,18.69,18.9,18.86,18.69,18.86,1400
35,2021-07-30,18.86,18.86,18.86,18.86,18.86,0
36,2021-08-02,18.82,18.85,18.84,18.61,18.84,1900
37,2021-08-03,18.84,18.84,18.84,18.84,18.84,0
38,2021-08-04,18.92,18.92,18.92,18.92,18.92,200
39,2021-08-05,18.57,18.74,18.74,18.57,18.74,700
40,2021-08-06,18.74,18.74,18.74,18.74,18.74,0
41,2021-08-09,18.75,18.88,18.85,18.75,18.85,7300
42,2021-08-10,18.67,18.89,18.88,18.46,18.88,1200
43,2021-08-11,18.94,18.94,18.86,18.82,18.86,1200
44,2021-08-12,18.69,18.99,18.99,18.69,18.99,500
45,2021-08-13,18.79,18.79,18.77,18.77,18.77,2400
46,2021-08-16,18.77,18.77,18.77,18.77,18.77,0
47,2021-08-17,18.75,18.75,18.75,18.7,18.75,1900
48,2021-08-18,18.74,18.74,18.71,18.7,18.71,2700
49,2021-08-19,18.52,18.52,18.52,18.52,18.52,100
50,2021-08-20,18.7,18.7,18.61,18.42,18.61,2000
51,2021-08-23,18.7,18.75,18.71,18.7,18.71,72700
52,2021-08-24,18.76,18.76,18.71,18.71,18.71,400
53,2021-08-25,18.54,18.7,18.43,18.43,18.43,3400
54,2021-08-26,18.52,18.52,18.5,18.36,18.5,12300
55,2021-08-27,18.5,18.5,18.34,18.34,18.34,1700
56,2021-08-30,18.48,18.48,18.45,18.45,18.45,3400
57,2021-08-31,18.66,18.66,18.47,18.47,18.47,1400
58,2021-09-01,18.53,18.61,18.59,18.53,18.59,2100
59,2021-09-02,18.56,18.74,18.52,18.52,18.52,4200
60,2021-09-03,18.4,18.4,18.2,18.1,18.2,12700
61,2021-09-07,18.17,18.34,18.12,18.1,18.12,7156
