,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,4.29,4.35,4.32,4.18,4.32,193100
1,2021-06-11,4.3,4.35,4.28,4.22,4.28,106100
2,2021-06-14,4.28,4.33,4.23,4.21,4.23,170100
3,2021-06-15,4.23,4.28,4.1,4.07,4.1,224400
4,2021-06-16,4.1,4.16,3.95,3.92,3.95,431200
5,2021-06-17,3.95,4.05,3.83,3.78,3.83,335100
6,2021-06-18,3.8,3.86,3.76,3.71,3.76,372200
7,2021-06-21,5.01,5.09,4.2,4.01,4.2,22345400
8,2021-06-22,3.93,4.4,3.98,3.78,3.98,8058400
9,2021-06-23,4.05,4.06,3.9,3.86,3.9,1004600
10,2021-06-24,3.89,3.99,3.98,3.77,3.98,1230700
11,2021-06-25,3.97,4.21,4.12,3.96,4.12,6328700
12,2021-06-28,4.25,4.34,4.2,4.15,4.2,972500
13,2021-06-29,4.23,4.31,4.29,4.13,4.29,491600
14,2021-06-30,4.19,4.29,4.25,4.12,4.25,534900
15,2021-07-01,4.25,4.26,4.15,4.13,4.15,319400
16,2021-07-02,4.07,4.14,4.11,4.05,4.11,277300
17,2021-07-06,4.2,4.2,3.99,3.95,3.99,694200
18,2021-07-07,4.0,4.0,3.84,3.8,3.84,431500
19,2021-07-08,3.77,3.86,3.79,3.67,3.79,249400
20,2021-07-09,3.81,3.9,3.85,3.76,3.85,241900
21,2021-07-12,3.93,3.98,3.77,3.74,3.77,294200
22,2021-07-13,3.75,3.77,3.74,3.71,3.74,484900
23,2021-07-14,3.74,3.74,3.54,3.52,3.54,426500
24,2021-07-15,3.54,3.72,3.7,3.48,3.7,305100
25,2021-07-16,3.71,3.79,3.79,3.63,3.79,363400
26,2021-07-19,3.71,3.8,3.79,3.65,3.79,213500
27,2021-07-20,3.82,3.85,3.83,3.74,3.83,251800
28,2021-07-21,3.83,3.99,3.98,3.8,3.98,223300
29,2021-07-22,3.93,3.95,3.84,3.82,3.84,114500
30,2021-07-23,3.86,3.86,3.73,3.7,3.73,179500
31,2021-07-26,3.75,3.78,3.59,3.57,3.59,225100
32,2021-07-27,3.56,3.7,3.67,3.5,3.67,180600
33,2021-07-28,3.66,3.79,3.79,3.65,3.79,156900
34,2021-07-29,3.8,3.82,3.71,3.71,3.71,68200
35,2021-07-30,3.72,3.77,3.63,3.6,3.63,77900
36,2021-08-02,3.62,3.71,3.67,3.55,3.67,76700
37,2021-08-03,3.65,3.71,3.7,3.57,3.7,67700
38,2021-08-04,3.66,3.78,3.64,3.62,3.64,149600
39,2021-08-05,3.62,3.69,3.65,3.58,3.65,112800
40,2021-08-06,3.66,3.68,3.68,3.57,3.68,74300
41,2021-08-09,3.64,3.7,3.53,3.53,3.53,150800
42,2021-08-10,3.54,3.65,3.47,3.45,3.47,428100
43,2021-08-11,3.5,3.57,3.48,3.41,3.48,175700
44,2021-08-12,3.48,3.53,3.44,3.4,3.44,85000
45,2021-08-13,3.44,3.57,3.51,3.39,3.51,169000
46,2021-08-16,3.51,3.7,3.4,3.33,3.4,951400
47,2021-08-17,3.39,3.52,3.5,3.37,3.5,132800
48,2021-08-18,3.47,3.67,3.56,3.43,3.56,159300
49,2021-08-19,3.52,3.68,3.56,3.51,3.56,117300
50,2021-08-20,3.59,3.65,3.62,3.54,3.62,96100
51,2021-08-23,3.6,3.64,3.64,3.5,3.64,215100
52,2021-08-24,3.61,3.76,3.69,3.59,3.69,336000
53,2021-08-25,3.69,3.85,3.78,3.67,3.78,185800
54,2021-08-26,3.8,3.96,3.82,3.78,3.82,164300
55,2021-08-27,3.81,3.9,3.81,3.79,3.81,99300
56,2021-08-30,3.81,3.9,3.82,3.81,3.82,64000
57,2021-08-31,3.85,3.95,3.91,3.81,3.91,86900
58,2021-09-01,3.93,4.16,4.13,3.93,4.13,302400
59,2021-09-02,4.15,4.32,4.24,4.15,4.24,200300
60,2021-09-03,4.24,4.24,4.17,4.12,4.17,221100
61,2021-09-07,4.18,4.18,4.0,3.9478,4.0,142511
