Date,Open,High,Low,Close,AdjustedClose,Volume
1987-09-02,6.5,7.5,5.5,6.5,6.5,18000
1987-10-01,7,8,6,7,7,300
1987-10-07,7,8,6,7,7,1500
1987-10-09,7,8,6,7,7,500
1987-10-14,7,8,6,7,7,1800
1987-10-19,6.375,7.25,5.5,6.375,6.375,3400
1987-10-20,5.75,6.5,5,5.75,5.75,4200
1987-10-22,5.25,6,4.5,5.25,5.25,400
1987-10-23,5.125,6,4.25,5.125,5.125,2300
1987-10-30,5.5,6.25,4.75,5.5,5.5,200
1987-11-02,5.5,6.25,4.75,5.5,5.5,500
1987-11-05,5.5,6.25,4.75,5.5,5.5,2000
1987-11-17,5.5,6.25,4.75,5.5,5.5,100
1987-11-20,5.625,6.5,4.75,5.625,5.625,1200
1987-11-25,5.625,6.5,4.75,5.625,5.625,300
1987-12-07,5.75,6.5,5,5.75,5.75,700
1987-12-09,5.75,6.5,5,5.75,5.75,100
1987-12-11,5.75,6.5,5,5.75,5.75,2300
1987-12-15,5.25,5.5,5,5.25,5.25,2400
1987-12-23,5.75,6.5,5,5.75,5.75,800
1987-12-30,5.75,6.5,5,5.75,5.75,400
1988-01-05,5.75,6.5,5,5.75,5.75,3700
1988-01-06,5.75,6.5,5,5.75,5.75,400
1988-01-07,5.75,6.5,5,5.75,5.75,1000
1988-01-11,5.75,6.5,5,5.75,5.75,1000
1988-01-12,5.75,6.5,5,5.75,5.75,1000
1988-01-13,5.75,6.5,5,5.75,5.75,1000
1988-01-14,5.75,6.5,5,5.75,5.75,200
1988-01-15,5.75,6.5,5,5.75,5.75,600
1988-01-22,5.75,6.5,5,5.75,5.75,2400
1988-01-26,5.75,6.5,5,5.75,5.75,100
1988-01-27,5.75,6.5,5,5.75,5.75,1500
1988-01-29,5.75,6.5,5,5.75,5.75,3000
1988-02-01,5.75,6.5,5,5.75,5.75,1800
1988-02-02,5.75,6.5,5,5.75,5.75,2000
1988-02-03,5.75,6.5,5,5.75,5.75,1000
1988-02-04,5.75,6.5,5,5.75,5.75,100
1988-02-09,5.75,6.5,5,5.75,5.75,400
1988-02-12,5.75,6.5,5,5.75,5.75,600
1988-02-16,5.75,6.5,5,5.75,5.75,1800
1988-02-23,5.75,6.5,5,5.75,5.75,1200
1988-03-01,5,5,5,5,5,200
1988-03-09,5.25,5.25,5.25,5.25,5.25,400
1988-03-14,5,5,5,5,5,800
1988-03-15,5.25,5.25,5,5.25,5.25,4400
1988-03-16,5.5,5.5,5.5,5.5,5.5,1000
1988-03-18,6,6,6,6,6,100
1988-03-22,5.875,5.875,5.875,5.875,5.875,800
1988-03-24,6,6,6,6,6,500
1988-04-07,5.5,5.5,5.5,5.5,5.5,2000
1988-04-08,5.625,5.625,5.625,5.625,5.625,2000
1988-04-12,5.5,5.5,5.5,5.5,5.5,200
1988-04-19,5.5,5.5,5.5,5.5,5.5,200
1988-04-21,5.75,6,5.75,5.75,5.75,3000
1988-04-22,5.5,5.5,5.5,5.5,5.5,600
1988-04-25,6,6,5.75,6,6,1000
1988-04-29,5.5,5.5,5.5,5.5,5.5,700
1988-05-03,5.5,5.5,5.5,5.5,5.5,500
1988-05-04,6,6,6,6,6,200
1988-05-06,5.625,5.625,5.625,5.625,5.625,10000
1988-05-18,5.25,5.25,5.125,5.25,5.25,17000
1988-05-19,5.625,5.625,5.25,5.625,5.625,2100
1988-05-25,5.625,5.625,5.625,5.625,5.625,4000
1988-06-06,5.75,5.75,5.75,5.75,5.75,4000
1988-06-09,5.75,5.75,5.75,5.75,5.75,4000
1988-06-10,5.875,5.875,5.875,5.875,5.875,2400
1988-06-13,5.75,5.75,5.75,5.75,5.75,900
1988-06-14,5.75,5.75,5.75,5.75,5.75,1600
1988-06-15,5.5,5.5,5.5,5.5,5.5,1000
1988-06-23,6,6,6,6,6,100
1988-07-13,6,6,5.5,6,6,1600
1988-07-18,5.75,5.75,5.75,5.75,5.75,1200
1988-07-20,5.75,5.75,5.75,5.75,5.75,100
1988-07-21,5.5,5.5,5.5,5.5,5.5,14000
1988-07-22,5.5,5.5,5.5,5.5,5.5,4000
1988-07-25,5.5,5.75,5.5,5.5,5.5,600
1988-07-26,5.5,5.75,5.5,5.5,5.5,2000
1988-07-28,5.75,5.75,5.25,5.75,5.75,2000
1988-08-02,5.75,5.75,5.25,5.75,5.75,600
1988-08-04,5.5,5.5,5.5,5.5,5.5,1400
1988-08-08,5.75,5.75,5.75,5.75,5.75,200
1988-08-09,5.25,5.25,5.25,5.25,5.25,100
1988-08-10,5.75,5.75,5.75,5.75,5.75,600
1988-08-16,5.75,5.75,5.75,5.75,5.75,500
1988-08-17,5.25,5.25,5.125,5.25,5.25,22100
