,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,74.88,75.1,74.92,74.63,74.92,279300
1,2021-06-11,75.36,75.36,75.04,74.72,75.04,503300
2,2021-06-14,75.2,75.2,74.98,74.66,74.98,480700
3,2021-06-15,75.12,75.12,74.85,74.72,74.85,445000
4,2021-06-16,75.02,75.02,74.47,74.07,74.47,299800
5,2021-06-17,74.51,74.51,74.01,73.5,74.01,445600
6,2021-06-18,73.64,73.64,72.96,72.91,72.96,306900
7,2021-06-21,73.35,73.85,73.82,73.13,73.82,385800
8,2021-06-22,73.98,74.13,74.06,73.66,74.06,429600
9,2021-06-23,74.21,74.21,73.68,73.65,73.68,358500
10,2021-06-24,73.88,74.08,74.05,73.77,74.05,377700
11,2021-06-25,74.21,74.35,74.29,74.0,74.29,328000
12,2021-06-28,74.52,74.52,74.25,73.93,74.25,375000
13,2021-06-29,74.37,74.47,74.05,73.97,74.05,455800
14,2021-06-30,73.99,74.17,74.06,73.9,74.06,1282700
15,2021-07-01,74.22,74.45,74.45,74.07,74.45,325400
16,2021-07-02,74.73,74.88,74.85,74.47,74.85,435200
17,2021-07-06,74.91,74.91,74.68,74.19,74.68,470300
18,2021-07-07,74.82,74.97,74.94,74.48,74.94,1049000
19,2021-07-08,74.35,74.61,74.49,73.9,74.49,318300
20,2021-07-09,74.7,75.07,75.05,74.7,75.05,386400
21,2021-07-12,75.03,75.05,74.88,74.82,74.88,282200
22,2021-07-13,74.84,74.9,74.44,74.4,74.44,250100
23,2021-07-14,74.75,74.88,74.69,74.34,74.69,524400
24,2021-07-15,74.49,74.49,74.34,73.99,74.34,473300
25,2021-07-16,74.65,74.65,74.11,74.03,74.11,278700
26,2021-07-19,73.47,73.51,73.11,72.66,73.11,464100
27,2021-07-20,73.42,74.45,74.24,73.24,74.24,393500
28,2021-07-21,74.54,74.74,74.73,74.37,74.73,344200
29,2021-07-22,74.83,74.89,74.85,74.57,74.85,316900
30,2021-07-23,75.13,75.5,75.46,74.96,75.46,242300
31,2021-07-26,75.42,75.56,75.56,75.21,75.56,444100
32,2021-07-27,75.54,75.54,75.45,75.09,75.45,329900
33,2021-07-28,75.76,75.89,75.64,75.48,75.64,368700
34,2021-07-29,75.91,76.12,75.87,75.85,75.87,374500
35,2021-07-30,75.59,75.85,75.53,75.43,75.53,309700
36,2021-08-02,75.83,75.85,75.35,75.31,75.35,244800
37,2021-08-03,75.46,75.84,75.84,74.99,75.84,397300
38,2021-08-04,75.7,75.7,75.27,75.17,75.27,327500
39,2021-08-05,75.67,75.69,75.68,75.36,75.68,224900
40,2021-08-06,75.91,76.01,75.98,75.72,75.98,453800
41,2021-08-09,76.04,76.04,75.7,75.67,75.7,482100
42,2021-08-10,75.88,75.88,75.79,75.52,75.79,769100
43,2021-08-11,76.03,76.08,75.86,75.66,75.86,329200
44,2021-08-12,75.87,75.92,75.9,75.55,75.9,492800
45,2021-08-13,76.12,76.12,76.11,75.92,76.11,300400
46,2021-08-16,75.99,76.14,76.14,75.64,76.14,301900
47,2021-08-17,75.92,76.03,76.02,75.48,76.02,361700
48,2021-08-18,75.92,75.97,75.06,74.98,75.06,368900
49,2021-08-19,74.5,75.18,74.97,74.5,74.97,921700
50,2021-08-20,75.11,75.66,75.48,74.9,75.48,337200
51,2021-08-23,75.9,76.22,76.07,75.81,76.07,267900
52,2021-08-24,76.3,76.34,76.24,76.07,76.24,251900
53,2021-08-25,76.21,76.4,76.31,76.03,76.31,382000
54,2021-08-26,76.39,76.44,76.02,75.98,76.02,373600
55,2021-08-27,76.16,76.67,76.56,76.11,76.56,209600
56,2021-08-30,76.77,76.84,76.67,76.49,76.67,378800
57,2021-08-31,76.73,76.79,76.56,76.46,76.56,478700
58,2021-09-01,76.8,76.8,76.6,76.44,76.6,444200
59,2021-09-02,76.8,76.89,76.87,76.62,76.87,714700
60,2021-09-03,76.89,77.04,76.91,76.82,76.91,391200
61,2021-09-07,76.92,76.92,76.12,76.1,76.12,323075
