,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,40.34,40.34,39.55,39.53,39.3167,203909
1,2021-06-11,39.62,40.07,39.42,39.23,39.1874,105711
2,2021-06-14,39.6,39.78,39.28,38.96,39.0483,112991
3,2021-06-15,39.46,40.05,39.48,39.19,39.2471,100500
4,2021-06-16,39.36,40.15,39.95,39.1,39.7143,103162
5,2021-06-17,40.1,40.23,38.3,38.24,38.074,216478
6,2021-06-18,37.93,37.99,36.54,36.46,36.3244,387201
7,2021-06-21,37.02,37.73,37.51,37.02,37.2887,203755
8,2021-06-22,37.28,37.57,37.41,36.69,37.1893,74346
9,2021-06-23,37.41,37.81,37.37,37.12,37.1495,137409
10,2021-06-24,37.66,37.995,37.89,37.25,37.6665,104735
11,2021-06-25,38.04,38.26,37.77,37.705,37.5472,462414
12,2021-06-28,37.62,37.62,36.56,36.44,36.3443,104662
13,2021-06-29,36.92,36.92,36.34,36.31,36.1256,61618
14,2021-06-30,37.42,38.1,37.74,37.16,37.5173,243982
15,2021-07-01,38.05,38.16,37.69,37.52,37.4676,159817
16,2021-07-02,37.39,37.69,37.1,36.85,36.8811,138249
17,2021-07-06,37.1,37.1,36.6,36.025,36.3841,194102
18,2021-07-07,36.18,36.79,35.9,35.67,35.6882,135858
19,2021-07-08,35.29,35.86,35.47,34.88,35.2607,109268
20,2021-07-09,36.15,36.72,36.69,35.96,36.4735,117003
21,2021-07-12,36.49,37.07,37.05,36.31,36.8314,123905
22,2021-07-13,36.86,37.18,35.9,35.89,35.6882,115517
23,2021-07-14,36.05,36.28,35.74,35.51,35.5291,73400
24,2021-07-15,35.48,36.1,35.99,35.315,35.7777,98858
25,2021-07-16,36.34,36.34,35.5,35.375,35.2906,116362
26,2021-07-19,34.62,34.95,34.33,34.11,34.1275,173390
27,2021-07-20,34.33,35.79,35.31,34.33,35.1017,238993
28,2021-07-21,35.72,36.12,35.93,35.61,35.718,121438
29,2021-07-22,35.61,35.61,35.07,34.85,34.8631,94421
30,2021-07-23,35.49,35.6,35.43,35.25,35.221,83465
31,2021-07-26,35.58,36.04,35.81,35.58,35.5987,128493
32,2021-07-27,34.76,35.61,35.4,34.76,35.1912,120290
33,2021-07-28,35.18,36.115,35.67,35.18,35.4596,145457
34,2021-07-29,35.83,36.4,36.0,35.63,35.7876,80898
35,2021-07-30,36.03,36.21,35.46,35.44,35.2508,111122
36,2021-08-02,35.5,36.32,35.2,35.0,34.9923,135976
37,2021-08-03,35.42,35.61,35.59,34.85,35.38,138751
38,2021-08-04,35.02,35.19,34.71,34.67,34.5052,291475
39,2021-08-05,35.0,35.36,35.33,34.86,35.1216,84504
40,2021-08-06,35.93,36.685,36.46,35.48,36.2449,78311
41,2021-08-09,36.365,36.71,36.41,35.82,36.1952,109510
42,2021-08-10,36.27,36.8739,36.79,36.18,36.5729,56808
43,2021-08-11,36.93,37.4,37.38,36.59,37.1595,85337
44,2021-08-12,37.41,37.41,36.85,36.83,36.6326,69696
45,2021-08-13,36.9,37.19,37.05,36.695,36.8314,121432
46,2021-08-16,36.69,37.13,36.95,36.36,36.732,83308
47,2021-08-17,36.73,37.07,36.6,36.42,36.3841,193738
48,2021-08-18,36.57,37.04,36.31,36.28,36.0958,114620
49,2021-08-19,35.93,36.2,36.18,35.75,35.9665,128311
50,2021-08-20,36.08,37.02,37.0,36.08,36.7817,92188
51,2021-08-23,37.11,37.4,37.23,36.95,37.0104,69951
52,2021-08-24,37.32,37.46,37.23,37.15,37.0104,70804
53,2021-08-25,37.33,37.65,37.29,37.24,37.07,106500
54,2021-08-26,37.18,37.18,36.75,36.74,36.75,88700
55,2021-08-27,36.77,37.91,37.81,36.77,37.81,84900
56,2021-08-30,37.85,37.85,37.08,37.06,37.08,106600
57,2021-08-31,37.04,37.65,37.5,36.99,37.5,163400
58,2021-09-01,37.43,37.43,37.3,36.91,37.3,84300
59,2021-09-02,37.44,37.62,37.23,37.21,37.23,94700
60,2021-09-03,37.15,37.28,37.23,36.82,37.23,78100
61,2021-09-07,37.15,37.41,36.86,36.84,36.86,88351
