,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,5.31,5.395,5.3,5.15,5.3,138025
1,2021-06-11,5.36,5.36,5.17,5.14,5.17,206121
2,2021-06-14,5.18,5.29,5.22,5.11,5.22,119800
3,2021-06-15,5.26,5.3,5.18,5.135,5.18,136180
4,2021-06-16,5.13,5.23,5.08,4.92,5.08,165406
5,2021-06-17,5.02,5.22,4.91,4.83,4.91,365218
6,2021-06-18,4.87,4.915,4.63,4.53,4.63,547666
7,2021-06-21,4.63,4.95,4.92,4.53,4.92,358341
8,2021-06-22,4.94,4.99,4.93,4.69,4.93,231194
9,2021-06-23,4.9,5.09,5.05,4.78,5.05,183280
10,2021-06-24,5.04,5.11,5.08,4.88,5.08,194330
11,2021-06-25,5.11,5.39,5.35,4.96,5.35,2289289
12,2021-06-28,5.42,5.45,5.09,5.06,5.09,150597
13,2021-06-29,5.08,5.08,4.88,4.88,4.88,173624
14,2021-06-30,4.9,4.905,4.79,4.75,4.79,211003
15,2021-07-01,4.85,4.85,4.76,4.65,4.76,234823
16,2021-07-02,4.78,4.8,4.66,4.56,4.66,187942
17,2021-07-06,4.67,4.67,4.27,4.24,4.27,300934
18,2021-07-07,4.27,4.3999,4.37,4.09,4.37,250494
19,2021-07-08,4.29,4.47,4.43,4.1324,4.43,157611
20,2021-07-09,4.49,4.63,4.59,4.25,4.59,541741
21,2021-07-12,4.54,4.6399,4.21,4.19,4.21,196897
22,2021-07-13,4.21,4.2999,4.14,4.09,4.14,137775
23,2021-07-14,4.12,4.15,3.83,3.81,3.83,172961
24,2021-07-15,3.8,4.13,4.05,3.66,4.05,467616
25,2021-07-16,4.14,4.14,3.9,3.87,3.9,290074
26,2021-07-19,3.71,3.95,3.88,3.71,3.88,111856
27,2021-07-20,3.88,4.04,3.98,3.83,3.98,145864
28,2021-07-21,3.98,4.09,4.02,3.9,4.02,81245
29,2021-07-22,4.02,4.1327,3.91,3.78,3.91,213217
30,2021-07-23,3.89,3.91,3.76,3.66,3.76,249787
31,2021-07-26,3.76,3.805,3.75,3.675,3.75,106717
32,2021-07-27,3.7,3.72,3.4,3.35,3.4,445430
33,2021-07-28,3.4,3.61,3.54,3.4,3.54,419290
34,2021-07-29,3.54,3.74,3.56,3.49,3.56,113890
35,2021-07-30,3.56,3.64,3.52,3.48,3.52,82555
36,2021-08-02,3.6,3.9295,3.79,3.6,3.79,182472
37,2021-08-03,3.84,3.93,3.61,3.55,3.61,93240
38,2021-08-04,3.57,3.71,3.57,3.51,3.57,49604
39,2021-08-05,3.59,3.646,3.56,3.53,3.56,65064
40,2021-08-06,3.59,3.7,3.69,3.5,3.69,124198
41,2021-08-09,3.74,3.785,3.72,3.61,3.72,95214
42,2021-08-10,3.75,3.75,3.52,3.47,3.52,51230
43,2021-08-11,3.49,3.52,3.46,3.3842,3.46,107451
44,2021-08-12,3.43,3.52,3.455,3.3684,3.455,69197
45,2021-08-13,3.44,3.511,3.49,3.4041,3.49,52220
46,2021-08-16,3.48,3.59,3.49,3.4,3.49,108787
47,2021-08-17,3.45,3.57,3.51,3.35,3.51,155732
48,2021-08-18,3.51,3.51,3.38,3.35,3.38,53154
49,2021-08-19,3.38,3.45,3.36,3.35,3.36,202397
50,2021-08-20,3.37,3.45,3.27,3.26,3.27,214164
51,2021-08-23,3.32,3.75,3.75,3.29,3.75,249975
52,2021-08-24,3.75,3.96,3.88,3.67,3.88,157401
53,2021-08-25,3.9,4.05,3.99,3.835,3.99,98629
54,2021-08-26,3.96,4.1,3.86,3.83,3.86,63936
55,2021-08-27,3.85,3.97,3.83,3.75,3.83,135693
56,2021-08-30,3.81,3.86,3.67,3.57,3.67,183973
57,2021-08-31,3.7,4.0244,3.99,3.6018,3.99,191451
58,2021-09-01,4.05,4.1,3.99,3.77,3.99,173361
59,2021-09-02,4.0,4.1,4.05,3.9501,4.05,83822
60,2021-09-03,4.05,4.0693,3.86,3.76,3.86,42365
61,2021-09-07,3.98,4.0131,3.84,3.75,3.84,54152
