,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,38.82,39.0,38.05,37.99,37.7535,100797
1,2021-06-11,38.25,38.65,37.9,37.87,37.6046,107243
2,2021-06-14,37.94,38.01,37.83,37.38,37.5352,147676
3,2021-06-15,38.07,38.87,38.44,37.85,38.1404,145083
4,2021-06-16,38.2,39.31,39.03,37.82,38.7258,135796
5,2021-06-17,39.06,39.23,37.73,37.59,37.436,186309
6,2021-06-18,37.09,37.71,36.16,36.07,35.8782,350551
7,2021-06-21,36.32,37.57,37.24,36.3,36.9498,126679
8,2021-06-22,37.23,37.435,36.88,36.43,36.5926,101488
9,2021-06-23,36.79,37.12,36.55,36.46,36.2652,165985
10,2021-06-24,36.99,37.275,37.26,36.49,36.9696,77305
11,2021-06-25,37.15,37.66,37.36,37.015,37.0689,365320
12,2021-06-28,37.02,37.13,35.96,35.94,35.6798,129599
13,2021-06-29,36.23,36.24,36.02,35.97,35.7393,161970
14,2021-06-30,35.84,36.31,35.97,35.84,35.6897,108621
15,2021-07-01,36.07,36.32,36.09,35.92,35.8088,112164
16,2021-07-02,36.0,36.06,35.59,35.57,35.3126,131769
17,2021-07-06,35.4,35.4,34.8,34.44,34.5288,190386
18,2021-07-07,34.47,35.32,34.71,34.47,34.4395,211287
19,2021-07-08,34.14,34.32,33.74,33.43,33.4771,257866
20,2021-07-09,35.315,35.315,34.78,34.26,34.509,183128
21,2021-07-12,34.39,35.02,34.89,34.1,34.6181,164828
22,2021-07-13,34.75,34.91,34.24,34.0901,33.9732,103134
23,2021-07-14,34.34,34.77,34.23,33.91,33.9632,103793
24,2021-07-15,33.96,34.71,34.63,33.78,34.3601,126254
25,2021-07-16,34.85,34.99,33.97,33.86,33.7053,96567
26,2021-07-19,34.09,34.09,32.97,32.74,32.7131,163920
27,2021-07-20,33.06,34.4,33.54,33.06,33.2786,191795
28,2021-07-21,33.95,34.42,33.9,33.74,33.6358,107104
29,2021-07-22,33.78,34.2,32.82,32.76,32.5642,91353
30,2021-07-23,32.98,33.5,32.96,32.73,32.7031,114381
31,2021-07-26,33.06,33.76,33.22,33.06,32.9611,69619
32,2021-07-27,32.77,34.0,33.58,32.66,33.3183,154763
33,2021-07-28,35.06,35.06,34.46,33.95,34.1915,170255
34,2021-07-29,35.15,35.28,34.91,34.84,34.6379,156791
35,2021-07-30,34.64,35.33,34.85,34.64,34.5784,172526
36,2021-08-02,35.13,35.93,35.09,34.91,34.8165,212440
37,2021-08-03,35.59,36.01,35.85,35.02,35.5706,239452
38,2021-08-04,35.29,35.74,35.34,35.21,35.0646,134242
39,2021-08-05,35.4,35.86,35.74,35.4,35.4615,71634
40,2021-08-06,36.25,36.9,36.46,36.0,36.1759,104821
41,2021-08-09,36.42,36.75,36.34,36.045,36.0568,67636
42,2021-08-10,36.33,37.11,37.0,36.21,36.7117,84188
43,2021-08-11,37.19,37.53,37.52,35.87,37.2276,87515
44,2021-08-12,37.65,37.65,37.17,36.8556,36.8803,76572
45,2021-08-13,37.06,37.2,36.88,36.68,36.5926,51356
46,2021-08-16,36.59,37.02,36.82,36.2175,36.5331,123387
47,2021-08-17,36.66,36.85,36.47,36.17,36.1858,88671
48,2021-08-18,36.33,36.58,35.98,35.95,35.6996,79262
49,2021-08-19,35.7,35.93,35.79,35.33,35.5111,98811
50,2021-08-20,35.66,36.32,36.3,35.33,36.0171,97275
51,2021-08-23,36.56,36.76,36.64,36.33,36.3545,90845
52,2021-08-24,36.62,36.64,36.4,36.34,36.1163,57026
53,2021-08-25,36.33,36.875,36.22,36.2,35.9377,94845
54,2021-08-26,36.48,36.48,35.74,35.69,35.4615,68741
55,2021-08-27,35.77,36.87,36.75,35.46,36.4636,138769
56,2021-08-30,36.76,36.76,35.93,35.86,35.65,75800
57,2021-08-31,35.71,36.26,35.86,35.58,35.86,77400
58,2021-09-01,35.92,35.96,35.72,35.24,35.72,89400
59,2021-09-02,35.63,35.97,35.45,35.36,35.45,78600
60,2021-09-03,35.39,35.55,35.13,34.94,35.13,107500
61,2021-09-07,35.25,35.63,35.17,35.14,35.17,95159
