,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,34.17,34.48,33.14,33.01,33.14,432400
1,2021-06-11,33.52,34.62,34.18,33.11,34.18,432500
2,2021-06-14,34.87,35.35,34.44,34.17,34.44,518100
3,2021-06-15,34.62,34.64,33.8,33.38,33.8,445800
4,2021-06-16,33.4,33.76,31.99,31.37,31.99,799300
5,2021-06-17,31.99,32.35,32.2,31.23,32.2,638200
6,2021-06-18,32.32,32.85,31.95,31.67,31.95,1151200
7,2021-06-21,32.0,32.43,30.54,30.25,30.54,613500
8,2021-06-22,30.0,30.0,28.87,28.65,28.87,1233200
9,2021-06-23,29.54,31.0,30.94,29.54,30.94,806400
10,2021-06-24,31.6,31.69,30.83,30.51,30.83,799800
11,2021-06-25,31.0,31.54,31.19,30.61,31.19,348400
12,2021-06-28,31.35,32.71,32.23,31.35,32.23,832000
13,2021-06-29,31.65,33.08,32.98,31.4,32.98,527000
14,2021-06-30,32.65,33.0,32.65,32.15,32.65,617900
15,2021-07-01,32.75,33.17,32.17,31.56,32.17,469600
16,2021-07-02,31.81,32.1,31.21,30.3,31.21,509400
17,2021-07-06,30.66,31.25,30.92,29.9,30.92,615100
18,2021-07-07,31.77,31.88,30.48,30.26,30.48,558600
19,2021-07-08,29.59,30.55,30.29,28.8,30.29,605200
20,2021-07-09,31.41,33.95,33.86,30.97,33.86,1224700
21,2021-07-12,34.0,34.44,32.44,32.31,32.44,600800
22,2021-07-13,32.58,33.08,32.15,31.81,32.15,287500
23,2021-07-14,31.96,32.15,30.34,30.2,30.34,461100
24,2021-07-15,30.18,30.42,28.8,28.57,28.8,885100
25,2021-07-16,29.0,29.4,28.0,28.0,28.0,557100
26,2021-07-19,27.35,27.72,27.53,26.6,27.53,752400
27,2021-07-20,28.1,28.62,28.35,27.41,28.35,553800
28,2021-07-21,28.55,30.31,30.17,28.55,30.17,696100
29,2021-07-22,30.0,30.14,28.6,28.41,28.6,523900
30,2021-07-23,28.1,28.36,27.9,26.69,27.9,535600
31,2021-07-26,26.74,27.86,26.65,26.07,26.65,794000
32,2021-07-27,25.16,25.23,23.12,22.38,23.12,2956000
33,2021-07-28,24.77,25.65,25.0,24.2,25.0,1187900
34,2021-07-29,25.8,25.91,24.86,24.4,24.86,843700
35,2021-07-30,24.39,25.75,25.6,24.0,25.6,653300
36,2021-08-02,25.62,26.16,26.04,24.88,26.04,599400
37,2021-08-03,26.0,26.32,25.51,25.16,25.51,403600
38,2021-08-04,25.88,26.82,25.35,25.27,25.35,429300
39,2021-08-05,25.55,25.55,24.73,24.52,24.73,537900
40,2021-08-06,24.92,24.92,23.55,23.27,23.55,823700
41,2021-08-09,23.62,24.29,23.96,23.02,23.96,752200
42,2021-08-10,24.38,24.62,23.9,23.32,23.9,479300
43,2021-08-11,24.2,24.38,23.25,22.87,23.25,584400
44,2021-08-12,23.32,23.49,22.49,22.11,22.49,718800
45,2021-08-13,22.49,22.49,21.27,21.08,21.27,1083700
46,2021-08-16,21.79,24.0,22.25,21.51,22.25,2068700
47,2021-08-17,22.24,24.96,24.33,22.11,24.33,2068100
48,2021-08-18,24.37,26.48,26.13,23.77,26.13,1520200
49,2021-08-19,25.46,26.12,25.07,24.8,25.07,1070200
50,2021-08-20,24.95,26.27,24.93,24.67,24.93,807900
51,2021-08-23,25.12,26.02,25.07,24.59,25.07,691500
52,2021-08-24,25.69,27.58,27.07,25.35,27.07,1451300
53,2021-08-25,27.06,27.54,26.26,25.78,26.26,615200
54,2021-08-26,26.2,26.89,26.02,25.74,26.02,506900
55,2021-08-27,26.2,26.51,25.52,25.16,25.52,467800
56,2021-08-30,25.45,25.89,25.88,24.51,25.88,526300
57,2021-08-31,26.11,26.9,26.89,25.32,26.89,659200
58,2021-09-01,27.06,29.38,28.54,26.89,28.54,1132100
59,2021-09-02,28.59,29.23,28.4,28.11,28.4,487500
60,2021-09-03,28.5,29.32,29.15,28.32,29.15,569200
61,2021-09-07,29.5,30.088,29.21,28.861,29.21,1021053
