,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,119.39,119.52,117.12,117.0,117.12,845400
1,2021-06-11,117.68,118.53,117.59,117.23,117.59,656400
2,2021-06-14,117.33,117.76,116.47,115.84,116.47,825900
3,2021-06-15,116.47,118.61,118.18,116.08,118.18,631000
4,2021-06-16,117.72,122.2,118.99,114.65,118.99,2131100
5,2021-06-17,118.46,119.36,112.53,111.81,112.53,1560900
6,2021-06-18,111.02,111.2,109.28,109.0,109.28,1913800
7,2021-06-21,110.65,113.25,113.16,110.03,113.16,700200
8,2021-06-22,112.96,112.96,112.05,111.21,112.05,834500
9,2021-06-23,112.56,112.81,112.25,111.9,112.25,547900
10,2021-06-24,112.39,114.67,114.32,112.21,114.32,675500
11,2021-06-25,114.77,117.06,116.27,114.29,116.27,1261400
12,2021-06-28,115.92,115.99,114.6,113.91,114.6,852800
13,2021-06-29,115.3,116.41,114.93,114.34,114.93,538500
14,2021-06-30,114.77,115.8,115.62,114.29,115.62,593900
15,2021-07-01,116.06,116.68,116.32,115.57,116.32,417900
16,2021-07-02,116.5,116.91,116.73,115.44,116.73,465300
17,2021-07-06,116.52,116.73,114.37,113.59,114.37,858300
18,2021-07-07,113.91,114.39,114.04,112.26,114.04,636700
19,2021-07-08,112.29,112.53,111.58,110.56,111.58,841700
20,2021-07-09,113.3,115.94,115.55,113.25,115.55,790600
21,2021-07-12,115.03,116.85,116.3,114.2,116.3,490300
22,2021-07-13,116.02,116.24,114.8,114.5,114.8,431400
23,2021-07-14,114.99,115.8,113.32,112.58,113.32,871200
24,2021-07-15,112.56,114.91,113.87,111.96,113.87,894200
25,2021-07-16,114.1,114.21,113.15,112.56,113.15,656600
26,2021-07-19,110.95,111.03,107.96,107.24,107.96,1037300
27,2021-07-20,108.27,112.88,111.8,107.67,111.8,990900
28,2021-07-21,113.24,114.68,113.6,111.92,113.6,832300
29,2021-07-22,112.49,113.53,110.83,110.23,110.83,637200
30,2021-07-23,111.78,112.2,111.49,110.37,111.49,604200
31,2021-07-26,111.31,112.72,112.5,111.31,112.5,457200
32,2021-07-27,111.51,113.49,112.22,110.33,112.22,815300
33,2021-07-28,112.95,112.98,111.84,111.16,111.84,625200
34,2021-07-29,112.62,114.5,113.61,111.74,113.61,505800
35,2021-07-30,113.09,113.56,112.85,112.43,112.85,729700
36,2021-08-02,113.78,115.59,111.94,111.88,111.94,560600
37,2021-08-03,112.47,112.81,112.67,109.95,112.67,939200
38,2021-08-04,112.0,112.09,111.19,111.07,111.19,534600
39,2021-08-05,111.48,112.3,112.23,111.41,112.23,571900
40,2021-08-06,113.3,115.82,115.37,113.26,115.37,609200
41,2021-08-09,114.8,115.73,114.96,113.92,114.96,677200
42,2021-08-10,115.0,116.09,115.67,114.26,115.67,968300
43,2021-08-11,116.18,117.53,117.29,115.14,117.29,1005100
44,2021-08-12,117.91,117.93,117.5,116.75,117.5,643400
45,2021-08-13,117.87,117.87,116.37,116.14,116.37,412100
46,2021-08-16,115.54,116.54,116.31,114.57,116.31,422300
47,2021-08-17,115.37,116.13,115.06,114.0,115.06,466600
48,2021-08-18,114.35,116.53,114.41,114.04,114.41,645700
49,2021-08-19,113.18,114.78,113.63,112.64,113.63,602500
50,2021-08-20,113.8,114.71,114.6,113.23,114.6,462600
51,2021-08-23,114.94,116.86,116.28,114.37,116.28,480000
52,2021-08-24,116.55,117.57,117.0,116.51,117.0,458600
53,2021-08-25,117.38,119.98,119.41,116.97,119.41,476100
54,2021-08-26,119.49,120.0,118.78,118.76,118.78,460000
55,2021-08-27,118.84,121.1,121.03,118.84,121.03,783300
56,2021-08-30,121.39,121.74,118.06,118.04,118.06,507100
57,2021-08-31,118.05,118.78,118.52,117.61,118.52,729000
58,2021-09-01,118.28,118.68,116.92,116.15,116.92,724800
59,2021-09-02,117.36,117.95,117.9,116.79,117.9,647300
60,2021-09-03,117.82,118.1,117.35,116.96,117.35,502300
61,2021-09-07,117.51,117.51,115.43,115.37,115.43,570773
