,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,24.82,24.91,24.91,24.82,24.8165,68776
1,2021-06-11,24.9,24.9,24.89,24.88,24.7965,41541
2,2021-06-14,24.88,24.88,24.8351,24.82,24.7419,2753
3,2021-06-15,24.82,24.845,24.84,24.82,24.7467,14433
4,2021-06-16,24.87,24.87,24.76,24.74,24.667,8579
5,2021-06-17,24.809,24.8899,24.8409,24.809,24.7476,13461
6,2021-06-18,24.86,24.9349,24.9349,24.86,24.8413,16651
7,2021-06-21,24.87,24.89,24.85,24.845,24.7567,33145
8,2021-06-22,24.82,24.8838,24.8838,24.82,24.7904,18717
9,2021-06-23,24.86,24.89,24.858,24.858,24.7647,39671
10,2021-06-24,24.9,24.9,24.875,24.87,24.7816,16271
11,2021-06-25,24.84,24.84,24.825,24.8,24.7318,15285
12,2021-06-28,24.89,24.91,24.905,24.885,24.8115,81420
13,2021-06-29,24.9,24.92,24.9142,24.9,24.8207,18952
14,2021-06-30,24.94,24.97,24.935,24.935,24.8414,13626
15,2021-07-01,24.885,24.885,24.865,24.845,24.8197,41564
16,2021-07-02,24.87,24.9114,24.9114,24.87,24.866,11804
17,2021-07-06,24.95,25.03,25.0052,24.95,24.9597,38520
18,2021-07-07,25.034,25.08,25.065,25.034,25.0194,22489
19,2021-07-08,25.1,25.11,25.0997,25.085,25.054,13477
20,2021-07-09,25.005,25.0103,24.99,24.99,24.9445,2950
21,2021-07-12,25.02,25.02,24.9851,24.98,24.9396,9531
22,2021-07-13,24.99,25.015,24.935,24.92,24.8896,5944
23,2021-07-14,24.99,25.02,25.0159,24.99,24.9703,8846
24,2021-07-15,25.05,25.079,25.075,25.015,25.0293,7048
25,2021-07-16,25.025,25.06,25.055,25.025,25.0094,29492
26,2021-07-19,25.19,25.1901,25.1809,25.165,25.135,3914
27,2021-07-20,25.24,25.29,25.155,25.15,25.1092,5157956
28,2021-07-21,25.08,25.09,25.06,25.05,25.0144,38960
29,2021-07-22,25.08,25.125,25.115,25.08,25.0693,11957
30,2021-07-23,25.04,25.1,25.1,25.04,25.0543,6848
31,2021-07-26,25.105,25.11,25.075,25.075,25.0293,13665
32,2021-07-27,25.135,25.14,25.134,25.115,25.0882,27120
33,2021-07-28,25.13,25.19,25.18,25.12,25.1341,54455
34,2021-07-29,25.16,25.165,25.1543,25.14,25.1085,16362
35,2021-07-30,25.175,25.2,25.1825,25.17,25.1366,34868
36,2021-08-02,25.19,25.255,25.21,25.185,25.1829,13976
37,2021-08-03,25.235,25.28,25.235,25.22,25.2079,58085
38,2021-08-04,25.35,25.35,25.235,25.1685,25.2079,29497
39,2021-08-05,25.165,25.18,25.1755,25.16,25.1484,16592
40,2021-08-06,25.08,25.1,25.0404,25.04,25.0135,28520
41,2021-08-09,25.07,25.07,24.99,24.99,24.9631,78031
42,2021-08-10,24.978,25.0347,24.95,24.95,24.9232,7355550
43,2021-08-11,24.949,25.0,24.98,24.93,24.9531,109379
44,2021-08-12,24.97,24.996,24.99,24.965,24.9631,32897
45,2021-08-13,25.03,25.09,25.09,25.03,25.063,40788
46,2021-08-16,25.14,25.14,25.105,25.1,25.078,17023
47,2021-08-17,25.07,25.11,25.08,25.07,25.053,34132
48,2021-08-18,25.06,25.08,25.06,25.0313,25.033,29417
49,2021-08-19,25.1,25.12,25.11,25.0801,25.083,43230
50,2021-08-20,25.12,25.13,25.1,25.09,25.073,35720
51,2021-08-23,25.09,25.12,25.12,25.09,25.093,42951
52,2021-08-24,25.1,25.11,25.08,25.075,25.053,26985
53,2021-08-25,25.085,25.085,25.0243,25.01,24.9974,25889
54,2021-08-26,25.02,25.04,25.035,25.011,25.0081,31254
55,2021-08-27,25.03,25.105,25.1028,25.03,25.0758,133591
56,2021-08-30,25.095,25.14,25.14,25.095,25.113,29600
57,2021-08-31,25.14,25.141,25.105,25.09,25.078,28800
58,2021-09-01,25.1,25.1,25.06,25.054,25.06,17900
59,2021-09-02,25.084,25.12,25.11,25.081,25.11,45600
60,2021-09-03,25.05,25.075,25.075,25.05,25.075,27500
61,2021-09-07,25.02,25.02,25.0,24.99,25.0,36754
