,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,16.28,16.28,16.17,16.08,16.0536,7951
1,2021-06-11,16.17,16.245,16.2,16.17,16.0833,3352
2,2021-06-14,16.27,16.3,16.13,16.13,16.0535,9611
3,2021-06-15,16.18,16.18,16.18,16.18,16.1032,680
4,2021-06-16,16.22,16.51,16.31,16.2,16.2326,11888
5,2021-06-17,16.36,16.36,16.33,16.2467,16.2525,4324
6,2021-06-18,16.41,16.41,16.35,16.22,16.2724,2689
7,2021-06-21,16.45,16.45,16.36,16.332,16.2824,771
8,2021-06-22,16.53,16.53,16.44,16.44,16.362,1359
9,2021-06-23,16.44,16.5,16.5,16.29,16.4217,3549
10,2021-06-24,16.52,16.53,16.504,16.504,16.4257,2285
11,2021-06-25,16.45,16.63,16.63,16.45,16.5511,5024
12,2021-06-28,16.52,16.9699,16.81,16.45,16.7303,12707
13,2021-06-29,16.81,16.98,16.89,16.81,16.8099,1979
14,2021-06-30,16.75,17.24,16.86,16.6,16.78,853
15,2021-07-01,17.25,17.3,17.3,16.3,17.2179,37679
16,2021-07-02,16.94,17.2994,17.1095,16.68,17.0283,3547
17,2021-07-06,17.09,17.09,17.09,17.09,17.0089,189
18,2021-07-07,17.1,17.15,17.15,16.955,17.0686,1997
19,2021-07-08,17.04,17.2245,17.22,17.04,17.1383,3807
20,2021-07-09,17.12,17.48,17.2517,17.0579,17.1699,3367
21,2021-07-12,17.23,17.23,17.09,17.03,17.0089,4521
22,2021-07-13,17.0,17.36,17.04,16.97,16.9592,5565
23,2021-07-14,16.75,17.05,16.78,16.75,16.7397,7649
24,2021-07-15,16.84,16.84,16.46,16.46,16.4205,7219
25,2021-07-16,16.5,16.5,16.33,16.31,16.2908,5742
26,2021-07-19,16.41,16.5563,16.25,16.17,16.211,7232
27,2021-07-20,16.25,16.3,16.29,16.14,16.2509,14342
28,2021-07-21,16.25,16.364,16.3,16.25,16.2608,6235
29,2021-07-22,16.25,16.38,16.22,16.22,16.181,11137
30,2021-07-23,16.35,16.35,16.29,16.16,16.2509,11271
31,2021-07-26,16.27,16.3497,16.25,16.17,16.211,2421
32,2021-07-27,16.36,16.36,16.19,16.19,16.1511,3348
33,2021-07-28,16.18,16.35,16.35,16.18,16.3107,3986
34,2021-07-29,16.34,16.41,16.26,16.25,16.2209,9741
35,2021-07-30,16.28,16.28,16.22,16.21,16.181,3735
36,2021-08-02,16.32,16.32,16.29,16.23,16.2509,9394
37,2021-08-03,16.27,16.4299,16.41,16.27,16.3706,5558
38,2021-08-04,16.37,16.4038,16.38,16.3,16.3406,3394
39,2021-08-05,16.48,16.69,16.51,16.28,16.4703,25180
40,2021-08-06,16.49,16.51,16.51,16.49,16.4703,1878
41,2021-08-09,16.5,16.5,16.49,16.45,16.4504,2332
42,2021-08-10,16.4,16.63,16.5889,16.4,16.549,13260
43,2021-08-11,16.63,16.67,16.65,16.515,16.61,8019
44,2021-08-12,16.62,16.67,16.65,16.5556,16.65,6304
45,2021-08-13,16.65,16.7,16.44,16.39,16.44,9087
46,2021-08-16,16.52,16.65,16.65,16.52,16.65,874
47,2021-08-17,16.65,16.83,16.83,16.65,16.83,1379
48,2021-08-18,16.8,17.0,16.72,16.72,16.72,5422
49,2021-08-19,16.85,16.95,16.42,16.32,16.42,24787
50,2021-08-20,16.52,16.67,16.575,16.52,16.575,3404
51,2021-08-23,16.65,16.65,16.46,16.46,16.46,1500
52,2021-08-24,16.46,16.47,16.44,16.3412,16.44,12489
53,2021-08-25,16.44,16.6064,16.5,16.44,16.5,5470
54,2021-08-26,16.52,16.58,16.53,16.5,16.53,1932
55,2021-08-27,16.45,16.45,16.45,16.36,16.45,4200
56,2021-08-30,16.39,16.46,16.38,16.34,16.38,8400
57,2021-08-31,16.35,16.5,16.48,16.34,16.48,8300
58,2021-09-01,16.7,16.7,16.46,16.41,16.46,8900
59,2021-09-02,16.42,16.5536,16.5308,16.42,16.5308,6234
60,2021-09-03,16.53,16.53,16.36,16.35,16.36,4532
61,2021-09-07,16.45,16.45,16.27,16.19,16.27,6789
