,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,198.0,202.66,201.05,197.7,200.4877,2371541
1,2021-06-11,201.01,202.4139,201.13,199.43,200.5675,1811078
2,2021-06-14,201.55,204.47,203.57,199.08,203.57,2099760
3,2021-06-15,202.79,204.9645,202.99,201.86,202.99,2071361
4,2021-06-16,204.0,204.44,200.26,197.41,200.26,2017800
5,2021-06-17,199.77,201.18,198.43,195.29,198.43,1781262
6,2021-06-18,195.62,197.02,193.1,192.71,193.1,4796644
7,2021-06-21,194.35,198.68,198.46,193.492,198.46,2312304
8,2021-06-22,197.71,198.71,197.4,195.72,197.4,1645993
9,2021-06-23,196.0941,199.87,199.15,195.9363,199.15,1672159
10,2021-06-24,200.99,205.11,203.83,200.39,203.83,2570373
11,2021-06-25,204.47,206.4,204.17,202.44,204.17,13139830
12,2021-06-28,205.85,206.77,206.18,203.46,206.18,1931315
13,2021-06-29,205.68,207.95,207.7,204.91,207.7,1802303
14,2021-06-30,207.58,207.67,205.72,203.63,205.72,2168235
15,2021-07-01,205.54,205.71,201.86,201.27,201.86,1551643
16,2021-07-02,203.19,203.94,202.73,200.94,202.73,1197251
17,2021-07-06,202.73,203.92,201.74,199.85,201.74,2135924
18,2021-07-07,203.0,203.47,198.35,197.785,198.35,2079248
19,2021-07-08,194.22,197.13,195.99,191.75,195.99,1930507
20,2021-07-09,196.1,201.25,200.35,194.805,200.35,1384639
21,2021-07-12,202.4,204.49,204.41,200.72,204.41,2090411
22,2021-07-13,203.71,204.83,204.0,202.885,204.0,1708456
23,2021-07-14,206.56,208.75,203.55,202.56,203.55,1612932
24,2021-07-15,197.25,199.565,194.41,192.81,194.41,3958025
25,2021-07-16,195.39,197.27,190.11,189.54,190.11,2342466
26,2021-07-19,187.56,189.37,188.62,184.92,188.62,2592730
27,2021-07-20,189.09,195.02,193.31,187.84,193.31,1797142
28,2021-07-21,193.0,198.68,198.62,193.0,198.62,1890946
29,2021-07-22,196.84,196.84,194.31,192.25,194.31,1926367
30,2021-07-23,195.69,196.94,196.35,193.79,196.35,1933382
31,2021-07-26,196.0,198.72,198.16,195.73,198.16,1535792
32,2021-07-27,196.53,197.0,194.25,190.65,194.25,2024750
33,2021-07-28,195.16,200.1,198.58,195.16,198.58,1752904
34,2021-07-29,201.765,204.825,204.27,201.02,204.27,1671267
35,2021-07-30,202.34,206.67,206.39,202.02,206.39,1635734
36,2021-08-02,210.195,215.89,208.98,208.56,208.98,3383940
37,2021-08-03,210.1,210.99,210.53,203.04,210.53,2082363
38,2021-08-04,211.13,214.34,212.43,209.64,212.43,1818050
39,2021-08-05,213.32,214.88,212.9,211.11,212.9,1778006
40,2021-08-06,211.69,214.32,213.75,211.69,213.75,1259830
41,2021-08-09,215.12,218.16,217.11,212.92,217.11,2147325
42,2021-08-10,216.71,218.03,217.26,214.19,217.26,1564729
43,2021-08-11,217.67,218.84,218.42,214.01,218.42,1475465
44,2021-08-12,216.45,217.23,214.53,213.38,214.53,2399837
45,2021-08-13,214.14,216.82,215.26,213.515,215.26,1421455
46,2021-08-16,212.98,214.6,213.18,211.98,213.18,1543381
47,2021-08-17,211.28,211.77,206.5,204.6,206.5,2280923
48,2021-08-18,206.5,208.07,203.82,203.6,203.82,1536738
49,2021-08-19,200.75,203.42,203.02,199.61,203.02,2372224
50,2021-08-20,202.7,205.23,205.0,202.35,205.0,1325109
51,2021-08-23,206.34,211.31,210.63,206.34,210.63,1739100
52,2021-08-24,212.28,215.06,214.52,211.83,214.52,1688100
53,2021-08-25,216.0,219.08,217.79,215.29,217.79,1909100
54,2021-08-26,217.24,223.38,222.24,215.63,222.24,2331200
55,2021-08-27,222.77,226.88,226.51,221.99,226.51,1746200
56,2021-08-30,227.34,228.72,227.64,225.55,227.64,1150600
57,2021-08-31,222.25,222.25,215.13,209.8,215.13,5156700
58,2021-09-01,215.45,215.86,211.5,211.45,211.5,2551900
59,2021-09-02,212.92,213.23,211.91,210.71,211.91,1856200
60,2021-09-03,213.09,215.38,212.99,212.3,212.99,1813700
61,2021-09-07,213.45,213.47,212.86,211.36,212.86,1822880
