Date,Open,High,Low,Close,AdjustedClose,Volume
2006-09-20,27.25,28.125,26,26,26,217500
2006-09-21,25.875,25.875,24,24.35,24.35,2354000
2006-09-22,24.25,25,24,24,24,131700
2006-09-25,23.5,24.35,23.5,24.05,24.05,53450
2006-09-26,24.25,24.25,23.5,23.5,23.5,123600
2006-09-27,23,24,23,23.75,23.75,52000
2006-09-28,24.25,25.5,24.25,25.5,25.5,62920
2006-09-29,25.5,26.25,25.5,26.25,26.25,62900
2006-10-02,26,26.5,26,26,26,26860
2006-10-03,26.5,27,26.5,27,27,17700
2006-10-04,27,27,26.5,26.5,26.5,77400
2006-10-05,26.6,26.6,26.25,26.5,26.5,124950
2006-10-06,26.5,26.75,26.5,26.55,26.55,102545
2006-10-09,26.75,26.75,26.75,26.75,26.75,220
2006-10-10,27.25,28,27.25,28,28,126300
2006-10-11,28,29.5,27.25,29,29,44850
2006-10-12,29,29,29,29,29,9650
2006-10-13,29,29,29,29,29,3300
2006-10-16,29,29,29,29,29,200
2006-10-17,28.75,28.75,28.48,28.48,28.48,77040
2006-10-18,28.75,29,28.75,29,29,166000
2006-10-19,29,29,29,29,29,800
2006-10-20,28.55,28.58,28.5,28.5,28.5,95000
2006-10-23,29,29,28.5,28.75,28.75,20100
2006-10-24,28.5,28.5,27.25,28.15,28.15,17500
2006-10-25,28.15,28.15,27.6,27.6,27.6,33500
2006-10-26,27.85,28.24,27.75,28,28,34800
2006-10-27,28.15,28.2,28,28,28,14900
2006-10-30,28.1,28.42,27.95,28.15,28.15,66800
2006-10-31,28.1,28.25,27.95,28.05,28.05,157300
2006-11-01,28.3,28.65,27.6,27.6,27.6,178100
2006-11-02,27.55,27.55,26.38,26.38,26.38,289400
2006-11-03,26.2,26.4,25.97,25.98,25.98,195300
2006-11-06,26.1,26.3,25.6,26.1,26.1,231900
2006-11-07,25.95,27.5,25.91,27.2,27.2,179700
2006-11-08,27.45,27.89,27.1,27.89,27.89,431700
2006-11-09,28.75,29,28.25,28.5,28.5,635600
2006-11-10,29,29.3,28.4,28.49,28.49,545400
2006-11-13,28.5,28.72,28.26,28.27,28.27,486300
2006-11-14,28.25,28.26,27.97,28.1,28.1,188000
2006-11-15,28.1,28.25,28.01,28.25,28.25,317900
2006-11-16,28.45,29.57,28.45,29.24,29.24,1090700
2006-11-17,29.24,29.44,28.75,29.19,29.19,898700
2006-11-20,29.16,29.75,29.16,29.5,29.5,375700
2006-11-21,29.45,29.75,29.4,29.7,29.7,320100
2006-11-22,29.95,30.3,29.95,30.12,30.12,307300
2006-11-24,30.15,30.59,30.05,30.48,30.48,96300
2006-11-27,30.48,30.48,29.4,29.75,29.75,566800
2006-11-28,29.95,30.05,29.704,30,30,206400
2006-11-29,30.15,30.35,30,30.25,30.25,366800
2006-11-30,30.2,31.1,30.04,31,31,730600
2006-12-01,31.4,31.47,30.88,31.25,31.25,447500
2006-12-04,31.5,31.6,31.26,31.59,31.59,446000
2006-12-05,31.84,31.85,31.4,31.65,31.65,508100
2006-12-06,31.85,31.85,31.25,31.47,31.47,267400
2006-12-07,31.1,31.37,30.37,30.64,30.64,298900
2006-12-08,30.89,30.89,30.35,30.45,30.45,209000
2006-12-11,31,31,30.58,30.58,30.58,167000
2006-12-12,30.8,30.8,30.09,30.47,30.47,137500
2006-12-13,31,31,30.37,30.39,30.39,179400
2006-12-14,30.55,30.59,30.05,30.4,30.4,89200
2006-12-15,30.5,30.5,29.85,29.99,29.99,150300
2006-12-18,30.24,30.3,29.77,29.82,29.82,165400
2006-12-19,29.76,29.94,29.05,29.6,29.6,115800
2006-12-20,29.55,29.65,29.36,29.5,29.5,244600
2006-12-21,29.4,29.57,29.3,29.45,29.45,105000
2006-12-22,29.55,29.56,29.21,29.37,29.37,25900
2006-12-26,29.32,29.54,29.3048,29.52,29.52,34900
2006-12-27,29.5,29.7,29.26,29.69,29.69,75400
2006-12-28,29.65,30,29.4,29.97,29.97,113300
2006-12-29,29.97,30.15,29.76,29.9,29.9,189300
2007-01-03,30,30.4399,29.09,29.09,29.09,232000
2007-01-04,28.55,28.62,28.1,28.12,28.12,273100
2007-01-05,28.12,28.15,27,27.32,27.32,507000
2007-01-08,27.32,27.53,27.02,27.15,27.15,76300
2007-01-09,27.1,27.4,26.8,26.9999,26.9999,258500
2007-01-10,26.97,27.3,26.91,26.95,26.95,303100
2007-01-11,26.96,27.37,26.96,27.11,27.11,208500
2007-01-12,27.22,27.56,27.14,27.39,27.39,323900
2007-01-16,27.45,27.8,27.39,27.5,27.5,327400
2007-01-17,27.54,28.37,27.42,28.27,28.27,651100
2007-01-18,28.27,28.45,28.05,28.33,28.33,122200
2007-01-19,28.23,28.62,28.23,28.54,28.54,124600
2007-01-22,28.69,28.75,28.42,28.57,28.57,298600
2007-01-23,28.67,29.26,28.49,28.74,28.74,176500
2007-01-24,28.99,29.05,28.8,28.99,28.99,204800
2007-01-25,29.11,29.46,28.9207,29,29,437800
2007-01-26,29.2,29.46,28.62,29.15,29.15,317100
2007-01-29,29.01,29.1796,28.48,28.7,28.7,358200
2007-01-30,28.9,28.9,28.37,28.5,28.5,98100
2007-01-31,28.7,28.79,28.46,28.64,28.64,352200
2007-02-01,28.95,29.01,28.65,28.7,28.7,393200
2007-02-02,28.65,28.96,28.62,28.85,28.85,545100
2007-02-05,28.9,29.07,28.79,28.99,28.99,497600
2007-02-06,29.1,29.51,28.95,29.27,29.27,1595700
2007-02-07,29.43,30.15,29.2,30.02,30.02,2130600
2007-02-08,30.1,30.11,29.7,29.77,29.77,516500
2007-02-09,29.7,30,29.7,29.77,29.77,384800
2007-02-12,29.8,30.15,29.8,30.04,30.04,629150
2007-02-13,30,30.48,29.77,30.03,30.03,542150
2007-02-14,30.03,30.23,29.8,30.1,30.1,370700
2007-02-15,32.05,32.05,30.6,31.8,31.8,2833700
2007-02-16,31.65,31.69,30.85,31.5,31.5,942100
2007-02-20,31.4,31.7,31.3,31.61,31.61,459200
2007-02-21,31.75,33.75,31.31,33.11,33.11,1772400
2007-02-22,32.7,33.11,32,32.45,32.45,735600
2007-02-23,32.42,32.42,31.38,31.79,31.79,443900
2007-02-26,31.77,33.45,31.44,32.89,32.89,1264220
2007-02-27,32.82,32.88,31.93,32.03,32.03,926200
2007-02-28,32,32.34,31.44,32.01,32.01,461700
2007-03-01,31.1,31.98,30.65,31.71,31.71,789900
2007-03-02,31.96,31.96,30.26,30.35,30.35,329000
2007-03-05,30.15,30.2,29.45,29.58,29.58,495700
2007-03-06,26.6,30.1,26.6,30.01,30.01,513700
2007-03-07,29.94,30.27,29.63,29.8,29.8,82800
2007-03-08,29.9,31.58,29.9,31.05,31.05,742400
2007-03-09,31.15,31.49,31.01,31.38,31.38,420400
2007-03-12,31.38,31.53,31.15,31.35,31.35,338600
2007-03-13,31,31.25,30.15,30.25,30.25,592800
2007-03-14,30.25,30.25,28.76,29.79,29.79,790000
2007-03-15,29.75,30.23,29.75,29.9,29.9,249600
2007-03-16,29.9,31.56,29.9,31.15,31.15,1341700
