,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,28.76,28.92,28.72,28.55,28.2822,55058
1,2021-06-11,28.77,29.31,29.26,28.61,28.814,62573
2,2021-06-14,29.43,29.49,29.49,29.14,29.0405,82671
3,2021-06-15,29.4,29.49,29.12,28.7244,28.6761,64987
4,2021-06-16,29.23,29.27,29.1,28.7967,28.6564,69266
5,2021-06-17,29.04,29.11,28.87,28.3001,28.4299,78994
6,2021-06-18,28.18,28.375,27.8,27.6,27.3762,212817
7,2021-06-21,28.11,28.81,28.81,27.82,28.3708,83647
8,2021-06-22,29.02,29.19,29.18,28.54,28.7352,80602
9,2021-06-23,29.13,29.73,29.52,29.0,29.07,110765
10,2021-06-24,29.3,29.3,28.74,28.22,28.74,114035
11,2021-06-25,28.74,28.91,28.86,28.5039,28.86,156516
12,2021-06-28,28.83,28.83,28.46,28.01,28.46,65753
13,2021-06-29,28.41,28.7899,28.47,28.41,28.47,46805
14,2021-06-30,28.52,28.9465,28.39,28.36,28.39,64948
15,2021-07-01,28.77,28.8,28.66,28.37,28.66,66131
16,2021-07-02,28.62,28.7,28.39,28.22,28.39,41866
17,2021-07-06,28.27,28.43,28.4,27.82,28.4,60054
18,2021-07-07,28.28,28.67,28.49,28.09,28.49,44708
19,2021-07-08,28.14,28.71,28.44,27.92,28.44,68101
20,2021-07-09,28.81,29.19,29.15,28.6,29.15,57900
21,2021-07-12,29.31,29.59,29.57,29.1368,29.57,75417
22,2021-07-13,29.62,29.62,29.18,29.11,29.18,54057
23,2021-07-14,29.26,29.514,29.32,29.13,29.32,39100
24,2021-07-15,29.33,29.565,29.49,29.2,29.49,50224
25,2021-07-16,29.79,29.85,29.57,29.5,29.57,65866
26,2021-07-19,29.33,29.565,29.05,28.5093,29.05,85961
27,2021-07-20,29.3,30.4919,30.05,28.97,30.05,93532
28,2021-07-21,30.36,30.7283,30.28,30.22,30.28,39841
29,2021-07-22,30.2,30.2,29.89,29.57,29.89,43191
30,2021-07-23,29.99,30.3267,30.21,29.791,30.21,30682
31,2021-07-26,30.26,30.63,30.62,30.13,30.62,36800
32,2021-07-27,30.75,30.84,30.55,30.3,30.55,39800
33,2021-07-28,30.63,30.66,30.37,29.97,30.37,63600
34,2021-07-29,30.56,30.9,30.56,30.39,30.56,34800
35,2021-07-30,30.52,31.1,30.59,30.48,30.59,49800
36,2021-08-02,30.6,31.1,30.04,30.0,30.04,53200
37,2021-08-03,30.29,30.46,30.46,29.69,30.46,51900
38,2021-08-04,30.15,30.5,30.0,29.84,30.0,46700
39,2021-08-05,30.18,30.82,30.81,30.05,30.81,44600
40,2021-08-06,30.86,31.14,30.77,30.65,30.77,35100
41,2021-08-09,30.69,30.7,30.56,30.33,30.56,36000
42,2021-08-10,30.43,30.69,30.39,30.11,30.39,45200
43,2021-08-11,30.36,30.59,30.55,30.12,30.55,56500
44,2021-08-12,30.73,30.77,30.31,30.09,30.31,51400
45,2021-08-13,30.51,30.92,30.9,30.19,30.9,44700
46,2021-08-16,30.69,30.77,30.42,30.28,30.42,54000
47,2021-08-17,30.42,30.62,30.47,29.87,30.47,32000
48,2021-08-18,30.62,30.73,30.4,30.34,30.4,51200
49,2021-08-19,30.32,30.57,30.56,30.09,30.56,44000
50,2021-08-20,30.44,31.13,30.91,30.23,30.91,80700
51,2021-08-23,30.93,31.16,31.07,30.7695,31.07,34718
52,2021-08-24,31.24,31.62,31.52,30.79,31.52,50583
53,2021-08-25,31.67,32.09,31.38,31.38,31.38,51600
54,2021-08-26,31.5,31.53,31.09,30.99,31.09,57800
55,2021-08-27,31.27,31.61,31.48,31.16,31.48,60900
56,2021-08-30,31.56,31.56,31.3,31.08,31.3,41800
57,2021-08-31,31.38,31.85,31.84,31.35,31.84,66200
58,2021-09-01,31.99,32.2,32.01,31.5,32.01,35800
59,2021-09-02,32.01,32.01,31.95,31.76,31.95,26800
60,2021-09-03,31.78,31.96,31.93,31.55,31.93,22900
61,2021-09-07,31.76,32.08,31.87,31.57,31.87,45575
