Date,Open,High,Low,Close,AdjustedClose,Volume
2004-02-03,15.27,16,12.9,12.9,12.9,65546
2004-02-04,12.9,13.5,12.28,12.44,12.44,9046
2004-02-05,12.9,12.96,12.45,12.64,12.64,3571
2004-02-06,12.9,13.1,12.5,12.7,12.7,2143
2004-02-09,12.7,13,12.6,12.77,12.77,2225
2004-02-10,13.1,13.1,12.56,12.6,12.6,1669
2004-02-11,12.75,12.8,12.3,12.35,12.35,1932
2004-02-12,12.25,12.68,12.1,12.15,12.15,1714
2004-02-13,12.2,12.25,11.8,11.95,11.95,1706
2004-02-17,11.94,11.94,11.6,11.779,11.779,1614
2004-02-18,11.8,11.81,11.47,11.6,11.6,896
2004-02-19,11.47,11.61,10.7,10.8,10.8,2336
2004-02-20,11.02,11.37,10.75,11,11,3092
2004-02-23,11.1,11.1,10.78,10.94,10.94,1478
2004-02-24,10.84,10.91,10.75,10.811,10.811,549
2004-02-25,10.7,11.49,10.65,11.48,11.48,1285
2004-02-26,11.35,11.9,11.25,11.87,11.87,424
2004-02-27,11.75,12,11.31,11.72,11.72,1156
2004-03-01,11.8,11.8,11.16,11.3,11.3,1148
2004-03-02,11.15,12,11.15,11.869,11.869,3550
2004-03-03,11.7,11.99,11.28,11.36,11.36,667
2004-03-04,11.3,11.5,10.84,11.279,11.279,1295
2004-03-05,11.1,11.3,11.07,11.15,11.15,1125
2004-03-08,11.23,11.45,11.13,11.4,11.4,1689
2004-03-09,11.395,11.75,11.19,11.74,11.74,771
2004-03-10,11.5,11.58,10.95,11.09,11.09,1384
2004-03-11,11.22,11.87,11.03,11.45,11.45,582
2004-03-12,11.35,11.49,11.24,11.4,11.4,353
2004-03-15,11.45,11.45,10.96,10.99,10.99,935
2004-03-16,11.36,11.36,9.92,10,10,2379
2004-03-17,10.62,10.62,10.35,10.39,10.39,5197
2004-03-18,10.6,10.65,10.3,10.46,10.46,1126
2004-03-19,10.7,10.7,10.39,10.51,10.51,1123
2004-03-22,10.5,10.5,10.18,10.249,10.249,781
2004-03-23,10.45,10.45,9.9,10.2,10.2,1300
2004-03-24,10.15,10.25,10.04,10.25,10.25,288
2004-03-25,10.251,10.3,10.15,10.17,10.17,946
2004-03-26,10.242,10.25,9.9,9.96,9.96,345
2004-03-29,10.15,10.15,9.67,9.67,9.67,1121
2004-03-30,9.67,10.66,9.57,10.25,10.25,5706
2004-03-31,10.35,10.5,10.1,10.4,10.4,435
2004-04-01,10.3,10.59,10.3,10.55,10.55,757
2004-04-02,10.58,11.07,10.38,10.81,10.81,874
2004-04-05,11,11,10.82,10.91,10.91,539
2004-04-06,11,11,10.35,10.65,10.65,417
2004-04-07,10.71,10.75,10.54,10.65,10.65,186
2004-04-08,10.64,11.05,10.58,10.96,10.96,244
2004-04-12,10.98,11.09,10.88,11.05,11.05,225
2004-04-13,11.06,11.34,10.98,11.14,11.14,556
2004-04-14,10.93,11.25,10.93,11.04,11.04,1026
2004-04-15,11.24,11.26,10.96,10.97,10.97,502
