,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,72.78,73.895,73.61,72.06,73.61,177000
1,2021-06-11,73.5,75.0,74.98,73.09,74.98,229600
2,2021-06-14,75.0,75.61,74.8,74.64,74.8,404800
3,2021-06-15,74.69,75.41,74.26,73.86,74.26,244400
4,2021-06-16,74.2,75.4,73.32,72.84,73.32,511900
5,2021-06-17,72.96,73.96,71.87,71.0,71.87,586300
6,2021-06-18,70.52,70.688,68.57,68.14,68.57,639700
7,2021-06-21,68.62,69.93,69.31,67.58,69.31,497900
8,2021-06-22,68.63,69.95,69.36,68.21,69.36,393500
9,2021-06-23,69.46,70.35,69.51,69.33,69.51,274200
10,2021-06-24,70.35,72.02,71.82,70.15,71.82,202600
11,2021-06-25,72.01,72.77,72.12,71.65,72.12,579100
12,2021-06-28,72.32,73.85,73.57,72.27,73.57,261921
13,2021-06-29,73.48,74.62,73.46,73.09,73.46,185312
14,2021-06-30,73.21,73.56,73.04,72.43,73.04,265711
15,2021-07-01,72.78,73.4,72.0,71.27,72.0,284600
16,2021-07-02,72.67,72.67,71.03,70.56,71.03,212200
17,2021-07-06,71.74,71.74,70.04,68.51,70.04,177600
18,2021-07-07,70.48,70.95,68.68,68.09,68.68,142200
19,2021-07-08,66.65,68.465,67.99,65.07,67.99,212600
20,2021-07-09,68.83,70.14,70.06,67.84,70.06,127500
21,2021-07-12,70.11,71.36,71.24,69.91,71.24,175200
22,2021-07-13,70.91,71.32,70.33,70.02,70.33,177800
23,2021-07-14,70.62,71.74,68.15,67.97,68.15,204100
24,2021-07-15,67.64,67.64,66.1,65.68,66.1,165000
25,2021-07-16,66.95,67.62,63.69,63.64,63.69,167200
26,2021-07-19,62.17,64.97,63.96,62.15,63.96,244000
27,2021-07-20,64.27,65.81,64.9,63.35,64.9,379900
28,2021-07-21,65.54,67.77,67.63,65.54,67.63,240100
29,2021-07-22,67.37,67.953,66.18,65.83,66.18,169500
30,2021-07-23,66.61,67.4,67.2,65.63,67.2,168700
31,2021-07-26,67.66,68.21,66.67,66.13,66.67,159700
32,2021-07-27,65.84,65.84,64.48,62.31,64.48,243000
33,2021-07-28,65.3,67.73,67.04,64.51,67.04,189400
34,2021-07-29,66.94,68.37,68.18,66.28,68.18,130700
35,2021-07-30,67.69,70.389,70.08,67.69,70.08,248400
36,2021-08-02,70.75,72.47,70.52,69.77,70.52,271200
37,2021-08-03,70.9,70.99,70.97,69.34,70.97,458000
38,2021-08-04,70.72,72.5,70.99,70.72,70.99,237100
39,2021-08-05,71.54,73.07,71.12,70.9,71.12,319500
40,2021-08-06,74.37,77.28,77.22,73.02,77.22,1152900
41,2021-08-09,77.54,79.45,78.12,75.59,78.12,536800
42,2021-08-10,78.19,78.36,76.98,76.12,76.98,212200
43,2021-08-11,77.08,78.88,76.07,75.25,76.07,323600
44,2021-08-12,75.8,75.875,72.76,70.93,72.76,465500
45,2021-08-13,72.7,73.24,72.19,71.71,72.19,249900
46,2021-08-16,71.71,72.77,71.54,71.19,71.54,286100
47,2021-08-17,70.5,70.57,67.27,66.74,67.27,348300
48,2021-08-18,67.44,68.87,66.98,66.98,66.98,195800
49,2021-08-19,66.13,67.12,66.22,65.63,66.22,243000
50,2021-08-20,66.45,67.497,65.8,65.0,65.8,199700
51,2021-08-23,66.83,69.0,68.95,66.83,68.95,153600
52,2021-08-24,69.2,70.75,70.0,69.2,70.0,194400
53,2021-08-25,70.03,72.84,72.76,70.03,72.76,295000
54,2021-08-26,72.28,73.93,72.44,71.72,72.44,208200
55,2021-08-27,72.87,76.46,75.87,72.87,75.87,403100
56,2021-08-30,76.54,77.0,75.29,73.765,75.29,183700
57,2021-08-31,75.38,75.57,74.13,73.48,74.13,211300
58,2021-09-01,74.81,75.88,75.12,73.79,75.12,207500
59,2021-09-02,75.86,76.88,76.64,75.07,76.64,202900
60,2021-09-03,76.18,77.92,77.8,76.18,77.8,218200
61,2021-09-07,78.0,79.5,79.29,77.88,79.29,182916
