,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,6.08,6.13,5.86,5.82,5.86,83529
1,2021-06-11,5.89,5.991,5.97,5.86,5.97,57000
2,2021-06-14,6.01,6.49,6.39,5.99,6.39,213500
3,2021-06-15,6.4,6.46,6.19,5.92,6.19,199400
4,2021-06-16,6.17,6.2,6.03,5.95,6.03,72300
5,2021-06-17,5.99,6.091,5.78,5.76,5.78,107300
6,2021-06-18,5.7,5.825,5.58,5.55,5.58,111600
7,2021-06-21,5.63,5.8,5.61,5.61,5.61,60200
8,2021-06-22,5.65,5.74,5.7,5.61,5.7,75400
9,2021-06-23,5.99,6.06,6.06,5.85,6.06,137800
10,2021-06-24,6.1,6.2,6.1,5.92,6.1,66800
11,2021-06-25,6.15,6.16,6.16,5.99,6.16,74100
12,2021-06-28,6.16,6.16,6.06,5.95,6.06,89900
13,2021-06-29,5.97,6.06,5.56,5.51,5.56,164300
14,2021-06-30,5.57,5.8,5.79,5.57,5.79,61800
15,2021-07-01,5.8,5.8,5.65,5.62,5.65,49600
16,2021-07-02,5.64,5.69,5.62,5.56,5.62,67600
17,2021-07-06,5.62,5.65,5.59,5.45,5.59,86100
18,2021-07-07,5.66,5.94,5.89,5.38,5.89,172300
19,2021-07-08,5.64,5.88,5.8,5.44,5.8,117700
20,2021-07-09,5.89,6.08,5.96,5.82,5.96,111900
21,2021-07-12,5.95,6.02,5.91,5.82,5.91,117600
22,2021-07-13,5.88,5.92,5.64,5.61,5.64,71100
23,2021-07-14,5.68,5.702,5.29,5.28,5.29,76700
24,2021-07-15,5.23,5.29,5.06,4.91,5.06,79000
25,2021-07-16,5.11,5.15,5.01,4.97,5.01,77500
26,2021-07-19,4.93,5.164,5.15,4.775,5.15,103700
27,2021-07-20,5.16,5.47,5.42,5.05,5.42,72100
28,2021-07-21,5.42,5.53,5.36,5.34,5.36,57700
29,2021-07-22,5.21,5.429,5.2,5.15,5.2,44000
30,2021-07-23,5.13,5.194,5.15,5.05,5.15,51500
31,2021-07-26,5.21,5.45,5.21,5.15,5.21,54000
32,2021-07-27,5.24,5.24,5.14,5.02,5.14,51000
33,2021-07-28,5.18,5.428,5.42,5.13,5.42,41500
34,2021-07-29,5.45,5.52,5.29,5.21,5.29,50100
35,2021-07-30,5.53,6.189,5.99,5.45,5.99,346600
36,2021-08-02,6.1,6.32,6.28,5.92,6.28,258500
37,2021-08-03,6.31,6.66,6.26,6.08,6.26,241500
38,2021-08-04,6.22,6.3,5.81,5.8,5.81,83800
39,2021-08-05,5.82,6.1,6.05,5.8,6.05,70500
40,2021-08-06,6.16,6.235,5.97,5.91,5.97,67500
41,2021-08-09,6.01,6.45,6.34,5.98,6.34,182400
42,2021-08-10,6.25,6.25,5.75,5.7,5.75,108800
43,2021-08-11,5.76,5.95,5.85,5.76,5.85,64000
44,2021-08-12,5.98,6.03,5.99,5.75,5.99,164700
45,2021-08-13,5.98,5.99,5.61,5.53,5.61,193100
46,2021-08-16,5.57,5.67,5.46,5.37,5.46,167000
47,2021-08-17,5.33,5.593,5.41,5.31,5.41,82300
48,2021-08-18,5.35,5.67,5.4,5.325,5.4,124600
49,2021-08-19,5.32,5.4,5.31,5.22,5.31,97100
50,2021-08-20,5.31,5.463,5.28,5.175,5.28,108600
51,2021-08-23,5.27,5.65,5.55,5.27,5.55,140400
52,2021-08-24,5.56,5.64,5.46,5.431,5.46,77900
53,2021-08-25,5.46,5.67,5.49,5.4,5.49,79700
54,2021-08-26,5.48,5.63,5.48,5.44,5.48,39100
55,2021-08-27,5.5,5.87,5.63,5.5,5.63,256300
56,2021-08-30,5.67,5.73,5.57,5.5,5.57,78600
57,2021-08-31,5.61,5.74,5.66,5.5,5.66,84100
58,2021-09-01,5.71,5.95,5.89,5.66,5.89,129100
59,2021-09-02,5.88,6.0,5.89,5.81,5.89,122900
60,2021-09-03,5.92,6.24,5.96,5.86,5.96,304100
61,2021-09-07,6.0,6.1727,6.08,5.99,6.08,173598
