,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,81.05,81.56,80.42,79.79,80.2067,1753200
1,2021-06-11,80.85,80.99,80.54,79.7,80.3264,1527800
2,2021-06-14,80.57,80.8,80.8,80.13,80.5857,1232700
3,2021-06-15,80.97,81.27,80.99,80.423,80.7752,1341500
4,2021-06-16,81.01,81.31,80.63,80.29,80.4162,2578100
5,2021-06-17,80.92,81.19,80.47,79.445,80.2566,3734700
6,2021-06-18,79.76,80.17,79.5,78.925,79.2892,4490800
7,2021-06-21,80.09,81.1,81.04,79.67,80.8251,2582700
8,2021-06-22,81.04,81.81,81.37,80.75,81.1542,1757800
9,2021-06-23,81.64,81.66,80.82,80.74,80.6057,1276400
10,2021-06-24,80.89,81.7,81.37,80.69,81.1542,1679100
11,2021-06-25,81.51,81.91,81.65,81.28,81.4335,2532100
12,2021-06-28,81.6,81.75,81.66,80.74,81.4434,1940000
13,2021-06-29,81.69,82.47,82.08,81.58,81.8623,1844000
14,2021-06-30,81.85,82.41,81.77,81.23,81.5531,1981700
15,2021-07-01,82.19,82.39,82.08,81.7,81.8623,1576100
16,2021-07-02,82.19,82.94,82.66,81.85,82.4408,1113100
17,2021-07-06,82.27,82.57,82.25,81.7,82.0319,1570300
18,2021-07-07,82.86,84.65,84.08,82.32,83.857,1645300
19,2021-07-08,82.92,83.93,83.09,82.46,82.8696,1478100
20,2021-07-09,83.84,84.01,83.82,83.23,83.5977,1073300
21,2021-07-12,83.47,83.89,83.82,83.24,83.5977,1506700
22,2021-07-13,84.01,84.39,83.53,83.3,83.3085,1683000
23,2021-07-14,83.4,84.982,84.78,83.4,84.5552,1772100
24,2021-07-15,84.5,85.42,85.23,84.5,85.004,1769100
25,2021-07-16,85.07,85.55,84.92,84.87,84.6948,1654800
26,2021-07-19,84.31,84.41,84.06,83.02,83.8371,2534100
27,2021-07-20,84.45,86.29,86.1,84.14,85.8717,1839200
28,2021-07-21,86.25,86.91,86.81,86.148,86.5798,1447700
29,2021-07-22,87.0,87.65,87.33,86.62,87.0984,2123200
30,2021-07-23,88.08,88.818,88.52,87.65,88.2852,1648700
31,2021-07-26,89.94,90.2,89.06,86.85,88.8238,3098600
32,2021-07-27,89.025,89.156,88.22,87.52,87.986,1701900
33,2021-07-28,88.02,88.44,87.93,87.27,87.6968,1670200
34,2021-07-29,88.35,88.94,88.87,87.87,88.6343,2009900
35,2021-07-30,88.84,89.79,89.55,88.69,89.3125,1545200
36,2021-08-02,89.68,90.67,89.93,89.68,89.6915,1441000
37,2021-08-03,90.11,91.82,91.28,90.1,91.0379,1683700
38,2021-08-04,91.0,91.67,90.8,90.57,90.5592,1214800
39,2021-08-05,91.15,91.41,90.73,90.03,90.4894,1547000
40,2021-08-06,91.03,91.32,90.14,89.96,89.901,1938600
41,2021-08-09,89.82,90.06,89.73,88.94,89.492,1867200
42,2021-08-10,89.89,90.56,89.87,89.39,89.6317,1269500
43,2021-08-11,89.91,90.54,90.43,89.81,90.1902,1539600
44,2021-08-12,90.43,90.43,90.2,89.56,89.9608,1344100
45,2021-08-13,90.26,91.03,90.66,90.1,90.4196,2823400
46,2021-08-16,90.75,92.1,91.9,90.46,91.6563,2660100
47,2021-08-17,91.43,91.75,90.74,90.17,90.4994,1821700
48,2021-08-18,90.47,91.72,90.5,90.3,90.26,2377400
49,2021-08-19,89.57,90.89,90.2,89.31,90.2,1343500
50,2021-08-20,89.83,90.41,90.02,89.47,90.02,3226900
51,2021-08-23,90.54,90.99,89.92,89.86,89.92,2037500
52,2021-08-24,89.86,90.76,90.37,89.655,90.37,2585500
53,2021-08-25,90.77,91.47,91.13,90.62,91.13,2034500
54,2021-08-26,90.92,92.0,91.81,90.91,91.81,1527800
55,2021-08-27,92.11,92.679,92.01,91.76,92.01,1195500
56,2021-08-30,92.01,92.84,92.37,91.775,92.37,867900
57,2021-08-31,92.37,92.645,92.22,91.86,92.22,2124700
58,2021-09-01,92.19,92.2,91.5,90.955,91.5,1711600
59,2021-09-02,91.9,92.46,92.06,91.65,92.06,1547000
60,2021-09-03,91.89,92.455,91.82,91.58,91.82,1313400
61,2021-09-07,91.57,91.57,89.38,89.26,89.38,2055590
