,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,24.92,25.06,24.14,24.11,24.0427,1446600
1,2021-06-11,24.29,24.74,24.72,24.28,24.6204,901200
2,2021-06-14,24.91,24.97,24.42,24.39,24.3216,909100
3,2021-06-15,24.13,24.5,24.29,23.93,24.1921,914700
4,2021-06-16,24.27,24.69,24.36,24.05,24.2618,1837600
5,2021-06-17,24.14,24.55,23.89,23.87,23.7937,1014700
6,2021-06-18,23.54,23.95,23.58,23.4,23.485,2859900
7,2021-06-21,23.83,24.19,24.03,23.51,23.9331,1362100
8,2021-06-22,24.0,24.01,23.85,23.54,23.7539,1015100
9,2021-06-23,24.01,24.16,23.7,23.69,23.6045,1086800
10,2021-06-24,23.81,24.0,23.72,23.55,23.6244,2319700
11,2021-06-25,23.72,25.07,24.58,23.72,24.4809,18940900
12,2021-06-28,24.48,24.5,23.6,23.27,23.5049,2273700
13,2021-06-29,23.61,23.88,23.79,23.46,23.6941,1155900
14,2021-06-30,23.71,24.1,24.03,23.56,23.9331,930000
15,2021-07-01,24.1,24.32,24.22,23.95,24.1224,1538000
16,2021-07-02,24.37,24.42,24.4,24.21,24.3017,625200
17,2021-07-06,24.41,24.7,24.63,24.02,24.5307,1522800
18,2021-07-07,24.62,24.78,24.38,24.13,24.2817,1154400
19,2021-07-08,23.97,24.33,23.72,23.42,23.6244,1616500
20,2021-07-09,23.92,24.66,24.6,23.84,24.5008,841600
21,2021-07-12,24.37,25.04,25.03,24.22,24.9291,1886600
22,2021-07-13,24.89,24.98,24.04,23.99,23.9431,1261000
23,2021-07-14,24.02,24.3,23.51,23.34,23.4152,1778400
24,2021-07-15,23.38,23.56,23.35,23.19,23.2559,1451800
25,2021-07-16,23.58,23.67,22.51,22.48,22.4193,1476100
26,2021-07-19,22.01,22.23,21.6,20.76,21.5129,3173200
27,2021-07-20,21.62,22.63,22.46,21.55,22.3695,1377600
28,2021-07-21,22.63,23.86,23.46,22.52,23.3654,1849700
29,2021-07-22,23.1,23.35,23.02,22.66,22.9272,817900
30,2021-07-23,23.2,24.21,23.26,22.97,23.1662,845200
31,2021-07-26,23.49,23.75,23.72,23.39,23.6244,1367800
32,2021-07-27,23.55,23.84,23.61,23.38,23.5148,815200
33,2021-07-28,23.88,23.99,23.64,23.36,23.5447,843400
34,2021-07-29,23.77,24.41,24.13,23.77,24.0327,965000
35,2021-07-30,23.97,24.36,23.89,23.78,23.7937,1577800
36,2021-08-02,24.03,24.55,23.5,23.43,23.4053,1858400
37,2021-08-03,23.46,23.49,23.19,22.66,23.0965,1490200
38,2021-08-04,23.0,23.31,23.03,22.82,22.9372,1225800
39,2021-08-05,23.37,24.44,24.0,23.37,23.9033,1789800
40,2021-08-06,25.0,26.14,24.96,24.47,24.8594,2942700
41,2021-08-09,24.56,24.9,24.44,24.09,24.3415,1224400
42,2021-08-10,24.47,24.82,24.49,24.13,24.3913,1477900
43,2021-08-11,24.48,25.0,24.94,24.15,24.8395,1025400
44,2021-08-12,25.08,25.18,24.92,24.74,24.8196,1142500
45,2021-08-13,25.04,25.27,24.87,24.55,24.7698,1057600
46,2021-08-16,24.77,24.82,24.54,24.33,24.4411,1150100
47,2021-08-17,24.17,24.35,24.33,23.88,24.2319,1158700
48,2021-08-18,24.25,24.34,23.81,23.8,23.714,739400
49,2021-08-19,23.38,23.75,23.25,23.0,23.1563,896400
50,2021-08-20,23.2,23.59,23.57,22.76,23.475,1273000
51,2021-08-23,23.69,24.09,23.68,23.58,23.5846,715000
52,2021-08-24,23.69,23.94,23.93,23.64,23.8335,831400
53,2021-08-25,23.93,24.65,24.51,23.82,24.4112,589000
54,2021-08-26,24.52,24.7,24.49,24.34,24.3913,700400
55,2021-08-27,24.51,25.2,25.04,24.51,24.9391,622200
56,2021-08-30,25.21,25.21,24.91,24.68,24.8096,556500
57,2021-08-31,24.8,24.94,24.76,24.65,24.6602,692900
58,2021-09-01,24.9,25.1,24.81,24.62,24.71,925200
59,2021-09-02,24.83,24.99,24.78,24.52,24.78,934700
60,2021-09-03,24.69,24.7,24.49,24.13,24.49,541400
61,2021-09-07,24.27,24.51,24.24,24.09,24.24,603879
