,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,26.17,26.198,26.175,26.16,25.9368,1800
1,2021-06-11,26.14,26.229,26.191,26.14,25.9526,4900
2,2021-06-14,26.12,26.17,26.14,26.08,25.9021,16900
3,2021-06-15,26.17,26.17,26.14,26.08,25.9021,3000
4,2021-06-16,26.165,26.165,26.056,26.02,25.8189,10700
5,2021-06-17,26.06,26.18,26.158,26.06,25.9199,10800
6,2021-06-18,26.157,26.19,26.154,26.11,25.916,43700
7,2021-06-21,26.19,26.22,26.148,26.11,25.91,35400
8,2021-06-22,26.18,26.23,26.193,26.15,25.9546,32300
9,2021-06-23,26.156,26.23,26.17,26.13,25.9318,25700
10,2021-06-24,26.17,26.23,26.2,26.16,25.9615,6500
11,2021-06-25,26.21,26.22,26.148,26.146,25.91,11300
12,2021-06-28,26.23,26.26,26.22,26.14,25.9814,15400
13,2021-06-29,26.26,26.27,26.239,26.21,26.0002,10300
14,2021-06-30,26.23,26.33,26.279,26.23,26.0398,55000
15,2021-07-01,26.29,26.32,26.26,26.21,26.021,52600
16,2021-07-02,26.02,26.11,26.08,26.02,26.08,15400
17,2021-07-06,26.17,26.2,26.17,26.14,26.17,4100
18,2021-07-07,26.25,26.25,26.217,26.18,26.217,5000
19,2021-07-08,26.2,26.22,26.195,26.16,26.195,6600
20,2021-07-09,26.18,26.2,26.159,26.12,26.159,7400
21,2021-07-12,26.14,26.188,26.161,26.13,26.161,19900
22,2021-07-13,26.73,26.73,26.11,26.11,26.11,25900
23,2021-07-14,26.19,26.21,26.21,26.13,26.21,10000
24,2021-07-15,26.24,26.25,26.225,26.2,26.225,8700
25,2021-07-16,26.17,26.25,26.2,26.16,26.2,6400
26,2021-07-19,26.22,26.23,26.197,26.17,26.197,15300
27,2021-07-20,26.01,26.35,26.3,26.01,26.3,13200
28,2021-07-21,26.28,26.319,26.274,26.25,26.274,36400
29,2021-07-22,26.3,26.359,26.32,26.26,26.32,7700
30,2021-07-23,26.283,26.33,26.31,26.25,26.31,9500
31,2021-07-26,26.305,26.33,26.29,26.27,26.29,4500
32,2021-07-27,26.36,26.37,26.33,26.28,26.33,7700
33,2021-07-28,26.34,26.35,26.346,26.305,26.346,10700
34,2021-07-29,26.29,26.36,26.329,26.29,26.329,8400
35,2021-07-30,26.4,26.42,26.348,26.32,26.348,13600
36,2021-08-02,26.34,26.44,26.401,26.34,26.401,1800
37,2021-08-03,26.38,26.476,26.46,26.38,26.46,3900
38,2021-08-04,26.5,26.5,26.49,26.376,26.49,33700
39,2021-08-05,26.47,26.47,26.418,26.371,26.418,7700
40,2021-08-06,26.335,26.35,26.314,26.285,26.314,3000
41,2021-08-09,26.37,26.37,26.264,26.25,26.264,5700
42,2021-08-10,26.222,26.67,26.289,26.21,26.289,236800
43,2021-08-11,26.43,26.43,26.291,26.23,26.291,26800
44,2021-08-12,26.22,26.319,26.275,26.22,26.275,9700
45,2021-08-13,26.37,26.4,26.37,26.32,26.37,8000
46,2021-08-16,26.391,26.44,26.41,26.37,26.41,3900
47,2021-08-17,26.384,26.419,26.3,26.3,26.3,15600
48,2021-08-18,26.3,26.38,26.345,26.3,26.345,160300
49,2021-08-19,26.285,26.36,26.355,26.285,26.355,17100
50,2021-08-20,26.34,26.42,26.385,26.34,26.385,4300
51,2021-08-23,26.39,26.45,26.401,26.35,26.401,8000
52,2021-08-24,26.377,26.43,26.388,26.377,26.388,2300
53,2021-08-25,26.29,26.379,26.334,26.281,26.334,11800
54,2021-08-26,26.334,26.38,26.33,26.28,26.33,14600
55,2021-08-27,26.31,26.44,26.415,26.29,26.415,4100
56,2021-08-30,26.36,26.49,26.46,26.36,26.46,5300
57,2021-08-31,26.55,26.55,26.48,26.43,26.48,7100
58,2021-09-01,26.46,26.489,26.44,26.39,26.44,15500
59,2021-09-02,26.455,26.5,26.47,26.39,26.47,15300
60,2021-09-03,26.46,26.47,26.429,26.376,26.429,27600
61,2021-09-07,26.43,26.46,26.39,26.39,26.39,7380
