Date,Open,High,Low,Close,AdjustedClose,Volume
2018-11-06,39.65,40.17,39.65,40.17,40.17,4232
2018-11-07,41.0291,41.0291,40.23,40.74,40.74,16494
2018-11-08,40.55,40.7499,40.55,40.6405,40.6405,8319
2018-11-09,40.46,40.488,40.31,40.488,40.488,4670
2018-11-12,40.01,40.3,39.4,39.4,39.4,19212
2018-11-13,39.44,39.44,39.0401,39.0401,39.0401,27473
2018-11-14,39.35,39.38,38.65,38.81,38.81,6294
2018-11-15,38.36,38.79,38.11,38.79,38.79,5465
2018-11-16,38.61,38.92,38.58,38.92,38.92,7568
2018-11-19,38.92,38.92,38.17,38.32,38.32,5016
2018-11-20,38.38,38.38,37.82,37.99,37.99,7246
2018-11-21,37.98,38.3336,37.98,38.3336,38.3336,2762
2018-11-23,38.23,38.26,38,38.15,38.15,4665
2018-11-26,38.25,38.34,38.04,38.1675,38.1675,5188
2018-11-27,38.19,38.25,38.07,38.15,38.15,23539
2018-11-28,38.29,39.25,38.29,39.25,39.25,7604
2018-11-29,39.17,39.23,39.01,39.23,39.23,5406
2018-11-30,39.26,39.29,39.02,39.29,39.29,1802
2018-12-03,39.83,40.17,39.4696,39.4696,39.4696,2693
2018-12-04,39.65,39.6938,38.72,38.72,38.72,5196
2018-12-06,38.28,38.45,37.91,38.45,38.45,1933
2018-12-07,38.79,38.84,37.87,38.0508,38.0508,5157
2018-12-10,38,38,37.43,37.952,37.952,6151
2018-12-11,38.24,39.47,37.8299,38.1,38.1,11411
2018-12-12,38.34,38.81,38.3,38.6507,38.6507,7384
2018-12-13,38.73,38.73,38.37,38.3948,38.3948,1736
2018-12-14,37.91,38.05,37.6403,37.6403,37.6403,2173
2018-12-17,37.45,37.46,36.7306,36.82,36.82,4387
2018-12-18,36.94,37.0477,36.8,36.8314,36.8314,3095
2018-12-19,36.96,37.16,36.4831,36.4831,36.4831,1128
2018-12-20,36,36,35.4466,35.4466,35.4466,3453
2018-12-21,35.5801,35.7468,34.945,34.98,34.98,5531
2018-12-24,34.87,35.1,33.92,34.2074,34.2074,9008
2018-12-26,34.12,35.33,34.065,35.2937,35.2937,8755
2018-12-27,35.1988,35.71,34.95,35.67,35.67,5430
2018-12-28,36,36.2,35.9742,36.092,36.092,1363
2018-12-31,36.62,36.62,36,36.242,36.242,5064
2019-01-02,36.41,36.41,36.2597,36.4,36.4,13692
2019-01-03,36.3068,36.3068,36.0787,36.0787,36.0787,666
2019-01-04,36.84,37.3203,36.83,37.3203,37.3203,795
2019-01-07,38,38.1723,37.8859,37.9061,37.9061,2639
2019-01-08,38.061,38.43,38,38.1399,38.1399,4758
2019-01-09,38.5573,38.64,38.3523,38.5652,38.5652,5049
2019-01-10,38.35,38.53,38.27,38.53,38.53,6001
2019-01-11,38.06,38.1365,38.04,38.1365,38.1365,1612
2019-01-14,37.88,37.9999,37.83,37.8924,37.8924,2121
2019-01-15,37.92,38.5851,37.92,38.5851,38.5851,6620
2019-01-16,38.82,38.82,38.6094,38.6094,38.6094,2228
2019-01-17,38.9899,39.0191,38.9619,39.0191,39.0191,213
2019-01-18,39.13,39.429,39.13,39.2409,39.2409,2652
2019-01-22,39.06,39.34,38.6891,39,39,8169
2019-01-23,39.2,39.2,38.861,39.0681,39.0681,3277
2019-01-24,39.0679,39.0679,39.0679,39.0679,39.0679,210
2019-01-25,39.22,39.22,39.0496,39.0714,39.0714,710
2019-01-28,38.5786,38.8999,38.5786,38.8883,38.8883,715
2019-01-29,38.32,38.32,38,38.0198,38.0198,1494
2019-01-30,37.92,38.31,37.85,38.2528,38.2528,4400
2019-01-31,38.21,38.6798,38.21,38.6798,38.6798,3261
2019-02-01,38.66,38.66,38.12,38.4049,38.4049,2777
2019-02-04,38.6726,38.8161,38.6726,38.6948,38.6948,1410
2019-02-05,38.2001,38.7501,38.2001,38.7501,38.7501,435
2019-02-06,38.63,38.7655,38.6197,38.6883,38.6883,687
2019-02-07,37.6,37.6,37.2737,37.3393,37.3393,760
2019-02-08,37.25,37.4464,37.25,37.4464,37.4464,19431
2019-02-11,37.62,37.665,37.62,37.665,37.665,973
2019-02-12,37.865,38.0589,37.865,38.0215,38.0215,1063
2019-02-13,38.33,38.33,38.07,38.1543,38.1543,5621
2019-02-14,38.5899,38.6,38.38,38.4,38.4,817
2019-02-15,38.88,39.0871,38.7518,39.0871,39.0871,1106
2019-02-19,39.17,39.7,39.09,39.5931,39.5931,10765
2019-02-20,39.59,39.6843,39.4072,39.4072,39.4072,2841
2019-02-21,39.38,39.3822,39.1,39.1511,39.1511,4707
2019-02-22,39.06,39.3525,39.06,39.3525,39.3525,5605
2019-02-25,39.73,39.7768,39.63,39.6425,39.6425,3207
2019-02-26,39.4,39.43,39.27,39.392,39.392,4108
2019-02-27,39.61,39.61,39.28,39.498,39.498,1590
2019-02-28,39.5501,39.6504,39.51,39.5207,39.5207,7657
2019-03-01,39.86,40.0199,39.85,39.95,39.95,1523
2019-03-04,40.28,40.28,39.33,39.3576,39.3576,3075
2019-03-05,39.3999,39.3999,39.26,39.39,39.39,1689
2019-03-06,38.99,38.99,38.4554,38.4554,38.4554,5483
2019-03-07,38.25,38.25,37.8707,37.8707,37.8707,1019
2019-03-08,37.73,37.73,37.6775,37.697,37.697,587
2019-03-11,37.76,38.182,37.72,38.182,38.182,2854
2019-03-12,38.29,38.58,38.275,38.485,38.485,40411
2019-03-13,38.71,38.9,38.6,38.845,38.845,8777
2019-03-14,38.95,39.06,38.815,39.0327,39.0327,8095
2019-03-15,39.11,39.37,39.08,39.2228,39.2228,6341
2019-03-18,39.39,39.47,39.2014,39.2846,39.2846,7608
2019-03-19,39.6399,39.82,39.566,39.68,39.68,5880
2019-03-20,39.62,40,39.4694,39.7798,39.7798,7001
2019-03-21,39.66,40.54,39.66,40.4458,40.4458,8331
2019-03-22,40.16,40.16,39.328,39.328,39.328,12065
2019-03-25,39.37,39.4321,39,39.4321,39.4321,3134
2019-03-26,39.69,39.8099,39.54,39.6019,39.6019,4239
2019-03-27,39.82,39.82,39.1828,39.57,39.57,4587
2019-03-28,39.71,39.8985,39.65,39.808,39.808,13700
2019-03-29,40.05,40.27,39.95,40.2597,40.2597,3763
2019-04-01,40.43,40.45,40.25,40.3289,40.3289,3414
2019-04-02,40.05,40.3999,40.05,40.3272,40.3272,37479
2019-04-03,40.45,40.45,40.185,40.25,40.25,3657
2019-04-04,40.19,40.19,39.92,40.0098,40.0098,3660
2019-04-05,39.79,40.62,39.79,40.4297,40.4297,4215
2019-04-08,40.25,40.3,39.93,40.2688,40.2688,6120
