,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,3.9,3.93,3.73,3.62,3.73,81300
1,2021-06-11,3.85,3.93,3.9,3.72,3.9,43100
2,2021-06-14,4.0,4.035,3.99,3.86,3.99,37100
3,2021-06-15,4.02,4.02,3.72,3.654,3.72,21000
4,2021-06-16,3.76,3.767,3.7,3.659,3.7,24700
5,2021-06-17,3.74,3.76,3.7,3.67,3.7,32700
6,2021-06-18,3.73,3.75,3.7,3.69,3.7,14400
7,2021-06-21,3.7,3.73,3.58,3.57,3.58,26900
8,2021-06-22,3.61,3.61,3.33,3.18,3.33,85800
9,2021-06-23,3.38,3.68,3.44,3.36,3.44,95700
10,2021-06-24,3.42,3.55,3.55,3.42,3.55,76200
11,2021-06-25,3.51,3.84,3.84,3.495,3.84,56600
12,2021-06-28,3.98,4.274,4.07,3.77,4.07,807500
13,2021-06-29,4.01,4.15,3.82,3.8,3.82,221300
14,2021-06-30,2.97,2.99,2.83,2.7,2.83,2679800
15,2021-07-01,2.85,2.9,2.83,2.8,2.83,372500
16,2021-07-02,2.83,2.87,2.85,2.72,2.85,361000
17,2021-07-06,2.89,2.96,2.96,2.75,2.96,385900
18,2021-07-07,2.92,3.01,2.99,2.72,2.99,657100
19,2021-07-08,2.85,3.0,3.0,2.804,3.0,405300
20,2021-07-09,2.97,2.97,2.84,2.8,2.84,191000
21,2021-07-12,2.85,2.92,2.85,2.7,2.85,208300
22,2021-07-13,2.83,2.85,2.77,2.72,2.77,130900
23,2021-07-14,2.72,2.78,2.69,2.67,2.69,261900
24,2021-07-15,2.68,2.785,2.59,2.55,2.59,186100
25,2021-07-16,2.58,2.59,2.48,2.45,2.48,99500
26,2021-07-19,2.46,2.63,2.58,2.45,2.58,119400
27,2021-07-20,2.55,2.63,2.55,2.46,2.55,42500
28,2021-07-21,2.56,2.66,2.62,2.56,2.62,52400
29,2021-07-22,2.61,2.672,2.65,2.6,2.65,30100
30,2021-07-23,2.62,2.68,2.62,2.58,2.62,159100
31,2021-07-26,2.62,2.635,2.57,2.561,2.57,32000
32,2021-07-27,2.56,2.58,2.55,2.51,2.55,26900
33,2021-07-28,2.58,2.91,2.85,2.516,2.85,326200
34,2021-07-29,2.86,3.35,2.66,2.52,2.66,4055300
35,2021-07-30,2.6,2.73,2.52,2.515,2.52,338100
36,2021-08-02,2.53,2.55,2.45,2.4,2.45,169100
37,2021-08-03,2.46,2.55,2.36,2.35,2.36,110400
38,2021-08-04,2.45,2.45,2.41,2.35,2.41,57400
39,2021-08-05,2.39,2.473,2.46,2.37,2.46,42000
40,2021-08-06,2.44,2.49,2.4,2.385,2.4,64300
41,2021-08-09,2.5,2.51,2.44,2.4,2.44,44500
42,2021-08-10,2.46,2.514,2.45,2.42,2.45,56400
43,2021-08-11,2.49,2.49,2.4,2.35,2.4,61400
44,2021-08-12,2.4,2.45,2.32,2.22,2.32,251600
45,2021-08-13,2.31,2.36,2.35,2.27,2.35,81100
46,2021-08-16,2.31,2.315,2.22,2.21,2.22,59600
47,2021-08-17,2.23,2.295,2.23,2.04,2.23,179900
48,2021-08-18,2.25,2.28,2.26,2.1,2.26,35700
49,2021-08-19,2.23,2.239,2.17,2.15,2.17,33800
50,2021-08-20,2.21,2.23,2.2,2.1,2.2,38100
51,2021-08-23,2.2,2.24,2.2,2.14,2.2,42600
52,2021-08-24,2.21,2.24,2.21,2.165,2.21,97200
53,2021-08-25,2.2,2.42,2.35,2.19,2.35,147400
54,2021-08-26,2.37,2.39,2.38,2.31,2.38,23900
55,2021-08-27,2.38,2.54,2.45,2.31,2.45,118300
56,2021-08-30,2.45,2.47,2.26,2.22,2.26,123200
57,2021-08-31,2.3,2.44,2.27,2.26,2.27,50500
58,2021-09-01,2.27,2.4,2.4,2.27,2.4,50800
59,2021-09-02,2.4,2.45,2.28,2.19,2.28,206300
60,2021-09-03,2.31,2.37,2.31,2.23,2.31,161000
61,2021-09-07,2.35,2.4,2.4,2.3343,2.4,50770
