Date,Open,High,Low,Close,AdjustedClose,Volume
2001-07-27,13.4,15.24,13.4,15.15,15.15,6600100
2001-07-30,15.095,15.27,13.95,14.89,14.89,1006300
2001-07-31,14.75,16.2,14.65,15.83,15.83,468500
2001-08-01,15.66,16.65,15.57,16.62,16.62,263500
2001-08-02,16.75,17.04,15.34,15.85,15.85,332600
2001-08-03,15.36,15.36,14.6,15.11,15.11,115500
2001-08-06,14.9,15.7,14.8,15.06,15.06,81900
2001-08-07,15.19,15.25,14.9,14.95,14.95,385500
2001-08-08,15.04,15.12,14.9,15.05,15.05,247500
2001-08-09,15.02,15.05,14.9,14.95,14.95,84600
2001-08-10,14.96,14.99,14.11,14.2,14.2,320300
2001-08-13,14.35,14.62,14.2,14.61,14.61,28300
2001-08-14,14.61,16.46,14.6,16.15,16.15,82500
2001-08-15,16.1,16.25,15.3,15.35,15.35,210300
2001-08-16,15.3,15.3,14.55,14.55,14.55,19200
2001-08-17,14.55,14.6,13.82,14.14,14.14,113700
2001-08-20,14.01,14.01,13.85,13.95,13.95,106200
2001-08-21,14.04,14.35,14.0015,14.3,14.3,110500
2001-08-22,14.3,14.34,14.1,14.27,14.27,13900
2001-08-23,14.1,17.42,14.03,14.58,14.58,124700
2001-08-24,14.61,15.04,13.9,14.05,14.05,81900
2001-08-27,14,14.55,13.9,14.4,14.4,91000
2001-08-28,14.57,15,13.86,14,14,69400
2001-08-29,14.25,14.25,13.9,14.25,14.25,77700
2001-08-30,14.06,14.347,13.9,14.3,14.3,252200
2001-08-31,14.21,15,14.2,14.4,14.4,23600
2001-09-04,14.5,14.65,14.15,14.1525,14.1525,118500
2001-09-05,14.5,14.6,14.25,14.26,14.26,192600
2001-09-06,14.2,14.4,13.95,14.1,14.1,40500
2001-09-07,13.95,14.15,13.95,13.98,13.98,28000
2001-09-10,13.96,14.35,13.96,14.35,14.35,6500
2001-09-17,14.01,14.11,13.71,13.75,13.75,97700
2001-09-18,13.71,13.85,12.75,12.75,12.75,122600
2001-09-19,12.72,12.75,10.15,11.09,11.09,250000
2001-09-20,11.1,11.66,10.8,11.66,11.66,163700
2001-09-21,11.07,11.25,10.1,10.5,10.5,190100
2001-09-24,10.6,10.94,10.5,10.66,10.66,93000
2001-09-25,10.61,11.05,10.61,10.75,10.75,43600
2001-09-26,10.8,10.86,10.45,10.8,10.8,311900
2001-09-27,10.65,10.66,9.65,9.9,9.9,199100
2001-09-28,9.9,10.3,9.85,10.25,10.25,283600
2001-10-01,10.25,10.25,10,10,10,220600
2001-10-02,9.97,10.3,9.9,10.3,10.3,76800
2001-10-03,10.2,11.45,10.09,11.23,11.23,88200
2001-10-04,11.45,12.45,11.45,12.36,12.36,7400
2001-10-05,11.91,14,11.9,14,14,21900
2001-10-08,13.74,14.2,13.74,14,14,2800
2001-10-09,13.66,14.7,13.21,14.7,14.7,21700
2001-10-10,14.7,15.11,14.57,15.11,15.11,9900
2001-10-11,15.13,15.56,15,15.4,15.4,55200
2001-10-12,15.16,15.46,15,15,15,102700
2001-10-15,14.9,15.05,14.73,14.92,14.92,21900
2001-10-16,15,15.64,15,15.2,15.2,5100
2001-10-17,15.5,17,15.3,16.45,16.45,51000
2001-10-18,15.48,17.2,15.47,17.06,17.06,44000
2001-10-19,16.91,18.6,16.91,18.35,18.35,130800
2001-10-22,18.6,18.8,18.3,18.55,18.55,544600
2001-10-23,18.585,18.75,18.3009,18.4,18.4,88900
2001-10-24,18.45,18.45,17,17,17,163600
2001-10-25,17,17,16.15,16.35,16.35,122400
2001-10-26,16.165,16.6,16.165,16.41,16.41,81700
2001-10-29,16.38,16.84,16.2,16.74,16.74,92400
2001-10-30,16.65,16.8,16.28,16.65,16.65,196200
2001-10-31,16.895,16.9,16.65,16.65,16.65,21600
2001-11-01,16.71,17,15.9,16,16,137100
2001-11-02,15.915,16.1,15.7,15.7,15.7,18800
2001-11-05,15.635,15.8,14.7,15.05,15.05,62300
2001-11-06,15.24,16.02,15.24,15.7,15.7,620000
2001-11-07,15.7,15.9,15.4,15.7,15.7,219900
2001-11-08,15.8,16.1,14.95,14.95,14.95,163600
2001-11-09,14.9,15.6,14.9,15.6,15.6,345100
2001-11-12,15.5,15.9,15.5,15.6,15.6,74800
2001-11-13,15.6,15.85,15.51,15.8,15.8,97500
2001-11-14,15.8,16.2,15.75,15.8,15.8,15800
2001-11-15,15.7,16.4,15.4,16,16,34400
2001-11-16,16.39,16.55,15.99,16.1,16.1,189700
2001-11-19,16.22,17,16.22,16.6,16.6,93100
2001-11-20,16.89,16.896,16.5,16.5,16.5,51400
2001-11-21,16.89,16.95,16.45,16.95,16.95,6400
2001-11-23,16.45,16.9,16.45,16.75,16.75,4900
2001-11-26,16.553,16.77,16.4,16.6,16.6,50000
