,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,23.17,23.2,22.78,22.5,22.78,382200
1,2021-06-11,22.93,23.09,22.99,22.92,22.99,182700
2,2021-06-14,23.02,23.05,22.74,22.49,22.74,263200
3,2021-06-15,22.8,23.0,22.88,22.52,22.88,228300
4,2021-06-16,22.83,22.98,22.75,22.5,22.75,175800
5,2021-06-17,22.64,22.7,22.36,21.84,22.36,233200
6,2021-06-18,22.01,22.31,21.95,21.86,21.95,416100
7,2021-06-21,22.14,22.52,22.38,21.98,22.38,233500
8,2021-06-22,22.31,22.5,22.34,22.06,22.34,257500
9,2021-06-23,22.32,22.4,22.01,22.01,22.01,245800
10,2021-06-24,22.06,22.33,22.18,21.72,22.18,213000
11,2021-06-25,22.22,22.49,22.4,22.07,22.4,1066700
12,2021-06-28,22.39,22.57,22.48,22.17,22.48,397951
13,2021-06-29,22.6,22.9,22.6,22.48,22.6,487146
14,2021-06-30,22.5,23.52,23.23,22.37,23.23,914050
15,2021-07-01,23.33,23.56,23.26,23.15,23.26,323200
16,2021-07-02,23.33,23.33,23.0,22.91,23.0,208300
17,2021-07-06,23.0,23.0,22.5,22.03,22.5,266700
18,2021-07-07,22.41,22.82,22.49,22.31,22.49,346700
19,2021-07-08,22.01,22.2,21.95,21.53,21.95,436500
20,2021-07-09,22.33,23.62,22.89,22.2,22.89,1010900
21,2021-07-12,22.81,22.95,22.94,22.59,22.94,283600
22,2021-07-13,22.77,22.77,22.38,22.24,22.38,253000
23,2021-07-14,22.56,22.77,22.27,22.19,22.27,351100
24,2021-07-15,22.06,22.25,22.2,21.94,22.2,174800
25,2021-07-16,22.44,22.47,21.71,21.68,21.71,142100
26,2021-07-19,21.13,21.39,20.9,20.81,20.9,299600
27,2021-07-20,21.01,21.99,21.65,20.91,21.65,373000
28,2021-07-21,21.87,22.46,22.41,21.83,22.41,236200
29,2021-07-22,22.27,22.29,22.03,21.84,22.03,252900
30,2021-07-23,22.11,22.11,21.97,21.8,21.97,231900
31,2021-07-26,22.1,22.28,21.91,21.88,21.91,249200
32,2021-07-27,21.76,21.98,21.84,21.52,21.84,172700
33,2021-07-28,22.01,22.19,21.85,21.48,21.85,148900
34,2021-07-29,22.14,22.72,22.58,22.08,22.58,171300
35,2021-07-30,22.39,22.94,22.58,22.33,22.58,240900
36,2021-08-02,22.41,22.71,22.04,21.96,22.04,417296
37,2021-08-03,21.99,22.4,22.4,21.48,22.4,367595
38,2021-08-04,22.06,22.4,21.97,21.76,21.97,207700
39,2021-08-05,22.0,22.43,22.37,21.87,22.37,198200
40,2021-08-06,22.6,22.8,22.53,22.31,22.53,148700
41,2021-08-09,22.51,22.51,22.09,22.08,22.09,201400
42,2021-08-10,22.19,22.92,22.91,21.96,22.91,297000
43,2021-08-11,23.02,23.81,23.77,22.83,23.77,201500
44,2021-08-12,22.28,22.84,22.38,21.44,22.38,753200
45,2021-08-13,22.28,22.28,21.62,21.19,21.62,900200
46,2021-08-16,21.42,21.79,21.58,21.05,21.58,470800
47,2021-08-17,21.35,21.36,20.71,20.58,20.71,419400
48,2021-08-18,20.62,21.04,20.55,20.46,20.55,254500
49,2021-08-19,20.25,20.5,20.12,19.67,20.12,360100
50,2021-08-20,20.05,20.55,20.38,19.94,20.38,245200
51,2021-08-23,20.61,20.9,20.85,20.4,20.85,239300
52,2021-08-24,20.85,21.16,20.98,20.69,20.98,164800
53,2021-08-25,20.99,21.38,21.12,20.93,21.12,214300
54,2021-08-26,21.01,21.16,20.7,20.68,20.7,160000
55,2021-08-27,20.82,22.03,21.92,20.82,21.92,425500
56,2021-08-30,22.14,22.14,21.44,21.35,21.44,206500
57,2021-08-31,21.27,21.39,21.23,20.67,21.23,323100
58,2021-09-01,21.36,21.36,21.2,20.86,21.2,117000
59,2021-09-02,21.38,22.15,21.7,21.38,21.7,337800
60,2021-09-03,21.71,21.73,21.33,21.14,21.33,211900
61,2021-09-07,21.22,21.39,20.96,20.94,20.96,181207
