,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,8.46,8.51,8.41,8.39,8.3174,81158
1,2021-06-11,8.45,8.49,8.42,8.41,8.3273,49734
2,2021-06-14,8.45,8.485,8.46,8.45,8.3669,44563
3,2021-06-15,8.48,8.54,8.54,8.47,8.446,53467
4,2021-06-16,8.55,8.58,8.57,8.53,8.4757,88828
5,2021-06-17,8.57,8.61,8.59,8.57,8.4954,50115
6,2021-06-18,8.56,8.63,8.61,8.56,8.5152,31676
7,2021-06-21,8.63,8.74,8.74,8.61,8.6438,48234
8,2021-06-22,8.77,8.92,8.82,8.72,8.7229,87685
9,2021-06-23,8.76,8.8,8.79,8.67,8.7249,42280
10,2021-06-24,8.82,8.84,8.8,8.715,8.7348,99910
11,2021-06-25,8.8,8.87,8.86,8.775,8.7944,56705
12,2021-06-28,8.86,8.9,8.76,8.7172,8.6951,75232
13,2021-06-29,8.77,8.82,8.82,8.71,8.7547,71775
14,2021-06-30,8.85,8.87,8.77,8.77,8.705,58728
15,2021-07-01,8.84,8.875,8.86,8.8101,8.7944,52190
16,2021-07-02,8.84,8.86,8.82,8.76,8.7547,51197
17,2021-07-06,8.82,8.84,8.78,8.7603,8.715,68622
18,2021-07-07,8.8,8.8,8.78,8.76,8.715,53937
19,2021-07-08,8.76,8.7898,8.775,8.76,8.71,22599
20,2021-07-09,8.8,8.8,8.72,8.72,8.6554,54216
21,2021-07-12,8.77,8.77,8.7,8.69,8.6356,46148
22,2021-07-13,8.68,8.72,8.66,8.645,8.5959,62738
23,2021-07-14,8.68,8.69,8.65,8.62,8.5859,54098
24,2021-07-15,8.66,8.68,8.64,8.61,8.576,81570
25,2021-07-16,8.64,8.67,8.6,8.6,8.5363,54878
26,2021-07-19,8.63,8.6455,8.56,8.56,8.4966,38411
27,2021-07-20,8.56,8.6031,8.56,8.55,8.4966,46931
28,2021-07-21,8.57,8.5804,8.56,8.54,8.4966,65387
29,2021-07-22,8.52,8.5422,8.45,8.43,8.4189,51937
30,2021-07-23,8.47,8.49,8.47,8.45,8.4388,32266
31,2021-07-26,8.47,8.53,8.52,8.47,8.4886,43597
32,2021-07-27,8.51,8.528,8.5,8.48,8.4687,40185
33,2021-07-28,8.5,8.56,8.56,8.5,8.5285,27428
34,2021-07-29,8.57,8.62,8.57,8.555,8.5384,56871
35,2021-07-30,8.59,8.63,8.6,8.56,8.5683,20091
36,2021-08-02,8.61,8.68,8.68,8.56,8.648,44944
37,2021-08-03,8.67,8.68,8.64,8.62,8.6082,40448
38,2021-08-04,8.63,8.67,8.63,8.6,8.5982,58885
39,2021-08-05,8.64,8.64,8.59,8.57,8.5584,38247
40,2021-08-06,8.5854,8.6,8.58,8.56,8.5484,33859
41,2021-08-09,8.58,8.69,8.69,8.55,8.658,123157
42,2021-08-10,8.665,8.665,8.6,8.6,8.5683,32966
43,2021-08-11,8.59,8.6362,8.6,8.56,8.5683,58761
44,2021-08-12,8.6,8.65,8.61,8.57,8.5783,74247
45,2021-08-13,8.57,8.6,8.58,8.54,8.5484,110881
46,2021-08-16,8.56,8.5757,8.54,8.53,8.5086,61420
47,2021-08-17,8.55,8.59,8.58,8.53,8.5484,67236
48,2021-08-18,8.57,8.61,8.61,8.56,8.5783,68443
49,2021-08-19,8.61,8.65,8.65,8.58,8.6181,66693
50,2021-08-20,8.65,8.69,8.69,8.65,8.658,32100
51,2021-08-23,8.64,8.64,8.57,8.55,8.57,87600
52,2021-08-24,8.58,8.61,8.6,8.58,8.6,89200
53,2021-08-25,8.6,8.61,8.6,8.59,8.6,17900
54,2021-08-26,8.6,8.6,8.58,8.55,8.58,48000
55,2021-08-27,8.58,8.6,8.6,8.57,8.6,17200
56,2021-08-30,8.58,8.6,8.58,8.58,8.58,20300
57,2021-08-31,8.57,8.6,8.6,8.56,8.6,36700
58,2021-09-01,8.6,8.61,8.6,8.58,8.6,45100
59,2021-09-02,8.6,8.6,8.6,8.56,8.6,51800
60,2021-09-03,8.58,8.61,8.59,8.56,8.59,48300
61,2021-09-07,8.57,8.58,8.54,8.54,8.54,29369
