,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,20.62,20.6383,20.63,20.6148,20.4142,148450
1,2021-06-11,20.6,20.6396,20.61,20.6,20.3944,245031
2,2021-06-14,20.63,20.64,20.64,20.6,20.4241,126715
3,2021-06-15,20.64,20.66,20.66,20.6,20.4439,93045
4,2021-06-16,20.65,20.65,20.59,20.5645,20.3746,65182
5,2021-06-17,20.63,20.63,20.59,20.59,20.3746,93708
6,2021-06-18,20.61,20.63,20.615,20.5701,20.3994,19104
7,2021-06-21,20.62,20.64,20.6155,20.595,20.3999,111219
8,2021-06-22,20.7,20.7,20.645,20.61,20.4291,95501
9,2021-06-23,20.65,20.65,20.645,20.625,20.4291,72529
10,2021-06-24,20.66,20.68,20.67,20.6435,20.4538,151973
11,2021-06-25,20.68,20.68,20.66,20.64,20.4439,64273
12,2021-06-28,20.66,20.69,20.685,20.66,20.4687,228952
13,2021-06-29,20.7,20.71,20.71,20.68,20.4934,78690
14,2021-06-30,20.77,20.77,20.725,20.69,20.5082,117832
15,2021-07-01,20.67,20.67,20.65,20.61,20.5122,76420
16,2021-07-02,20.64,20.69,20.679,20.64,20.541,37349
17,2021-07-06,20.62,20.68,20.66,20.62,20.5221,38095
18,2021-07-07,20.75,21.0,20.7,20.65,20.5618,93923
19,2021-07-08,20.67,20.76,20.69,20.66,20.5519,91205
20,2021-07-09,20.6735,20.7,20.69,20.6601,20.5519,113374
21,2021-07-12,20.68,20.71,20.7,20.68,20.5618,79810
22,2021-07-13,20.77,20.79,20.675,20.6648,20.537,74323
23,2021-07-14,20.77,20.77,20.73,20.69,20.5916,65958
24,2021-07-15,20.73,20.75,20.75,20.7051,20.6115,90808
25,2021-07-16,20.82,20.82,20.739,20.72,20.6006,137624
26,2021-07-19,20.7201,20.75,20.7394,20.71,20.601,37922
27,2021-07-20,20.81,20.81,20.73,20.7282,20.5916,58626
28,2021-07-21,20.725,20.7367,20.73,20.7006,20.5916,90980
29,2021-07-22,20.73,20.77,20.77,20.73,20.6314,124379
30,2021-07-23,20.72,20.76,20.76,20.72,20.6214,21283
31,2021-07-26,20.74,20.775,20.76,20.74,20.6214,79855
32,2021-07-27,20.79,20.86,20.765,20.7525,20.6264,36246
33,2021-07-28,20.74,20.77,20.76,20.74,20.6214,34501
34,2021-07-29,20.75,20.81,20.78,20.75,20.6413,277247
35,2021-07-30,20.75,20.8,20.7897,20.75,20.6509,49482
36,2021-08-02,20.73,20.742,20.712,20.71,20.6454,68556
37,2021-08-03,20.75,20.76,20.76,20.735,20.6932,73182
38,2021-08-04,20.83,20.83,20.755,20.71,20.6882,71323
39,2021-08-05,20.78,20.78,20.77,20.755,20.7032,94729
40,2021-08-06,20.85,20.85,20.77,20.75,20.7032,103620
41,2021-08-09,20.86,20.86,20.77,20.72,20.7032,70959
42,2021-08-10,20.77,20.77,20.75,20.73,20.6832,47907
43,2021-08-11,20.85,20.85,20.76,20.7344,20.6932,48342
44,2021-08-12,20.76,20.76,20.76,20.73,20.6932,79745
45,2021-08-13,20.77,20.93,20.77,20.755,20.7032,77344
46,2021-08-16,20.76,20.79,20.76,20.76,20.6932,55225
47,2021-08-17,20.74,20.78,20.776,20.74,20.7092,63197
48,2021-08-18,20.83,20.83,20.7648,20.75,20.698,157388
49,2021-08-19,20.78,20.7897,20.77,20.74,20.7032,57226
50,2021-08-20,20.78,20.79,20.7882,20.76,20.7213,34603
51,2021-08-23,20.85,20.85,20.8,20.76,20.7331,51985
52,2021-08-24,20.79,20.79,20.75,20.75,20.6832,149753
53,2021-08-25,20.81,20.81,20.77,20.77,20.7032,52875
54,2021-08-26,20.88,20.88,20.8,20.78,20.7331,76430
55,2021-08-27,20.79,20.85,20.81,20.79,20.743,71282
56,2021-08-30,20.84,20.84,20.84,20.811,20.773,126600
57,2021-08-31,20.86,20.86,20.84,20.81,20.773,51500
58,2021-09-01,20.79,20.79,20.775,20.751,20.775,107000
59,2021-09-02,20.81,20.81,20.807,20.77,20.807,45400
60,2021-09-03,20.82,20.82,20.79,20.764,20.79,295000
61,2021-09-07,20.87,20.87,20.795,20.79,20.795,37367
