,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,47.32,49.22,48.87,47.27,48.5824,1220957
1,2021-06-11,49.04,49.23,47.73,47.57,47.4491,1153215
2,2021-06-14,47.52,48.06,47.73,47.4,47.4491,1249410
3,2021-06-15,47.87,47.87,47.52,47.22,47.2403,790836
4,2021-06-16,47.66,48.13,47.86,47.58,47.5783,938987
5,2021-06-17,47.9,48.0,47.7,47.54,47.4193,1030145
6,2021-06-18,47.28,47.84,46.28,46.22,46.0076,2793804
7,2021-06-21,46.44,47.24,47.19,46.22,46.9123,802068
8,2021-06-22,47.0,47.12,46.57,46.3,46.2959,842652
9,2021-06-23,46.71,47.03,46.03,46.03,45.7591,885343
10,2021-06-24,46.12,46.56,46.24,45.85,45.9679,1004775
11,2021-06-25,46.18,46.9,46.88,46.025,46.6041,1828142
12,2021-06-28,46.66,46.69,46.33,46.1,46.0573,814691
13,2021-06-29,46.48,46.59,46.16,46.06,45.8883,777647
14,2021-06-30,46.25,46.375,45.85,45.69,45.5802,897039
15,2021-07-01,45.63,46.73,46.71,45.63,46.4351,793384
16,2021-07-02,46.99,47.05,46.91,46.5,46.6339,860257
17,2021-07-06,47.0,47.01,46.9,46.185,46.624,1770999
18,2021-07-07,46.84,47.09,47.0,46.59,46.7234,977485
19,2021-07-08,46.75,47.005,46.62,46.18,46.3456,1456038
20,2021-07-09,46.95,47.16,46.74,46.64,46.4649,1105911
21,2021-07-12,46.72,46.74,46.53,46.19,46.2562,1080750
22,2021-07-13,46.23,46.525,46.01,45.82,45.7392,844457
23,2021-07-14,47.7,47.7,47.44,47.0,47.1608,1381599
24,2021-07-15,47.29,47.5,46.31,46.21,46.0375,944422
25,2021-07-16,46.3,46.49,45.72,45.63,45.4509,868788
26,2021-07-19,45.08,45.72,45.48,44.11,45.2123,2186232
27,2021-07-20,44.82,46.12,45.85,44.82,45.5802,1339432
28,2021-07-21,45.82,46.145,46.05,45.71,45.779,961844
29,2021-07-22,45.96,46.2,45.82,45.53,45.5503,695152
30,2021-07-23,46.01,46.54,46.34,45.76,46.0673,846542
31,2021-07-26,46.3,46.58,46.23,46.11,45.9579,487420
32,2021-07-27,46.18,47.23,47.1,46.055,46.8228,769357
33,2021-07-28,47.23,47.71,47.34,46.98,47.0614,762083
34,2021-07-29,47.68,48.33,47.89,47.505,47.6082,740313
35,2021-07-30,47.95,48.41,48.03,47.74,47.7473,792708
36,2021-08-02,48.03,48.84,48.33,48.01,48.0456,829406
37,2021-08-03,48.55,49.03,48.71,47.95,48.4233,1003408
38,2021-08-04,48.5,48.56,47.77,47.71,47.4889,1215093
39,2021-08-05,47.65,48.22,48.2,47.6103,47.9163,817627
40,2021-08-06,48.36,49.09,48.97,48.03,48.6818,1187367
41,2021-08-09,48.87,49.02,48.57,48.435,48.2842,1475075
42,2021-08-10,48.41,49.34,49.17,48.11,48.8806,1187465
43,2021-08-11,42.7,44.67,42.99,42.12,42.737,6400331
44,2021-08-12,42.82,42.8299,41.28,40.915,41.0371,2503321
45,2021-08-13,41.35,41.97,40.95,40.78,40.709,1469871
46,2021-08-16,40.74,41.25,41.01,40.41,40.7686,2465849
47,2021-08-17,40.71,41.72,41.68,40.66,41.4347,1220792
48,2021-08-18,41.56,41.56,40.6,40.48,40.3611,1001597
49,2021-08-19,40.4,40.44,39.75,39.71,39.5161,848935
50,2021-08-20,39.75,41.12,40.96,39.4,40.7189,1245676
51,2021-08-23,41.05,41.56,41.32,40.51,41.0768,1059085
52,2021-08-24,41.21,41.61,40.9,40.87,40.6593,922216
53,2021-08-25,40.76,41.07,40.85,40.42,40.6096,762354
54,2021-08-26,41.0,41.0,39.95,39.94,39.7149,967893
55,2021-08-27,40.23,40.49,39.99,39.82,39.7546,952239
56,2021-08-30,40.82,40.95,40.46,40.15,40.2219,1023204
57,2021-08-31,40.26,41.045,40.95,40.16,40.709,1247654
58,2021-09-01,41.0,41.05,40.78,40.25,40.54,1446869
59,2021-09-02,40.44,41.42,41.41,40.37,41.41,1144000
60,2021-09-03,41.49,42.07,41.85,41.31,41.85,1113900
61,2021-09-07,41.84,41.84,41.6,41.18,41.6,1663287
