,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,5.28,6.99,5.59,5.28,5.59,9753400
1,2021-06-11,5.77,6.43,6.4,5.71,6.4,886100
2,2021-06-14,6.32,6.5,6.18,5.95,6.18,369900
3,2021-06-15,6.17,6.17,5.9,5.65,5.9,216600
4,2021-06-16,5.84,5.87,5.67,5.63,5.67,178700
5,2021-06-17,5.7,6.03,5.92,5.7,5.92,226600
6,2021-06-18,5.9,5.9,5.66,5.51,5.66,191500
7,2021-06-21,5.7,5.89,5.67,5.53,5.67,142400
8,2021-06-22,5.68,6.01,5.93,5.38,5.93,236700
9,2021-06-23,5.97,6.48,6.38,5.82,6.38,210500
10,2021-06-24,6.48,6.72,6.29,6.06,6.29,152800
11,2021-06-25,6.32,6.32,6.27,6.05,6.27,92600
12,2021-06-28,6.57,7.95,6.71,6.3,6.71,3327400
13,2021-06-29,6.65,6.72,6.13,6.11,6.13,336800
14,2021-06-30,6.17,6.33,6.2,5.93,6.2,146400
15,2021-07-01,6.22,6.23,6.01,5.97,6.01,95000
16,2021-07-02,5.93,6.1,5.84,5.69,5.84,151900
17,2021-07-06,5.84,5.99,5.82,5.69,5.82,57600
18,2021-07-07,5.8,5.92,5.89,5.4,5.89,144800
19,2021-07-08,5.8,6.15,6.11,5.7,6.11,93400
20,2021-07-09,6.19,6.24,6.03,5.9,6.03,75500
21,2021-07-12,6.09,6.35,6.32,5.91,6.32,119700
22,2021-07-13,6.33,6.34,6.16,5.95,6.16,43600
23,2021-07-14,6.15,6.34,6.07,5.97,6.07,70000
24,2021-07-15,6.04,6.28,6.15,5.79,6.15,42900
25,2021-07-16,6.17,6.25,5.93,5.8,5.93,71000
26,2021-07-19,5.8,6.15,5.93,5.7,5.93,90200
27,2021-07-20,6.03,6.18,6.18,5.86,6.18,100600
28,2021-07-21,6.24,7.35,6.88,6.08,6.88,576800
29,2021-07-22,6.98,7.46,7.18,6.88,7.18,263800
30,2021-07-23,7.32,7.46,7.46,7.01,7.46,241400
31,2021-07-26,7.4,7.63,7.28,7.16,7.28,140600
32,2021-07-27,7.15,7.28,6.93,6.69,6.93,230600
33,2021-07-28,7.04,7.44,7.32,6.9,7.32,152900
34,2021-07-29,7.28,8.06,7.22,7.13,7.22,411400
35,2021-07-30,7.18,7.4,7.16,7.0,7.16,102000
36,2021-08-02,7.21,7.37,7.26,7.09,7.26,127600
37,2021-08-03,7.29,7.41,7.23,7.0,7.23,187600
38,2021-08-04,7.25,7.35,7.23,7.06,7.23,99500
39,2021-08-05,7.15,7.42,7.31,7.11,7.31,105700
40,2021-08-06,7.5,7.5,7.27,7.04,7.27,111300
41,2021-08-09,7.4,7.93,7.82,7.34,7.82,168000
42,2021-08-10,7.91,7.98,7.67,7.61,7.67,101800
43,2021-08-11,7.81,7.81,6.68,6.63,6.68,362400
44,2021-08-12,6.6,6.95,6.49,6.32,6.49,170100
45,2021-08-13,6.3,6.49,6.46,5.5,6.46,444500
46,2021-08-16,6.23,6.26,5.59,5.52,5.59,195600
47,2021-08-17,5.52,5.59,5.39,5.25,5.39,141400
48,2021-08-18,5.39,5.68,5.36,5.31,5.36,72000
49,2021-08-19,5.43,5.57,5.31,5.25,5.31,58100
50,2021-08-20,5.22,5.35,5.24,5.12,5.24,80400
51,2021-08-23,5.23,5.54,5.46,5.23,5.46,30100
52,2021-08-24,5.49,5.6,5.52,5.3,5.52,66500
53,2021-08-25,5.56,5.67,5.38,5.32,5.38,54600
54,2021-08-26,5.36,5.63,5.38,5.32,5.38,79800
55,2021-08-27,5.34,5.61,5.45,5.34,5.45,49500
56,2021-08-30,5.46,5.85,5.58,5.35,5.58,50500
57,2021-08-31,5.6,5.63,5.36,5.31,5.36,55700
58,2021-09-01,5.37,5.54,5.31,5.28,5.31,94400
59,2021-09-02,5.4,5.49,5.39,5.17,5.39,44500
60,2021-09-03,5.39,5.39,5.26,5.21,5.26,28000
61,2021-09-07,5.26,5.5,5.22,5.19,5.22,33325
