Date,Open,High,Low,Close,AdjustedClose,Volume
2021-02-25,10,10,10,10,10,0
2021-03-04,10,10.01,9.89,9.89,9.89,7738600
2021-03-05,9.92,10.02,9.89,10,10,2545800
2021-03-08,10,10.01,9.96,9.99,9.99,1701800
2021-03-09,9.97,10,9.96,10,10,752400
2021-03-10,9.992,10.01,9.96,10,10,132400
2021-03-11,10,10.03,9.96,10,10,81800
2021-03-12,10,10,9.96,9.98,9.98,60300
2021-03-15,9.99,9.99,9.96,9.99,9.99,114500
2021-03-16,9.968,9.99,9.96,9.98,9.98,44200
2021-03-17,9.95,9.97,9.92,9.941,9.941,411300
2021-03-18,9.97,9.97,9.9,9.92,9.92,1155000
2021-03-19,9.93,9.93,9.9,9.92,9.92,11600
2021-03-22,9.9,10.015,9.9,9.9,9.9,431600
2021-03-23,9.93,9.93,9.81,9.85,9.85,83500
2021-03-24,9.85,9.87,9.78,9.78,9.78,11800
2021-03-25,9.775,9.87,9.71,9.87,9.87,31000
2021-03-26,9.85,9.93,9.85,9.93,9.93,223000
2021-03-29,9.99,9.99,9.88,9.91,9.91,23800
2021-03-30,9.93,9.93,9.87,9.91,9.91,2500
2021-03-31,9.81,9.94,9.8,9.83,9.83,64000
2021-04-01,9.92,10,9.88,9.95,9.95,36700
2021-04-05,9.95,9.95,9.92,9.95,9.95,11500
2021-04-06,9.95,9.95,9.94,9.95,9.95,5500
2021-04-07,9.95,10.02,9.94,9.99,9.99,61100
2021-04-08,9.94,9.95,9.922,9.922,9.922,1400
2021-04-09,9.95,10,9.95,10,10,37600
2021-04-12,9.975,10.07,9.975,10.02,10.02,190900
2021-04-13,10.015,10.02,10,10.01,10.01,58000
2021-04-14,10,10,9.96,10,10,114800
2021-04-15,10,10.03,9.995,10,10,49400
2021-04-16,10.03,10.03,9.99,10,10,51900
2021-04-19,9.98,10,9.98,10,10,6700
2021-04-20,9.96,10,9.92,10,10,1100
2021-04-21,9.91,9.96,9.88,9.9,9.9,14700
2021-04-22,9.89,9.99,9.89,9.95,9.95,5300
2021-04-23,9.95,9.95,9.95,9.95,9.95,500
2021-04-26,9.89,9.94,9.88,9.94,9.94,154500
2021-04-27,9.925,10,9.92,10,10,1300
2021-04-28,10,10,10,10,10,0
2021-04-29,9.99,10.04,9.99,10,10,6800
2021-04-30,10.03,10.05,9.89,9.99,9.99,18000
2021-05-03,9.99,10,9.95,9.99,9.99,33300
2021-05-04,9.97,10.05,9.97,10.02,10.02,47700
2021-05-05,10.01,10.01,10,10.01,10.01,20900
2021-05-06,10.01,10.01,10.01,10.01,10.01,0
2021-05-07,9.95,9.96,9.9,9.96,9.96,2200
2021-05-10,9.96,9.96,9.96,9.96,9.96,3000
2021-05-11,9.94,10,9.94,10,10,1300
2021-05-12,9.91,9.97,9.89,9.97,9.97,11900
2021-05-13,9.96,10,9.95,10,10,28900
2021-05-14,10.01,10.01,9.91,9.99,9.99,41500
2021-05-17,9.95,10,9.95,10,10,1500
2021-05-18,10,10,10,10,10,0
2021-05-19,9.94,10,9.9,9.98,9.98,3200
2021-05-20,9.98,9.98,9.98,9.98,9.98,0
2021-05-21,9.9,9.97,9.9,9.97,9.97,2900
2021-05-24,9.93,9.98,9.9,9.98,9.98,65800
2021-05-25,9.91,9.98,9.9,9.94,9.94,5800
2021-05-26,9.96,9.97,9.95,9.96,9.96,11200
2021-05-27,9.9,9.95,9.9,9.93,9.93,28000
2021-05-28,9.9,9.98,9.9,9.95,9.95,2600
2021-06-01,9.98,9.98,9.9,9.97,9.97,64900
2021-06-02,9.97,9.97,9.97,9.97,9.97,0
2021-06-03,9.9,9.94,9.9,9.94,9.94,900
2021-06-04,9.89,9.95,9.89,9.95,9.95,800
2021-06-07,9.95,9.96,9.93,9.93,9.93,2700
2021-06-08,9.93,9.98,9.93,9.97,9.97,10500
2021-06-09,9.92,9.96,9.905,9.96,9.96,108900
2021-06-10,9.91,9.97,9.9,9.97,9.97,50900
2021-06-11,9.97,9.97,9.97,9.97,9.97,100
2021-06-14,9.9,9.93,9.9,9.93,9.93,800
2021-06-15,9.93,9.97,9.91,9.96,9.96,3700
2021-06-16,9.945,9.99,9.945,9.99,9.99,22600
2021-06-17,9.98,9.98,9.96,9.96,9.96,8500
2021-06-18,9.96,9.96,9.96,9.96,9.96,0
2021-06-21,9.96,9.96,9.96,9.96,9.96,0
2021-06-22,9.96,9.96,9.96,9.96,9.96,0
2021-06-23,9.96,9.96,9.96,9.96,9.96,0
2021-06-24,9.99,9.99,9.99,9.99,9.99,3200
2021-06-25,9.983,9.983,9.983,9.983,9.983,600
2021-06-28,9.99,9.99,9.99,9.99,9.99,1100
2021-06-29,9.99,9.99,9.99,9.99,9.99,200
2021-06-30,9.94,9.94,9.93,9.93,9.93,51900
2021-07-01,9.93,9.95,9.93,9.95,9.95,2900
2021-07-02,9.95,9.95,9.95,9.95,9.95,0
2021-07-06,9.9,9.94,9.9,9.94,9.94,10252
2021-07-07,9.97,9.99,9.95,9.95,9.95,8800
2021-07-08,9.95,9.95,9.95,9.95,9.95,0
2021-07-09,9.95,9.99,9.94,9.99,9.99,5200
2021-07-12,9.99,9.99,9.99,9.99,9.99,0
2021-07-13,9.98,9.99,9.98,9.99,9.99,12900
2021-07-14,9.99,9.99,9.95,9.95,9.95,10000
2021-07-15,9.94,9.94,9.9,9.9,9.9,1500
2021-07-16,9.9,9.9,9.9,9.9,9.9,0
2021-07-19,9.91,9.93,9.89,9.93,9.93,6508
