,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,106.38,107.45,107.2068,106.38,106.498,4608
1,2021-06-11,107.29,107.29,106.5518,106.272,105.8474,3620
2,2021-06-14,106.75,107.01,107.0071,106.485,106.2997,2286
3,2021-06-15,107.05,107.05,106.0992,106.0992,105.3978,3999
4,2021-06-16,106.42,106.47,105.042,105.042,104.3476,4020
5,2021-06-17,104.84,105.1111,105.1111,104.49,104.4162,3392
6,2021-06-18,104.34,104.61,103.6,103.6,102.915,4700
7,2021-06-21,103.13,104.9293,104.634,103.13,104.634,5717
8,2021-06-22,104.92,104.92,104.2794,104.1279,104.2794,6890
9,2021-06-23,104.01,104.43,103.96,103.96,103.96,7900
10,2021-06-24,104.07,104.07,103.77,103.27,103.77,17900
11,2021-06-25,104.08,104.68,104.65,104.08,104.65,3300
12,2021-06-28,105.07,105.07,104.221,103.8717,104.221,3102
13,2021-06-29,104.709,104.709,104.0616,104.0616,104.0616,3091
14,2021-06-30,104.43,104.6199,103.5362,103.5362,103.5362,125294
15,2021-07-01,103.47,104.66,103.86,103.47,103.86,28600
16,2021-07-02,104.35,104.5,104.34,104.02,104.34,31000
17,2021-07-06,104.06,105.5247,105.3973,104.06,105.3973,16606
18,2021-07-07,105.6,106.09,105.76,105.42,105.76,15000
19,2021-07-08,105.39,105.92,105.41,105.11,105.41,18100
20,2021-07-09,106.19,107.07,107.07,106.19,107.07,2700
21,2021-07-12,107.0,107.97,107.97,107.0,107.97,4400
22,2021-07-13,107.51,107.65,106.57,106.57,106.57,2200
23,2021-07-14,106.75,107.69,107.46,106.6,107.46,6400
24,2021-07-15,107.57,107.67,107.67,107.29,107.67,2600
25,2021-07-16,108.17,108.44,107.79,107.79,107.79,2800
26,2021-07-19,107.21,107.21,105.9662,105.49,105.9662,10908
27,2021-07-20,107.8029,108.7599,108.3585,107.8029,108.3585,2042
28,2021-07-21,108.85,108.87,108.14,108.14,108.14,3400
29,2021-07-22,106.95,107.18,107.15,106.95,107.15,2900
30,2021-07-23,107.79,108.29,108.29,107.65,108.29,3000
31,2021-07-26,108.43,108.43,108.07,107.66,108.07,7800
32,2021-07-27,107.9,108.81,108.68,107.88,108.68,6000
33,2021-07-28,108.93,108.93,108.48,108.3,108.48,2100
34,2021-07-29,108.72,108.88,108.34,108.34,108.34,4700
35,2021-07-30,108.65,108.89,108.47,108.47,108.47,1500
36,2021-08-02,108.82,109.4,108.13,108.13,108.13,9700
37,2021-08-03,108.25,108.3,108.3,107.73,108.3,6500
38,2021-08-04,108.42,108.42,107.73,107.44,107.73,5000
39,2021-08-05,108.0,108.84,108.84,108.0,108.84,2300
40,2021-08-06,109.18,109.19,108.75,108.75,108.75,4100
41,2021-08-09,108.68,108.68,108.07,107.94,108.07,2400
42,2021-08-10,108.49,108.49,106.69,106.69,106.69,4900
43,2021-08-11,107.19,107.5,107.42,107.19,107.42,26000
44,2021-08-12,107.83,107.83,107.73,107.39,107.73,3000
45,2021-08-13,108.11,108.36,108.3,107.82,108.3,2500
46,2021-08-16,108.15,108.64,108.24,108.1,108.24,5000
47,2021-08-17,107.75,108.41,108.41,107.71,108.41,38600
48,2021-08-18,108.44,108.44,107.38,107.38,107.38,1400
49,2021-08-19,106.79,108.05,107.99,106.79,107.99,4200
50,2021-08-20,108.36,108.93,108.59,108.36,108.59,10000
51,2021-08-23,108.56,108.8,108.1443,108.099,108.1443,3964
52,2021-08-24,108.19,108.19,107.5194,107.3519,107.5194,3959
53,2021-08-25,107.39,107.44,107.42,107.39,107.42,1500
54,2021-08-26,107.68,107.7,107.53,107.53,107.53,3100
55,2021-08-27,107.97,108.87,108.64,107.97,108.64,2900
56,2021-08-30,108.64,109.88,109.88,108.64,109.88,7300
57,2021-08-31,109.81,110.38,110.38,109.81,110.38,2100
58,2021-09-01,110.73,112.06,112.05,110.73,112.05,15600
59,2021-09-02,112.21,112.78,112.78,111.66,112.78,4500
60,2021-09-03,112.54,113.01,113.01,111.75,113.01,4000
61,2021-09-07,113.0,113.0,111.586,111.19,111.586,5594
