,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,18.88,19.1,18.73,18.36,18.73,762074
1,2021-06-11,19.05,19.28,19.01,18.77,19.01,730692
2,2021-06-14,19.13,20.12,18.09,17.9,18.09,2036335
3,2021-06-15,17.5,18.5221,16.94,16.94,16.94,931607
4,2021-06-16,17.48,17.59,17.05,16.26,17.05,1217567
5,2021-06-17,17.25,17.34,17.09,16.68,17.09,860133
6,2021-06-18,17.04,17.165,16.85,16.45,16.85,1062930
7,2021-06-21,16.72,16.82,16.19,16.0,16.19,1072992
8,2021-06-22,16.55,17.85,17.2,15.87,17.2,1890287
9,2021-06-23,17.39,17.65,17.63,16.95,17.63,908514
10,2021-06-24,17.6,18.4,17.85,17.42,17.85,1345734
11,2021-06-25,18.2,18.25,16.71,16.71,16.71,1275746
12,2021-06-28,17.13,18.1,17.94,17.13,17.94,1035400
13,2021-06-29,17.806,17.9,17.18,17.077,17.18,864600
14,2021-06-30,17.3,17.52,17.11,17.0,17.11,668400
15,2021-07-01,17.28,17.38,16.93,16.82,16.93,463300
16,2021-07-02,16.85,17.6,17.45,16.69,17.45,694200
17,2021-07-06,17.25,17.25,16.8,16.75,16.8,549700
18,2021-07-07,16.79,16.849,16.4,16.13,16.4,591100
19,2021-07-08,15.61,16.45,16.4,15.6,16.4,629200
20,2021-07-09,16.464,17.22,17.05,16.39,17.05,861800
21,2021-07-12,16.52,16.65,14.06,13.91,14.06,10207100
22,2021-07-13,13.59,13.94,13.17,13.08,13.17,6210700
23,2021-07-14,13.2,13.4,12.59,12.4,12.59,4524400
24,2021-07-15,12.64,12.64,11.99,11.86,11.99,3676800
25,2021-07-16,12.05,12.44,11.9,11.86,11.9,2204200
26,2021-07-19,11.5,11.64,11.41,11.07,11.41,2622600
27,2021-07-20,11.42,11.85,11.35,11.35,11.35,2190400
28,2021-07-21,11.47,12.21,11.7,11.32,11.7,2577700
29,2021-07-22,11.89,11.96,11.43,11.38,11.43,1673000
30,2021-07-23,11.43,11.45,10.92,10.9,10.92,2359800
31,2021-07-26,11.0,11.78,11.17,10.78,11.17,2231700
32,2021-07-27,11.25,11.25,10.64,10.43,10.64,2585900
33,2021-07-28,10.65,11.06,10.86,10.45,10.86,2382700
34,2021-07-29,11.14,11.53,10.87,10.83,10.87,1870700
35,2021-07-30,10.85,11.1,11.03,10.806,11.03,716300
36,2021-08-02,11.21,11.27,10.89,10.85,10.89,1069700
37,2021-08-03,10.97,10.97,10.37,10.32,10.37,1642700
38,2021-08-04,10.35,10.7,10.51,10.25,10.51,1913800
39,2021-08-05,10.67,10.76,10.7,10.45,10.7,1455800
40,2021-08-06,10.72,11.205,10.96,10.41,10.96,2465200
41,2021-08-09,11.16,11.98,11.79,11.15,11.79,2566500
42,2021-08-10,12.293,12.58,12.22,11.87,12.22,3480100
43,2021-08-11,12.5,12.524,12.02,11.43,12.02,2987800
44,2021-08-12,11.38,11.57,11.08,10.9,11.08,3448400
45,2021-08-13,10.9,10.91,10.55,10.52,10.55,1981800
46,2021-08-16,10.48,10.48,9.86,9.785,9.86,3139400
47,2021-08-17,9.71,9.817,9.38,9.26,9.38,3726700
48,2021-08-18,9.445,9.5,9.25,9.02,9.25,2614100
49,2021-08-19,9.025,9.1,8.9,8.77,8.9,2497400
50,2021-08-20,8.9,9.53,9.07,8.9,9.07,3515500
51,2021-08-23,9.26,10.29,9.88,9.21,9.88,2325500
52,2021-08-24,10.02,10.36,10.23,9.94,10.23,1720900
53,2021-08-25,10.2,10.3,10.06,9.9,10.06,1069800
54,2021-08-26,9.973,10.495,9.98,9.93,9.98,1941300
55,2021-08-27,10.13,10.39,10.31,9.98,10.31,1550400
56,2021-08-30,10.45,10.6,10.3,9.92,10.3,1606900
57,2021-08-31,10.2,10.54,10.47,10.09,10.47,1104300
58,2021-09-01,10.47,10.7,10.56,10.327,10.56,1241200
59,2021-09-02,10.65,11.48,11.33,10.6,11.33,1843600
60,2021-09-03,11.285,11.82,11.79,11.262,11.79,1904800
61,2021-09-07,11.82,11.87,10.32,10.31,10.32,4803674
