,date,open,high,close,low,adjusted_close,volume
0,2021-06-10,6.9,6.98,6.84,6.83,6.84,196400
1,2021-06-11,6.84,6.94,6.89,6.8,6.89,139200
2,2021-06-14,6.97,7.39,7.31,6.97,7.31,370273
3,2021-06-15,7.33,7.55,7.32,7.28,7.32,380797
4,2021-06-16,7.4,7.55,7.48,7.33,7.48,283100
5,2021-06-17,7.47,7.74,7.2,7.18,7.2,432100
6,2021-06-18,7.14,7.39,7.08,7.03,7.08,1391000
7,2021-06-21,7.12,7.12,6.92,6.75,6.92,273600
8,2021-06-22,6.87,7.04,7.03,6.75,7.03,255600
9,2021-06-23,7.05,7.07,7.02,6.95,7.02,239100
10,2021-06-24,7.03,7.09,7.01,6.85,7.01,228400
11,2021-06-25,7.01,7.3,7.27,6.85,7.27,4413200
12,2021-06-28,7.24,7.47,7.38,7.17,7.38,194700
13,2021-06-29,7.34,7.57,7.51,7.23,7.51,130500
14,2021-06-30,7.49,7.49,7.2,7.12,7.2,189500
15,2021-07-01,7.18,7.29,7.02,6.98,7.02,144300
16,2021-07-02,7.07,7.09,6.98,6.9,6.98,112200
17,2021-07-06,6.97,6.98,6.91,6.87,6.91,168200
18,2021-07-07,6.91,6.93,6.86,6.81,6.86,168900
19,2021-07-08,6.66,6.93,6.82,6.61,6.82,147500
20,2021-07-09,6.85,6.9,6.87,6.82,6.87,84800
21,2021-07-12,6.85,6.9,6.85,6.76,6.85,68100
22,2021-07-13,6.85,7.0,6.93,6.78,6.93,198000
23,2021-07-14,6.93,7.07,6.95,6.79,6.95,187800
24,2021-07-15,6.83,6.95,6.93,6.7,6.93,190400
25,2021-07-16,6.94,7.02,6.88,6.85,6.88,184000
26,2021-07-19,6.73,6.87,6.84,6.66,6.84,164600
27,2021-07-20,6.8,7.11,6.99,6.8,6.99,125400
28,2021-07-21,7.03,7.29,7.21,6.93,7.21,97500
29,2021-07-22,7.28,7.37,7.11,7.01,7.11,59800
30,2021-07-23,7.06,7.21,7.14,6.96,7.14,70800
31,2021-07-26,7.22,7.22,6.86,6.82,6.86,148600
32,2021-07-27,6.74,6.79,6.64,6.56,6.64,403400
33,2021-07-28,6.58,6.82,6.79,6.55,6.79,250700
34,2021-07-29,6.63,6.95,6.67,6.6,6.67,141600
35,2021-07-30,6.62,6.84,6.81,6.56,6.81,105900
36,2021-08-02,6.78,6.96,6.76,6.75,6.76,119300
37,2021-08-03,6.81,6.96,6.91,6.62,6.91,82900
38,2021-08-04,6.8,6.85,6.76,6.56,6.76,211900
39,2021-08-05,6.63,7.22,7.17,6.63,7.17,148700
40,2021-08-06,7.17,7.23,7.07,7.06,7.07,67300
41,2021-08-09,7.06,7.24,7.21,6.91,7.21,50500
42,2021-08-10,7.24,7.38,7.2,7.17,7.2,122100
43,2021-08-11,7.17,7.34,7.23,7.14,7.23,164700
44,2021-08-12,7.22,7.22,7.06,7.02,7.06,184200
45,2021-08-13,7.04,7.09,6.89,6.8,6.89,238400
46,2021-08-16,6.8,6.9,6.83,6.74,6.83,158900
47,2021-08-17,6.68,6.84,6.81,6.66,6.81,226200
48,2021-08-18,6.86,7.1,7.02,6.82,7.02,80500
49,2021-08-19,6.91,6.99,6.69,6.66,6.69,70300
50,2021-08-20,6.74,6.79,6.74,6.69,6.74,81700
51,2021-08-23,6.74,6.93,6.85,6.58,6.85,159800
52,2021-08-24,6.9,6.96,6.92,6.86,6.92,55600
53,2021-08-25,6.95,7.15,7.13,6.89,7.13,59000
54,2021-08-26,7.06,7.18,7.0,6.96,7.0,47600
55,2021-08-27,6.92,7.19,7.06,6.92,7.06,87800
56,2021-08-30,6.87,7.14,7.05,6.86,7.05,134400
57,2021-08-31,7.08,7.18,7.12,7.04,7.12,56100
58,2021-09-01,7.12,7.29,7.24,7.08,7.24,109700
59,2021-09-02,7.24,7.29,7.23,7.08,7.23,62300
60,2021-09-03,7.24,7.27,7.04,7.01,7.04,42500
61,2021-09-07,7.0,7.04,6.82,6.78,6.82,92680
